Criteria,Alternative,ICE,EVL1,EVL2,EVL3
Availability Factor,ICE,1.00,8.00,1.16,1.01
Availability Factor,EVL1,0.12,1.00,0.15,0.13
Availability Factor,EVL2,0.86,6.88,1.00,0.87
Availability Factor,EVL3,0.99,7.91,1.15,1.00
Driving Range,ICE,1.00,1.14,1.07,1.07
Driving Range,EVL1,0.88,1.00,0.94,0.94
Driving Range,EVL2,0.93,1.06,1.00,1.00
Driving Range,EVL3,0.93,1.06,1.00,1.00
Accumulated Cost,ICE,1.00,0.48,0.48,0.49
Accumulated Cost,EVL1,2.08,1.00,1.00,0.98
Accumulated Cost,EVL2,2.08,1.00,1.00,0.98
Accumulated Cost,EVL3,2.03,1.03,1.03,1.00
Incentives,ICE,1.00,0.11,0.11,0.11
Incentives,EVL1,9.00,1.00,1.00,1.00
Incentives,EVL2,9.00,1.00,1.00,1.00
Incentives,EVL3,9.00,1.00,1.00,1.00
Emissions,ICE,1.00,0.42,0.42,0.42
Emissions,EVL1,2.37,1.00,1.00,1.00
Emissions,EVL2,2.37,1.00,1.00,1.00
Emissions,EVL3,2.37,1.00,1.00,1.00
