ASCII Name;Population;LABEL EN;Classification
San Pablo;0;Colombia;Small City
El Colegio;0;Colombia;Small City
Charala;0;Colombia;Small City
Punta de Piedras;0;Colombia;Small City
Puerres;0;Colombia;Small City
Anza;0;Colombia;Small City
La Cumbre;0;Colombia;Small City
El Dificil;0;Colombia;Small City
Tibacuy;0;Colombia;Small City
Taraza;0;Colombia;Small City
San Jacinto del Cauca;0;Colombia;Small City
San Luis;0;Colombia;Small City
San Jose;0;Colombia;Small City
Ubala;0;Colombia;Small City
San Martin de Loba;0;Colombia;Small City
Tenerife;0;Colombia;Small City
Canalete;0;Colombia;Small City
Managru;0;Colombia;Small City
Los Santos;0;Colombia;Small City
La Capilla;0;Colombia;Small City
Buenavista;0;Colombia;Small City
Providencia;0;Colombia;Small City
Piamonte;0;Colombia;Small City
San Juanito;0;Colombia;Small City
Puerto Lleras;0;Colombia;Small City
Valdivia;0;Colombia;Small City
Curbarado;0;Colombia;Small City
San Sebastian de Buenavista;0;Colombia;Small City
San Fernando;0;Colombia;Small City
Aguada;0;Colombia;Small City
Girardota;0;Colombia;Small City
Guachene;0;Colombia;Small City
Animas;0;Colombia;Small City
El Dorado;0;Colombia;Small City
Santa Barbara de Pinto;0;Colombia;Small City
La Victoria;0;Colombia;Small City
San Jose de Ure;0;Colombia;Small City
Monitos;0;Colombia;Small City
Villanueva;0;Colombia;Small City
Santa Isabel;0;Colombia;Small City
Calimita;0;Colombia;Small City
Saravena;0;Colombia;Small City
Guaranda;0;Colombia;Small City
Puerto Caicedo;0;Colombia;Small City
La Palma;0;Colombia;Small City
Tuchin;0;Colombia;Small City
Teorama;0;Colombia;Small City
Covenas;0;Colombia;Small City
Samana;0;Colombia;Small City
Solita;0;Colombia;Small City
Pueblo Nuevo;0;Colombia;Small City
Algarrobo;0;Colombia;Small City
Bocas de Satinga;0;Colombia;Small City
Anori;0;Colombia;Small City
San Jose del Fragua;0;Colombia;Small City
Rionegro;0;Colombia;Small City
