ASCII Name;Population;LABEL EN;Classification
Naranjos;0;Peru;Small City
San Jose de Bolivar;0;Venezuela, Bolivarian Rep. of;Small City
Pueblo Llano;0;Venezuela, Bolivarian Rep. of;Small City
Los Toldos;0;Argentina;Small City
Hato Culantro;0;Panama;Small City
Aucallama;0;Peru;Small City
Gobea;0;Panama;Small City
Calacoa;0;Peru;Small City
Canaria;0;Peru;Small City
Carlos Tejedor;0;Argentina;Small City
Chaclacayo;0;Peru;Small City
Sinchao;0;Peru;Small City
Santa Cruz;0;Peru;Small City
Nueva Arica;0;Peru;Small City
Cotabambas;0;Peru;Small City
Luya;0;Peru;Small City
Independencia;0;Venezuela, Bolivarian Rep. of;Small City
Pellegrini;0;Argentina;Small City
Las Zangueengas;0;Panama;Small City
San Pablo;0;Colombia;Small City
Villa Union;0;Argentina;Small City
San Vicente;0;Argentina;Small City
Caldas Brandao;0;Brazil;Small City
Balneario Arroio do Silva;0;Brazil;Small City
Mayari;0;Cuba;Small City
Guadalupito;0;Peru;Small City
El Colegio;0;Colombia;Small City
El Porvenir;0;Peru;Small City
Coronado;0;Mexico;Small City
Valle de Las Minas;0;Panama;Small City
Agua Fria Numero Uno;0;Panama;Small City
San Francisco Libre;0;Nicaragua;Small City
Charala;0;Colombia;Small City
Lajas Blancas;0;Panama;Small City
Puan;0;Argentina;Small City
Bajos de Gueera;0;Panama;Small City
Shapaja;0;Peru;Small City
Haquira;0;Peru;Small City
Chiriaco;0;Peru;Small City
Yucay;0;Peru;Small City
Pedro Regis;0;Brazil;Small City
Riachao;0;Brazil;Small City
Governor's Harbour;0;Bahamas;Small City
El Chaparro;0;Venezuela, Bolivarian Rep. of;Small City
Santa Cruz de Guacas;0;Venezuela, Bolivarian Rep. of;Small City
Las Casitas del Vegon de Nutrias;0;Venezuela, Bolivarian Rep. of;Small City
Siquisique;0;Venezuela, Bolivarian Rep. of;Small City
La Concordia;0;Ecuador;Small City
San Timoteo;0;Venezuela, Bolivarian Rep. of;Small City
El Socorro;0;Venezuela, Bolivarian Rep. of;Small City
El Paradero;0;Venezuela, Bolivarian Rep. of;Small City
Boca de Rio;0;Venezuela, Bolivarian Rep. of;Small City
Aricagua;0;Venezuela, Bolivarian Rep. of;Small City
Punta de Piedras;0;Colombia;Small City
Puerres;0;Colombia;Small City
Anza;0;Colombia;Small City
San Francisco;0;Venezuela, Bolivarian Rep. of;Small City
Huaranchal;0;Peru;Small City
La Virgen;0;Costa Rica;Small City
La Cumbre;0;Colombia;Small City
Huaripampa;0;Peru;Small City
Sincos;0;Peru;Small City
Laraos;0;Peru;Small City
Pillcopata;0;Peru;Small City
Echarate;0;Peru;Small City
Muqui;0;Peru;Small City
Macari;0;Peru;Small City
El Dificil;0;Colombia;Small City
Quellouno;0;Peru;Small City
Sangallaya;0;Peru;Small City
Zurite;0;Peru;Small City
Bolognesi;0;Peru;Small City
Apata;0;Peru;Small City
Tibacuy;0;Colombia;Small City
Taraza;0;Colombia;Small City
San Jacinto del Cauca;0;Colombia;Small City
Quito-Arma;0;Peru;Small City
Villa Media Agua;0;Argentina;Small City
Chisquilla;0;Peru;Small City
Castelli;0;Argentina;Small City
Olivos;0;Argentina;Small City
Ranchos;0;Argentina;Small City
Lagarterita;0;Panama;Small City
Araguana;0;Brazil;Small City
Dos Rios;0;Panama;Small City
Cerro Venado;0;Panama;Small City
Lagoa de Sao Francisco;0;Brazil;Small City
Lomas de Zamora;0;Argentina;Small City
Cruz de Machacamarca;0;Bolivia;Small City
Panao;0;Peru;Small City
Pampas;0;Peru;Small City
Lamud;0;Peru;Small City
Hualgayoc;0;Peru;Small City
Dos Pueblos;0;Peru;Small City
Tezoatlan de Segura y Luna;0;Mexico;Small City
Imias;0;Cuba;Small City
Calixto;0;Cuba;Small City
Catac;0;Peru;Small City
Adolfo Gonzales Chaves;0;Argentina;Small City
Godoy Cruz;0;Argentina;Small City
Xochiapa;0;Mexico;Small City
Arrecifes;0;Argentina;Small City
Carmen de Patagones;0;Argentina;Small City
Colon;0;Argentina;Small City
San Luis;0;Colombia;Small City
San Jose;0;Colombia;Small City
Villa del Rosario;0;Argentina;Small City
Banado de Ovanta;0;Argentina;Small City
Ubala;0;Colombia;Small City
Taguasco;0;Cuba;Small City
Coronel Vidal;0;Argentina;Small City
Ulapes;0;Argentina;Small City
Apostoles;0;Argentina;Small City
Tornquist;0;Argentina;Small City
Santa Catalina;0;Argentina;Small City
La Consulta;0;Argentina;Small City
Barrio Jesus;0;Costa Rica;Small City
San Martin de Loba;0;Colombia;Small City
Manuel Antonio Mesones Muro;0;Peru;Small City
Tenerife;0;Colombia;Small City
Concepcion;0;Venezuela, Bolivarian Rep. of;Small City
Cabure;0;Venezuela, Bolivarian Rep. of;Small City
Bachaquero;0;Venezuela, Bolivarian Rep. of;Small City
Ituzaingo;0;Argentina;Small City
Ollachea;0;Peru;Small City
San Carlos;0;Argentina;Small City
Rinconada;0;Argentina;Small City
Jarpa;0;Peru;Small City
Puelches;0;Argentina;Small City
Four Cross Roads;0;Barbados;Small City
Acobamba;0;Peru;Small City
Villa El Salvador;0;Argentina;Small City
Kelluyo;0;Peru;Small City
Yauyos;0;Peru;Small City
Pampas Grande;0;Peru;Small City
Bretana;0;Peru;Small City
Guamini;0;Argentina;Small City
Canalete;0;Colombia;Small City
Guanta;0;Venezuela, Bolivarian Rep. of;Small City
Macuto;0;Venezuela, Bolivarian Rep. of;Small City
Ranracancha;0;Peru;Small City
Quiquijana;0;Peru;Small City
Quince Mil;0;Peru;Small City
Welchman Hall;0;Barbados;Small City
Manazo;0;Peru;Small City
Huarocondo;0;Peru;Small City
Algarrobo del Aguila;0;Argentina;Small City
Ciudad del Libertador General San Martin;0;Argentina;Small City
Brea Pozo;0;Argentina;Small City
Paulo Ramos;0;Brazil;Small City
General Pinto;0;Argentina;Small City
Imbe;0;Brazil;Small City
La Canada;0;Argentina;Small City
Antauta;0;Peru;Small City
Limay Mahuida;0;Argentina;Small City
Malanzan;0;Argentina;Small City
Chumpi;0;Peru;Small City
Tapeixtles;0;Mexico;Small City
Sao Vicente do Serido;0;Brazil;Small City
Paraiso;0;Brazil;Small City
Rivadavia;0;Argentina;Small City
Yunga;0;Peru;Small City
Ninacaca;0;Peru;Small City
San Blas de los Sauces;0;Argentina;Small City
San Lorenzo;0;Argentina;Small City
Velille;0;Peru;Small City
Sapallanga;0;Peru;Small City
Santa Rosa;0;Peru;Small City
Tres Lomas;0;Argentina;Small City
Villa Aberastain;0;Argentina;Small City
Villa de Maria;0;Argentina;Small City
Berisso;0;Argentina;Small City
Carmen de Areco;0;Argentina;Small City
Querobamba;0;Peru;Small City
Puerto Callao;0;Peru;Small City
Ramallo;0;Argentina;Small City
Agua Blanca;0;Peru;Small City
Caleta Cruz;0;Peru;Small City
San Jose de Metan;0;Argentina;Small City
Cojata;0;Peru;Small City
Cacique;0;Panama;Small City
Coyllurqui;0;Peru;Small City
Mirones;0;Panama;Small City
Cerro Pelado;0;Panama;Small City
Ticapampa;0;Peru;Small City
Tauca;0;Peru;Small City
Chacas;0;Peru;Small City
Arraga;0;Argentina;Small City
