Año,EV,PHEV,tL2,tL3,area,cpl1,cpl2,cpl3,S_refor
1,0,0,1.5,18.9,1003.3,0.0,0.0,0.0,0.07
2,1,1,21.4,15.6,951.7,1.0,1.0,1.0,0.07
3,4,11,8.6,21.5,800.9,1.0,1.0,1.0,0.07
4,8,23,22.3,22.6,863.5,2.0,1.0,1.0,0.07
5,16,47,14.2,22.4,1364.4,3.0,1.0,1.0,0.07
6,24,71,18.8,16.4,3435.5,4.0,1.0,1.0,0.07
7,32,95,21.8,9.8,2902.3,6.0,2.0,1.0,0.07
8,48,145,21.9,17.4,6112.4,9.0,2.0,1.0,0.07
9,57,170,22.2,16.9,5391.8,10.0,2.0,1.0,0.07
10,66,197,17.4,18.9,6555.7,12.0,3.0,1.0,0.07
11,83,248,24.0,19.7,11007.9,16.0,3.0,1.0,0.08
12,100,298,20.9,24.0,8911.1,19.0,4.0,1.0,0.08
13,201,304,24.0,19.0,13115.3,24.0,5.0,2.0,0.08
14,305,306,24.0,22.6,17930.0,30.0,5.0,2.0,0.08
15,375,310,24.0,24.0,20541.7,35.0,6.0,2.0,0.08
16,552,312,23.3,21.8,27138.2,45.0,8.0,3.0,0.09
17,731,316,23.1,24.0,32569.7,56.0,10.0,4.0,0.09
18,913,320,24.0,23.9,40044.3,66.0,12.0,4.0,0.1
19,1096,326,23.9,22.8,45735.5,77.0,14.0,5.0,0.1
20,1284,330,24.0,20.2,53195.6,88.0,16.0,6.0,0.11
21,1476,334,23.1,23.9,64421.6,99.0,18.0,6.0,0.12
22,1706,339,23.8,24.0,70871.0,111.0,20.0,7.0,0.12
23,1943,342,23.3,23.4,74094.3,125.0,23.0,8.0,0.13
24,2180,349,23.6,23.3,84280.4,139.0,25.0,9.0,0.13
25,2459,356,23.6,24.0,93631.8,155.0,28.0,10.0,0.14
26,2667,363,24.0,22.4,97061.3,167.0,29.0,11.0,0.15
27,2879,370,24.0,23.6,99043.1,180.0,32.0,11.0,0.17
28,3115,378,24.0,24.0,99552.1,193.0,34.0,12.0,0.21
29,3466,385,24.0,24.0,99929.3,213.0,37.0,13.0,0.27
30,3707,393,23.9,23.6,99964.0,228.0,40.0,14.0,0.32
31,4023,401,23.9,24.0,99992.4,248.0,43.0,15.0,0.39
