Año, EV  , PHEV, tL2 , tL3 , area   , cpl1 , cpl2, cpl3, S_refor
  1,    0,    0,  9.4, 23.8, 11355.5,   0.0,  0.0,  0.0,    0.13
  2,    1,    1, 21.1, 24.0, 11304.6,   1.0,  1.0,  1.0,    0.13
  3,    4,   11,  9.4, 20.8, 11348.4,   1.0,  1.0,  1.0,    0.13
  4,    8,   23, 23.3, 15.1, 11350.3,   2.0,  1.0,  1.0,    0.13
  5,   16,   47, 17.7, 21.8, 12173.4,   3.0,  1.0,  1.0,    0.13
  6,   24,   71, 19.6, 24.0, 12092.4,   4.0,  1.0,  1.0,    0.12
  7,   32,   95, 14.0, 13.5, 12232.5,   6.0,  2.0,  1.0,    0.12
  8,   48,  145, 21.9, 17.1, 13083.9,   9.0,  2.0,  1.0,    0.11
  9,   57,  170, 22.0, 16.3, 13871.3,  10.0,  2.0,  1.0,    0.11
 10,   66,  197, 17.6, 20.9, 13062.6,  12.0,  3.0,  1.0,    0.1
 11,   83,  248, 24.0, 18.6, 13212.7,  16.0,  3.0,  1.0,    0.09
 12,  100,  298, 21.8, 17.9, 13216.1,  19.0,  4.0,  2.0,    0.08
 13,  201,  304, 24.0, 18.8, 13224.0,  24.0,  5.0,  2.0,    0.08
 14,  305,  306, 24.0, 24.0, 16774.3,  30.0,  5.0,  2.0,    0.08
 15,  375,  310, 24.0, 24.0, 20355.5,  35.0,  6.0,  2.0,    0.08
 16,  552,  312, 22.8, 23.2, 27780.1,  45.0,  8.0,  3.0,    0.09
 17,  731,  316, 23.0, 24.0, 32423.0,  56.0, 10.0,  4.0,    0.09
 18,  913,  320, 24.0, 24.0, 39930.1,  66.0, 12.0,  4.0,    0.1
 19, 1096,  326, 24.0, 24.0, 40000.0,  77.0, 14.0,  5.0,    0.12
 20, 1284,  330, 24.0, 20.2, 40000.0,  88.0, 16.0,  6.0,    0.15
 21, 1476,  334, 23.3, 23.4, 40000.0,  99.0, 18.0,  6.0,    0.19
 22, 1706,  339, 23.9, 23.6, 40000.0, 111.0, 20.0,  7.0,    0.24
 23, 1943,  342, 23.7, 23.7, 40000.0, 125.0, 23.0,  8.0,    0.29
 24, 2180,  349, 24.0, 23.9, 40000.0, 139.0, 25.0,  9.0,    0.34
 25, 2459,  356, 23.8, 24.0, 40000.0, 155.0, 28.0, 10.0,    0.4
 26, 2667,  363, 24.0, 22.4, 40000.0, 167.0, 29.0, 11.0,    0.44
 27, 2879,  370, 23.9, 23.8, 40000.0, 180.0, 32.0, 11.0,    0.48
 28, 3115,  378, 24.0, 24.0, 40000.0, 193.0, 34.0, 12.0,    0.53
 29, 3466,  385, 24.0, 24.0, 40000.0, 213.0, 37.0, 13.0,    0.61
 30, 3707,  393, 23.8, 24.0, 40000.0, 228.0, 40.0, 14.0,    0.66
 31, 4023,  401, 24.0, 24.0, 40000.0, 248.0, 43.0, 15.0,    0.72
