Año,EV,PHEV,tL2,tL3,area,cpl1,cpl2,cpl3,S_refor,jobs
1,0,0,10.2,18.9,1003.3,0.0,0.0,0.0,0.07,-0.0
2,1,1,1.0,23.7,944.6,1.0,1.0,1.0,0.07,1.0
3,4,11,1.0,3.7,951.5,1.0,5.0,1.0,0.07,13.0
4,8,23,3.7,16.6,1334.7,2.0,5.0,1.0,0.07,15.0
5,16,47,11.7,16.8,965.8,3.0,5.0,1.0,0.07,18.0
6,24,71,3.9,20.5,2579.8,4.0,5.0,1.0,0.07,22.0
7,32,95,1.0,14.4,2466.1,6.0,25.0,1.0,0.07,75.0
8,48,145,1.0,20.8,4848.7,9.0,35.0,1.0,0.07,108.0
9,57,170,1.0,19.5,6538.9,10.0,42.0,1.0,0.07,127.0
10,66,197,17.5,21.9,7413.7,12.0,5.0,1.0,0.07,41.0
11,83,248,1.0,21.7,7563.6,16.0,67.0,1.0,0.08,204.0
12,100,298,21.3,24.0,9820.7,19.0,67.0,1.0,0.08,212.0
13,201,304,1.0,20.4,14851.5,24.0,100.0,2.0,0.08,307.0
14,305,306,1.0,23.7,17361.4,30.0,120.0,2.0,0.08,372.0
15,375,310,2.9,23.5,23043.5,35.0,87.0,2.0,0.09,303.0
16,552,312,9.1,21.2,24272.2,45.0,143.0,3.0,0.09,469.0
17,731,316,1.0,19.2,32611.7,56.0,229.0,4.0,0.09,709.0
18,913,320,1.4,1.7,36512.3,66.0,194.0,52.0,0.1,648.0
19,1096,326,3.0,20.5,46029.3,77.0,277.0,5.0,0.1,884.0
20,1284,330,24.0,22.9,50693.8,88.0,277.0,6.0,0.11,911.0
21,1476,334,1.1,3.6,78882.6,99.0,369.0,38.0,0.19,1166.0
22,1706,339,10.2,22.7,68935.4,111.0,415.0,7.0,0.12,1314.0
23,1943,342,1.0,23.8,80688.3,125.0,531.0,8.0,0.13,1639.0
24,2180,349,1.3,23.6,84866.2,139.0,531.0,9.0,0.13,1674.0
25,2459,356,1.5,22.2,93108.7,155.0,557.0,10.0,0.14,1779.0
26,2667,363,1.0,8.5,98390.5,167.0,670.0,29.0,0.15,2091.0
27,2879,370,1.4,16.8,99024.7,180.0,686.0,16.0,0.17,2162.0
28,3115,378,1.0,1.2,99457.2,193.0,796.0,237.0,0.21,2471.0
29,3466,385,2.7,23.5,99928.7,213.0,686.0,16.0,0.27,2247.0
30,3707,393,1.4,22.7,99957.5,228.0,686.0,16.0,0.32,2284.0
31,4023,401,1.1,23.5,99999.0,248.0,945.0,16.0,0.39,2981.0
