Año,EV,PHEV,tL2,tL3,area,cpl1,cpl2,cpl3,S_refor,jobs,emisiones,incentivos
1,0,0,19.4,23.8,11359.4,0.0,0.0,0.0,0.13,-0.0
2,1,1,20.6,24.0,11304.5,1.0,1.0,1.0,0.13,-0.0
3,4,11,9.4,20.8,11351.0,1.0,1.0,1.0,0.13,5.0
4,8,23,22.7,23.3,11584.0,2.0,1.0,1.0,0.13,5.0
5,16,47,13.2,9.5,11814.2,3.0,1.0,1.0,0.13,8.0
6,24,71,21.2,11.7,11817.5,4.0,1.0,1.0,0.12,12.0
7,32,95,14.0,14.6,12993.9,6.0,2.0,1.0,0.12,18.0
8,48,145,8.3,19.5,12067.6,9.0,5.0,1.0,0.11,31.0
9,57,170,23.9,21.6,12566.2,10.0,2.0,1.0,0.11,29.0
10,66,197,13.1,23.9,13198.9,12.0,6.0,1.0,0.1,44.0
11,83,248,8.1,23.7,13239.0,16.0,9.0,1.0,0.09,58.0
12,100,298,14.0,23.0,13257.4,19.0,6.0,2.0,0.09,60.0
13,201,304,17.7,20.6,14555.9,24.0,10.0,2.0,0.08,84.0
14,305,306,9.6,22.6,16990.5,30.0,13.0,2.0,0.08,106.0
15,375,310,19.1,23.8,20980.0,35.0,15.0,2.0,0.08,123.0
16,552,312,12.2,21.5,26301.7,45.0,18.0,3.0,0.09,156.0
17,731,316,8.0,22.6,33189.3,56.0,29.0,4.0,0.09,209.0
18,913,320,8.0,23.6,36521.7,66.0,35.0,4.0,0.1,251.0
19,1096,326,8.0,23.2,39449.4,77.0,41.0,5.0,0.12,294.0
20,1284,330,8.0,23.9,39999.7,88.0,46.0,6.0,0.15,333.0
21,1476,334,8.0,23.5,39995.7,99.0,52.0,6.0,0.19,374.0
22,1706,339,8.0,22.7,39999.4,111.0,59.0,7.0,0.24,424.0
23,1943,342,9.1,23.3,39999.6,125.0,59.0,8.0,0.29,459.0
24,2180,349,9.7,23.5,39999.5,139.0,67.0,9.0,0.34,514.0
25,2459,356,8.0,23.6,39999.6,155.0,82.0,10.0,0.4,590.0
26,2667,363,9.8,23.3,39999.9,167.0,73.0,11.0,0.44,598.0
27,2879,370,10.5,23.5,39999.7,180.0,73.0,11.0,0.48,630.0
28,3115,378,8.0,23.7,39999.8,193.0,100.0,12.0,0.53,731.0
29,3466,385,12.5,23.9,40000.0,213.0,73.0,13.0,0.61,714.0
30,3707,393,8.0,24.0,40000.0,228.0,118.0,14.0,0.66,864.0
31,4023,401,10.9,23.3,40000.0,248.0,118.0,15.0,0.72,914.0
