Año,EV,PHEV,x1,x2,x3,f1,f2,f3,f4,f5,f6,f7
1,0,0,2.0,19.9,101.0,0.0,0.0,0.0,0.07,-0.0,20019708.4,0.0
1,0,0,2.9,20.1,101.0,0.0,0.0,0.0,0.07,-0.0,20019708.4,0.0
2,1,1,1.0,24.0,101.3,1.0,1.0,1.0,0.07,1.0,20020139.92,-0.0
3,4,11,8.9,19.0,101.3,1.0,1.0,1.0,0.07,5.0,20022678.28,0.0
4,8,23,1.0,24.0,101.3,2.0,7.0,1.0,0.07,20.0,20044958.1,0.0
5,16,47,21.9,8.5,101.8,3.0,7.0,1.0,0.08,23.0,20123647.14,0.0
6,24,71,1.6,20.9,101.8,4.0,12.0,1.0,0.08,39.0,20202336.17,0.0
7,32,95,2.1,18.1,733.5,6.0,12.0,1.0,0.08,43.0,148499751.29,0.0
8,48,145,1.0,16.9,1049.6,9.0,35.0,1.0,0.09,108.0,212420610.1,0.0
9,57,170,1.0,21.6,1101.0,10.0,42.0,1.0,0.1,128.0,222664100.42,0.0
10,66,197,2.0,21.2,6527.6,12.0,42.0,1.0,0.07,134.0,1320856987.98,0.0
11,83,248,2.6,22.1,6527.6,16.0,42.0,1.0,0.08,142.0,1320979054.35,0.0
12,100,298,1.5,24.0,23707.3,19.0,51.0,1.0,0.14,171.0,4797830517.69,0.0
13,201,304,1.1,1.1,24453.3,24.0,91.0,31.0,0.13,285.0,4949446987.18,0.0
14,305,306,1.0,3.5,24453.7,30.0,120.0,31.0,0.11,372.0,4949691119.9,0.0
15,375,310,6.1,13.5,24453.9,35.0,120.0,31.0,0.1,385.0,4949876520.27,0.0
16,552,312,1.5,1.0,24477.5,45.0,123.0,63.0,0.09,418.0,4954924198.15,0.0
17,731,316,1.9,6.0,24478.2,56.0,123.0,63.0,0.13,445.0,4955426050.12,0.0
18,913,320,1.1,1.0,37365.6,66.0,246.0,88.0,0.1,777.0,7563970098.65,0.0
19,1096,326,1.0,1.2,46055.3,77.0,326.0,88.0,0.1,1006.0,9322798584.61,0.0
20,1284,330,1.0,1.6,54263.5,88.0,368.0,88.0,0.11,1136.0,10984225557.33,0.0
21,1476,334,24.0,24.0,54367.2,99.0,368.0,88.0,0.12,1165.0,11005787349.02,0.0
22,1706,339,1.1,1.1,97145.0,111.0,447.0,139.0,0.25,1393.0,19662735805.15,0.0
23,1943,342,7.7,17.1,97145.2,125.0,447.0,139.0,0.2,1429.0,19663395831.61,0.0
24,2180,349,19.7,10.4,97145.2,139.0,447.0,139.0,0.17,1464.0,19664063587.39,0.0
25,2459,356,1.0,1.0,98352.7,155.0,632.0,213.0,0.15,1966.0,19909427112.42,0.0
26,2667,363,10.4,11.1,98354.1,167.0,632.0,213.0,0.15,1996.0,19910014814.81,0.0
27,2879,370,11.0,7.1,98979.0,180.0,632.0,213.0,0.17,2027.0,20037108284.08,0.0
28,3115,378,1.5,19.2,98979.0,193.0,632.0,213.0,0.21,2061.0,20037775211.71,0.0
29,3466,385,1.0,23.8,99558.1,213.0,886.0,213.0,0.28,2746.0,20156492363.29,0.0
30,3707,393,5.5,17.4,99560.5,228.0,886.0,213.0,0.32,2784.0,20157173093.26,0.0
31,4023,401,1.3,22.5,99560.8,248.0,886.0,213.0,0.39,2834.0,20158060858.02,0.0
