Año,EV,PHEV,tL2,tL3,area,cpl1,cpl2,cpl3,S_refor,jobs,emisiones,incentivos
1,0,0,9.6,19.9,101.7,0.0,0.0,0.0,0.07,-0.0,20019708.4,0.0
1,0,0,10.2,20.0,101.7,0.0,0.0,0.0,0.07,-0.0,20019708.4,0.0
2,1,1,1.0,23.9,101.4,1.0,1.0,1.0,0.07,1.0,20020139.92,-0.0
3,4,11,1.0,19.0,101.3,1.0,5.0,1.0,0.07,13.0,20022678.28,0.0
4,8,23,1.0,24.0,101.3,2.0,7.0,1.0,0.07,20.0,20044958.1,0.0
5,16,47,1.0,10.5,101.5,3.0,13.0,1.0,0.08,37.0,20123647.14,0.0
6,24,71,1.0,15.9,1502.3,4.0,19.0,1.0,0.07,56.0,303674921.39,0.0
7,32,95,4.2,16.6,101.8,6.0,12.0,1.0,0.09,43.0,20281025.21,0.0
8,48,145,4.2,15.8,4384.0,9.0,12.0,1.0,0.07,50.0,887266241.24,0.0
9,57,170,7.2,19.6,1049.8,10.0,35.0,1.0,0.1,111.0,212504693.13,0.0
10,66,197,1.0,17.4,6544.5,12.0,48.0,1.0,0.07,149.0,1324711588.97,0.0
11,83,248,2.6,22.1,6527.6,16.0,42.0,1.0,0.08,142.0,1320979054.35,0.0
12,100,298,3.7,24.0,9797.0,19.0,42.0,1.0,0.08,150.0,1983009814.68,0.0
13,201,304,3.9,20.4,23708.0,24.0,51.0,2.0,0.12,186.0,4798074187.18,0.0
14,305,306,1.7,17.6,24453.9,30.0,91.0,31.0,0.11,301.0,4949691119.9,0.0
15,375,310,4.7,21.3,24453.7,35.0,120.0,31.0,0.1,385.0,4949876520.27,0.0
16,552,312,1.6,23.9,24454.3,45.0,120.0,31.0,0.09,411.0,4950368986.64,0.0
17,731,316,1.8,1.0,33209.6,56.0,127.0,73.0,0.09,455.0,6722147399.34,0.0
18,913,320,5.7,1.2,25980.6,66.0,123.0,74.0,0.15,472.0,5260084167.16,0.0
19,1096,326,1.4,1.9,51443.8,77.0,246.0,88.0,0.12,807.0,10412895790.91,0.0
20,1284,330,1.1,1.6,54317.9,88.0,328.0,88.0,0.11,1038.0,10995087985.27,0.0
21,1476,334,23.5,24.0,54367.2,99.0,368.0,88.0,0.12,1165.0,11005787349.02,0.0
22,1706,339,2.2,1.1,62116.2,111.0,368.0,138.0,0.13,1196.0,12574475954.86,0.0
23,1943,342,7.8,13.5,97145.2,125.0,447.0,139.0,0.2,1429.0,19663395831.61,0.0
24,2180,349,13.3,4.8,97145.2,139.0,447.0,139.0,0.17,1464.0,19664063587.39,0.0
25,2459,356,1.0,1.6,97145.7,155.0,649.0,143.0,0.14,2008.0,19664847282.68,0.0
26,2667,363,10.4,11.2,98354.6,167.0,632.0,213.0,0.15,1996.0,19910014814.81,0.0
27,2879,370,11.0,19.7,98979.0,180.0,632.0,213.0,0.17,2027.0,20037108284.08,0.0
28,3115,378,1.5,19.2,98979.0,193.0,632.0,213.0,0.21,2061.0,20037775211.71,0.0
29,3466,385,1.1,13.8,99999.9,213.0,824.0,213.0,0.27,2591.0,20245494192.93,0.0
30,3707,393,5.5,17.9,99560.5,228.0,886.0,213.0,0.32,2784.0,20157173093.26,0.0
31,4023,401,1.6,22.7,99560.8,248.0,886.0,213.0,0.39,2834.0,20158060858.02,0.0
