Año,EV,PHEV,tL2,tL3,area,cpl1,cpl2,cpl3,S_refor,Empleos
1,0,0,13.9,21.7,11005.5,0.0,0.0,0.0,0.13,-0.0
2,1,1,23.8,8.1,11381.7,1.0,1.0,1.0,0.13,-0.0
3,4,11,14.6,16.4,11547.1,1.0,1.0,1.0,0.13,5.0
4,8,23,13.7,8.2,11454.4,2.0,1.0,1.0,0.13,5.0
5,16,47,8.0,18.0,11448.3,3.0,2.0,1.0,0.13,10.0
6,24,71,9.0,20.0,11933.5,4.0,3.0,1.0,0.12,15.0
7,32,95,14.1,23.9,12674.5,6.0,2.0,1.0,0.12,18.0
8,48,145,8.2,20.8,12415.5,9.0,5.0,1.0,0.11,31.0
9,57,170,21.2,23.8,13331.9,10.0,3.0,1.0,0.11,31.0
10,66,197,8.1,17.2,13168.8,12.0,6.0,1.0,0.1,44.0
11,83,248,15.1,18.7,13266.8,16.0,6.0,1.0,0.09,52.0
12,100,298,14.4,24.0,13856.0,19.0,9.0,1.0,0.09,67.0
13,201,304,8.0,20.8,13951.1,24.0,13.0,2.0,0.08,90.0
14,305,306,8.0,23.8,18517.6,30.0,15.0,2.0,0.08,111.0
15,375,310,16.9,23.9,21093.4,35.0,15.0,2.0,0.08,123.0
16,552,312,8.0,22.5,29299.6,45.0,23.0,3.0,0.09,168.0
17,731,316,13.8,22.0,33304.7,56.0,18.0,4.0,0.09,183.0
18,913,320,17.2,23.7,38526.1,66.0,18.0,4.0,0.1,209.0
19,1096,326,9.5,24.0,39753.4,77.0,35.0,5.0,0.12,279.0
20,1284,330,8.0,22.1,39980.9,88.0,46.0,6.0,0.15,333.0
21,1476,334,9.2,23.0,39999.1,99.0,46.0,6.0,0.19,360.0
22,1706,339,11.7,23.5,39999.8,111.0,52.0,7.0,0.24,406.0
23,1943,342,12.6,23.2,40000.0,125.0,59.0,8.0,0.29,459.0
24,2180,349,10.6,22.3,40000.0,139.0,59.0,9.0,0.34,494.0
25,2459,356,8.0,24.0,40000.0,155.0,82.0,10.0,0.4,590.0
26,2667,363,8.0,23.4,40000.0,167.0,86.0,11.0,0.44,630.0
27,2879,370,8.0,23.9,40000.0,180.0,94.0,11.0,0.48,682.0
28,3115,378,10.3,24.0,40000.0,193.0,94.0,12.0,0.53,716.0
29,3466,385,11.0,24.0,40000.0,213.0,94.0,13.0,0.61,767.0
30,3707,393,15.3,24.0,40000.0,228.0,111.0,14.0,0.66,846.0
31,4023,401,10.2,23.5,40000.0,248.0,119.0,15.0,0.72,916.0
1,0,0,13.9,21.7,11005.5,0.0,0.0,0.0,0.13,-0.0
2,1,1,23.8,8.1,11381.7,1.0,1.0,1.0,0.13,-0.0
3,4,11,14.6,16.4,11547.1,1.0,1.0,1.0,0.13,5.0
4,8,23,13.7,8.2,11454.4,2.0,1.0,1.0,0.13,5.0
5,16,47,8.0,18.0,11448.3,3.0,2.0,1.0,0.13,10.0
6,24,71,9.0,20.0,11933.5,4.0,3.0,1.0,0.12,15.0
7,32,95,14.1,23.9,12674.5,6.0,2.0,1.0,0.12,18.0
8,48,145,8.2,20.8,12415.5,9.0,5.0,1.0,0.11,31.0
9,57,170,21.2,23.8,13331.9,10.0,3.0,1.0,0.11,31.0
10,66,197,8.1,17.2,13168.8,12.0,6.0,1.0,0.1,44.0
11,83,248,15.1,18.7,13266.8,16.0,6.0,1.0,0.09,52.0
12,100,298,14.4,24.0,13856.0,19.0,9.0,1.0,0.09,67.0
13,201,304,8.0,20.8,13951.1,24.0,13.0,2.0,0.08,90.0
14,305,306,8.0,23.8,18517.6,30.0,15.0,2.0,0.08,111.0
15,375,310,16.9,23.9,21093.4,35.0,15.0,2.0,0.08,123.0
16,552,312,8.0,22.5,29299.6,45.0,23.0,3.0,0.09,168.0
17,731,316,13.8,22.0,33304.7,56.0,18.0,4.0,0.09,183.0
18,913,320,17.2,23.7,38526.1,66.0,18.0,4.0,0.1,209.0
19,1096,326,9.5,24.0,39753.4,77.0,35.0,5.0,0.12,279.0
20,1284,330,8.0,22.1,39980.9,88.0,46.0,6.0,0.15,333.0
21,1476,334,9.2,23.0,39999.1,99.0,46.0,6.0,0.19,360.0
22,1706,339,11.7,23.5,39999.8,111.0,52.0,7.0,0.24,406.0
23,1943,342,12.6,23.2,40000.0,125.0,59.0,8.0,0.29,459.0
24,2180,349,10.6,22.3,40000.0,139.0,59.0,9.0,0.34,494.0
25,2459,356,8.0,24.0,40000.0,155.0,82.0,10.0,0.4,590.0
26,2667,363,8.0,23.4,40000.0,167.0,86.0,11.0,0.44,630.0
27,2879,370,8.0,23.9,40000.0,180.0,94.0,11.0,0.48,682.0
28,3115,378,10.3,24.0,40000.0,193.0,94.0,12.0,0.53,716.0
29,3466,385,11.0,24.0,40000.0,213.0,94.0,13.0,0.61,767.0
30,3707,393,15.3,24.0,40000.0,228.0,111.0,14.0,0.66,846.0
31,4023,401,10.2,23.5,40000.0,248.0,119.0,15.0,0.72,916.0
