Año,Rendimiento_General,Puntuacion_Numerica,HV_Evaluacion,IGD_Evaluacion,GD_Evaluacion,Spacing_Evaluacion,Tiempo_Evaluacion,NSol_Evaluacion,Recomendaciones
1.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
2.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
3.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
4.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
5.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
6.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
7.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
8.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
9.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
10.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
11.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
12.0,Bueno,3,Excelente,Malo,Excelente,Excelente,Excelente,Aceptable,Mejorar convergencia: aumentar generaciones o ajustar mutación
13.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
14.0,Bueno,3,Excelente,Malo,Aceptable,Excelente,Excelente,Aceptable,Mejorar convergencia: aumentar generaciones o ajustar mutación
15.0,Bueno,3,Excelente,Malo,Aceptable,Excelente,Excelente,Aceptable,Mejorar convergencia: aumentar generaciones o ajustar mutación
16.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
17.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
18.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
19.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
20.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
21.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
22.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
23.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
24.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
25.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
26.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
27.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
28.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
29.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
30.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
31.0,Excelente,4,Excelente,Excelente,Excelente,Excelente,Excelente,Aceptable,Rendimiento satisfactorio
