Year,Taxis projection,Annual EV,# CS L1,kWh L1 /year,# CS L2-M1,kWh L2-M1 /year,C# S L2-M2&3,kWh L2 M2&3 /year,# CS L3,kWh L3 /year,Jobs
2026,3044,1,1,4073,1,385,1,2869,1,1700,3
2027,3072,15,5,38559,1,11043,1,3098,1,82686,3
2028,3100,31,13,111145,1,26771,1,185827,1,48966,4
2029,3128,63,29,258786,1,403546,1,18266,1,190677,5
2030,3157,95,55,494178,2,679214,1,412057,1,31843,10
2031,3186,127,55,332096,2,335181,1,1978915,1,552935,11
2032,3215,193,109,979692,4,3152227,1,172469,1,45573,20
2033,3244,227,109,50858,9,8485531,1,173826,1,181599,44
2034,3274,262,109,7884,9,3818086,1,512808,1,5332764,35
2035,3304,330,204,1836392,9,404518,1,1285336,1,1662082,16
2036,3334,400,204,309616,9,505260,3,6630011,2,4810318,31
2037,3365,505,238,2147268,9,3327557,3,6152417,2,358885,42
2038,3396,611,264,2382085,9,2964033,5,9972239,2,431940,50
2039,3427,685,264,88865,14,14623694,5,545203,3,12020534,84
2040,3458,864,803,7244186,14,6857,5,188966,3,179833,7
2041,3490,1047,956,8626466,14,793841,5,46255,3,40929,19
2042,3522,1233,1209,10903585,14,18813,5,32049,3,19029,5
2043,3554,1422,1209,424671,25,27276130,5,4423127,4,27896984,157
2044,3586,1614,1209,959611,32,35760355,5,9353171,4,15083029,195
2045,3619,1810,1209,414519,32,33117720,12,23747657,4,19649002,224
2046,3652,2045,1209,14363,32,30599631,12,9405265,8,55013400,219
2047,3685,2285,1209,1572545,32,24016596,12,15528458,8,37335050,205
2048,3719,2529,1362,12292158,32,25369459,12,10782888,8,3828586,180
2049,3753,2815,1362,2530134,32,20981075,12,3811940,11,76127506,195
2050,3787,3030,2672,24113099,32,4175709,12,1193376,11,40744,69
2051,3822,3249,2672,4623532,32,140651,39,86048144,11,6112864,216
2052,3857,3394,2908,26241614,32,7209774,39,11051,11,1115210,80
2053,3892,3581,2908,122380,67,77370813,39,5125557,11,83127185,436
2054,3928,3771,2908,10095813,67,2406645,39,4935536,11,59953106,151
2055,3964,3964,2908,16714682,67,9737339,39,3304876,11,22900895,185
