Import Power [kW],Export Power [kW],Load Power [kW],Tariff Energy Period [-],Tariff Power Period [-],Temperature [C],PV Power [kW],Battery Charging Power [kW],Battery Discharging Power [kW],Battery Aggregate SOC [-],Tariff Energy [$/kWh]
7228.5652,0.0,7228.5652,0,0,17.166350913607847,0.0,0.0,0.0,0.8,0.25
7168.3272,0.0,7168.3272,0,0,17.20786294343281,0.0,0.0,0.0,0.76384368,0.25
7108.0891,0.0,7108.0891,0,0,17.249374973257776,0.0,0.0,0.0,0.72768762,0.25
7047.8511,0.0,7047.8511,0,0,17.290887003082744,0.0,0.0,0.0,0.69195956,0.25
6987.613,0.0,6987.613,0,0,17.33239903290771,0.0,0.0,0.0,0.66137092,0.25
6927.375,0.0,6927.375,0,0,17.373911062732674,0.0,0.0,0.0,0.63571691,0.25
6867.137,0.0,6867.137,0,0,17.41542309255764,0.0,0.0,0.0,0.61324902,0.25
6806.8989,0.0,6806.8989,0,0,17.456935122382603,0.0,0.0,0.0,0.59288582,0.25
6746.6609,0.0,6746.6609,0,0,17.498447152207568,0.0,0.0,0.0,0.57343688,0.25
6686.4228,0.0,6686.4228,0,0,17.539959182032533,0.0,0.0,0.0,0.55584461,0.25
6626.1848,0.0,6626.1848,0,0,17.5814712118575,0.0,0.0,0.0,0.5395146,0.25
6565.9467,0.0,6565.9467,0,0,17.622983241682466,0.0,0.0,0.0,0.5242305,0.25
6505.7087,0.0,6505.7087,0,0,17.66449527150743,0.0,0.0,0.0,0.51080313,0.25
6349.0898,0.0,6349.0898,0,0,17.687908628511504,0.0,0.0,0.0,0.49869972,0.25
6192.4709,0.0,6192.4709,0,0,17.711321985515582,0.0,0.0,0.0,0.48770012,0.25
6035.852,0.0,6035.852,0,0,17.734735342519656,0.0,0.0,0.0,0.47791393,0.25
5879.233,0.0,5879.233,0,0,17.758148699523733,0.0,0.0,0.0,0.46962735,0.25
5722.6141,0.0,5722.6141,0,0,17.781562056527807,0.0,0.0,0.0,0.46048507,0.25
5565.9952,0.0,5565.9952,0,0,17.804975413531885,0.0,0.0,0.0,0.45248186,0.25
5409.3763,0.0,5409.3763,0,0,17.82838877053596,0.0,0.0,0.0,0.44431564,0.25
5252.7574,0.0,5252.7574,0,0,17.851802127540033,0.0,0.0,0.0,0.43614948,0.25
5096.1385,0.0,5096.1385,0,0,17.87521548454411,0.0,0.0,0.0,0.42798338,0.25
4939.5196,0.0,4939.5196,0,0,17.898628841548184,0.0,0.0,0.0,0.41981733,0.25
4782.9007,0.0,4782.9007,0,0,17.922042198552262,0.0,0.0,0.0,0.41281749,0.25
4626.2817,0.0,4626.2817,0,0,17.945455555556336,0.0,0.0,0.0,0.40698386,0.25
4541.9485,0.0,4541.9485,0,0,17.948861807655422,0.0,0.0,0.0,0.40115026,0.25
4457.6152,0.0,4457.6152,0,0,17.952268059754505,0.0,0.0,0.0,0.39531671,0.25
4373.282,0.0,4373.282,0,0,17.955674311853592,0.0,0.0,0.0,0.3894832,0.25
4288.9487,0.0,4288.9487,0,0,17.959080563952675,0.0,0.0,0.0,0.38364973,0.25
4204.6154,0.0,4204.6154,0,0,17.96248681605176,0.0,0.0,0.0,0.37781629,0.25
4120.2822,0.0,4120.2822,0,0,17.965893068150848,0.0,0.0,0.0,0.3719829,0.25
4035.9489,0.0,4035.9489,0,0,17.96929932024993,0.0,0.0,0.0,0.36614955,0.25
3951.6157,0.0,3951.6157,0,0,17.972705572349017,0.0,0.0,0.0,0.36031624,0.25
3867.2824,0.0,3867.2824,0,0,17.9761118244481,0.0,0.0,0.0,0.35448297,0.25
3782.9491,0.0,3782.9491,0,0,17.979518076547187,0.0,0.0,0.0,0.34864974,0.25
3698.6159,0.0,3698.6159,0,0,17.98292432864627,0.0,0.0,0.0,0.34396188,0.25
3614.2826,0.0,3614.2826,0,0,17.986330580745356,0.0,0.0,0.0,0.33812872,0.25
3457.6637,0.0,3457.6637,0,0,17.969452082971625,0.0,0.0,0.0,0.33229561,0.25
3301.0448,0.0,3301.0448,0,0,17.952573585197893,0.0,0.0,0.0,0.32646253,0.25
3144.4259,0.0,3144.4259,0,0,17.93569508742416,0.0,0.0,0.0,0.3206295,0.25
2987.807,0.0,2987.807,0,0,17.91881658965043,0.0,0.0,0.0,0.3147965,0.25
2831.188,0.0,2831.188,0,0,17.901938091876698,0.0,0.0,0.0,0.3101297,0.25
2674.5691,0.0,2674.5691,0,0,17.88505959410297,0.0,0.0,0.0,0.30546293,0.25
2517.9502,0.0,2517.9502,0,0,17.868181096329238,0.0,0.0,0.0,0.3007962,0.25
2361.3313,0.0,2361.3313,0,0,17.851302598555506,0.0,0.0,0.0,0.2961295,0.25
2204.7124,0.0,2204.7124,0,0,17.834424100781774,0.0,0.0,0.0,0.29189466,0.25
2048.0935,0.0,2048.0935,0,0,17.817545603008043,0.0,0.0,0.0,0.28956033,0.25
1891.4746,0.0,1891.4746,0,0,17.80066710523431,0.0,0.0,0.0,0.28722601,0.25
1734.8557,0.0,1734.8557,0,0,17.78378860746058,0.0,0.0,0.0,0.28513027,0.25
1650.5224,0.0,1650.5224,0,0,17.748001132907774,0.0,0.0,0.0,0.28396214,0.25
1566.1891,0.0,1566.1891,0,0,17.712213658354973,0.0,0.0,0.0,0.28279401,0.25
1481.8559,0.0,1481.8559,0,0,17.67642618380217,0.0,0.0,0.0,0.28162589,0.25
1397.5226,0.0,1397.5226,0,0,17.640638709249366,0.0,0.0,0.0,0.28045778,0.25
1313.1893,0.0,1313.1893,0,0,17.60485123469656,0.0,0.0,0.0,0.27928968,0.25
1228.8561,0.0,1228.8561,0,0,17.56906376014376,0.0,0.0,0.0,0.27812159,0.25
1144.5228,0.0,1144.5228,0,0,17.533276285590958,0.0,0.0,0.0,0.2769535,0.25
1060.1896,0.0,1060.1896,0,0,17.497488811038153,0.0,0.0,0.0,0.27578543,0.25
975.8563,0.0,975.8563,0,0,17.461701336485348,0.0,0.0,0.0,0.27461736,0.25
891.52304,0.0,891.52304,0,0,17.425913861932546,0.0,0.0,0.0,0.2734493,0.25
807.18978,0.0,807.18978,0,0,17.390126387379745,0.0,0.0,0.0,0.27228125,0.25
722.85652,0.0,722.85652,0,0,17.35433891282694,0.0,0.0,0.0,0.2711132,0.25
843.33261,0.0,843.33261,0,0,17.302559512844052,0.0,0.0,0.0,0.26994517,0.25
963.8087,0.0,963.8087,0,0,17.250780112861165,0.0,0.0,0.0,0.26877714,0.25
