Import Power [kW],Export Power [kW],Load Power [kW],Tariff Energy Period [-],Tariff Power Period [-],Temperature [C],PV Power [kW],Battery Charging Power [kW],Battery Discharging Power [kW],Battery Aggregate SOC [-],Tariff Energy [$/kWh]
2712.7178,0.0,0.0,0,0,24.166350913607847,0.0,2712.7178,0.0,0.2,0.25
2712.7178,0.0,0.0,0,0,24.20786294343281,0.0,2712.7178,0.0,0.20867549,0.25
2712.7178,0.0,0.0,0,0,24.249374973257776,0.0,2712.7178,0.0,0.21735092,0.25
2712.7178,0.0,0.0,0,0,24.290887003082744,0.0,2712.7178,0.0,0.22602629,0.25
2712.7178,0.0,0.0,0,0,24.33239903290771,0.0,2712.7178,0.0,0.2347016,0.25
2712.7178,0.0,0.0,0,0,24.373911062732674,0.0,2712.7178,0.0,0.24337685,0.25
2712.7178,0.0,0.0,0,0,24.41542309255764,0.0,2712.7178,0.0,0.25205204,0.25
2712.7178,0.0,0.0,0,0,24.456935122382603,0.0,2712.7178,0.0,0.26072717,0.25
2712.7178,0.0,0.0,0,0,24.498447152207568,0.0,2712.7178,0.0,0.26940224,0.25
2712.7178,0.0,0.0,0,0,24.539959182032533,0.0,2712.7178,0.0,0.27807724,0.25
2712.7178,0.0,0.0,0,0,24.5814712118575,0.0,2712.7178,0.0,0.28675219,0.25
2712.7178,0.0,0.0,0,0,24.622983241682466,0.0,2712.7178,0.0,0.29542708,0.25
2712.7178,0.0,0.0,0,0,24.66449527150743,0.0,2712.7178,0.0,0.30410191,0.25
2712.7178,0.0,29.88825,0,0,24.687908628511504,0.0,2682.8295,0.0,0.31277667,0.25
2712.7178,0.0,59.7765,0,0,24.711321985515582,0.0,2652.9413,0.0,0.32135578,0.25
2712.7178,0.0,89.66475,0,0,24.734735342519656,0.0,2623.053,0.0,0.32983923,0.25
2712.7178,0.0,119.553,0,0,24.758148699523733,0.0,2593.1648,0.0,0.33822702,0.25
2712.7178,0.0,149.44125,0,0,24.781562056527807,0.0,2563.2765,0.0,0.34651914,0.25
2712.7178,0.0,179.3295,0,0,24.804975413531885,0.0,2533.3883,0.0,0.35471562,0.25
2712.7178,0.0,209.21775,0,0,24.82838877053596,0.0,2503.5,0.0,0.36281643,0.25
2712.7178,0.0,239.106,0,0,24.851802127540033,0.0,2473.6118,0.0,0.37082159,0.25
2712.7178,0.0,268.99425,0,0,24.87521548454411,0.0,2443.7235,0.0,0.37873109,0.25
2712.7178,0.0,298.8825,0,0,24.898628841548184,0.0,2413.8353,0.0,0.38654493,0.25
2712.7178,0.0,328.77075,0,0,24.922042198552262,0.0,2383.947,0.0,0.39426313,0.25
2712.7178,0.0,358.659,0,0,24.945455555556336,0.0,2354.0588,0.0,0.40188566,0.25
2712.7178,0.0,358.659,0,0,24.948861807655422,0.0,2354.0588,0.0,0.40941255,0.25
2712.7178,0.0,358.659,0,0,24.952268059754505,0.0,2354.0588,0.0,0.41693938,0.25
2712.7178,0.0,358.659,0,0,24.955674311853592,0.0,2354.0588,0.0,0.42446616,0.25
2712.7178,0.0,358.659,0,0,24.959080563952675,0.0,2354.0588,0.0,0.43199289,0.25
2712.7178,0.0,358.659,0,0,24.96248681605176,0.0,2354.0588,0.0,0.43951956,0.25
2712.7178,0.0,358.659,0,0,24.965893068150848,0.0,2354.0588,0.0,0.44704618,0.25
2712.7178,0.0,358.659,0,0,24.96929932024993,0.0,2354.0588,0.0,0.45457275,0.25
2712.7178,0.0,358.659,0,0,24.972705572349017,0.0,2354.0588,0.0,0.46209927,0.25
2712.7178,0.0,358.659,0,0,24.9761118244481,0.0,2354.0588,0.0,0.46962574,0.25
2712.7178,0.0,358.659,0,0,24.979518076547187,0.0,2354.0588,0.0,0.47715215,0.25
2712.7178,0.0,358.659,0,0,24.98292432864627,0.0,2354.0588,0.0,0.48467851,0.25
2712.7178,0.0,358.659,0,0,24.986330580745356,0.0,2354.0588,0.0,0.49220482,0.25
2712.7178,0.0,388.54725,0,0,24.969452082971625,0.0,2324.1705,0.0,0.49973108,0.25
2712.7178,0.0,418.4355,0,0,24.952573585197893,0.0,2294.2823,-8.6798625e-12,0.50716168,0.25
2712.7178,0.0,448.32375,0,0,24.93569508742416,0.0,2264.394,0.0,0.51449664,0.25
2712.7178,0.0,478.212,0,0,24.91881658965043,0.0,2234.5058,0.0,0.52173594,0.25
2712.7178,0.0,508.10025,0,0,24.901938091876698,0.0,2204.6175,0.0,0.52887959,0.25
2712.7178,0.0,537.9885,0,0,24.88505959410297,0.0,2174.7293,0.0,0.53592759,0.25
2712.7178,0.0,567.87675,0,0,24.868181096329238,0.0,2144.841,0.0,0.54287994,0.25
2712.7178,0.0,597.765,0,0,24.851302598555506,0.0,2114.9528,0.0,0.54973664,0.25
2712.7178,0.0,627.65325,0,0,24.834424100781774,0.0,2085.0645,0.0,0.5564977,0.25
2712.7178,0.0,657.5415,0,0,24.817545603008043,0.0,2055.1763,0.0,0.56316311,0.25
2712.7178,0.0,687.42975,0,0,24.80066710523431,0.0,2025.288,0.0,0.56973287,0.25
2712.7178,0.0,717.318,0,0,24.78378860746058,0.0,1995.3998,0.0,0.57620698,0.25
2712.7178,0.0,797.02,0,0,24.748001132907774,0.0,1915.6978,0.0,0.58258545,0.25
2712.7178,0.0,876.722,0,0,24.712213658354973,0.0,1835.9958,0.0,0.58870894,0.25
2712.7178,0.0,956.424,0,0,24.67642618380217,0.0,1756.2938,0.0,0.59457746,0.25
2712.7178,0.0,1036.126,0,0,24.640638709249366,0.0,1676.5918,-8.6798625e-12,0.600191,0.25
2712.7178,0.0,1115.828,0,0,24.60485123469656,0.0,1596.8898,0.0,0.60554956,0.25
2712.7178,0.0,1195.53,0,0,24.56906376014376,0.0,1517.1878,0.0,0.61065316,0.25
2712.7178,0.0,1275.232,0,0,24.533276285590958,0.0,1437.4858,0.0,0.61550178,0.25
2712.7178,0.0,1354.934,0,0,24.497488811038153,0.0,1357.7838,0.0,0.62009544,0.25
2712.7178,0.0,1434.636,0,0,24.461701336485348,0.0,1278.0818,0.0,0.62443413,0.25
2712.7178,0.0,1514.338,0,0,24.425913861932546,0.0,1198.3798,0.0,0.62851786,0.25
2712.7178,0.0,1594.04,0,0,24.390126387379745,0.0,1118.6778,0.0,0.63234662,0.25
2712.7178,0.0,1673.742,0,0,24.35433891282694,0.0,1038.9758,0.0,0.63592042,0.25
2712.7178,0.0,1843.1087,0,0,24.302559512844052,0.0,869.60905,0.0,0.63923927,0.25
2712.7178,0.0,2012.4755,0,0,24.250780112861165,0.0,700.2423,0.0,0.64201635,0.25
2712.7178,0.0,2181.8422,0,0,24.19900071287828,0.0,530.87555,0.0,0.64425169,0.25
2712.7178,0.0,2351.209,0,0,24.147221312895393,0.0,361.5088,0.0,0.64594527,0.25
2712.7178,0.0,2520.5758,0,0,24.095441912912506,0.0,192.14205,0.0,0.6470971,0.25
2712.7178,0.0,2689.9425,0,0,24.04366251292962,0.0,22.775299,0.0,0.64770719,0.25
2712.7178,0.0,2859.3093,0,0,23.991883112946734,0.0,0.0,146.59145,0.64777554,0.25
2712.7178,0.0,3028.676,0,0,23.940103712963847,0.0,0.0,315.9582,0.64726227,0.25
2712.7178,0.0,3198.0428,0,0,23.88832431298096,1.9850239,0.0,483.33993,0.64616118,0.25
2712.7178,0.0,3367.4095,0,0,23.83654491299807,32.001004,0.0,622.6907,0.64447917,0.25
2712.7178,0.0,3536.7762,0,0,23.784765513015188,60.515454,0.0,763.543,0.64231352,0.25
2712.7178,0.0,3706.143,0,0,23.7329861130323,192.29452,0.0,801.13068,0.63965904,0.25
2712.7178,0.0,3935.2862,0,0,23.669435347189363,959.9892,0.0,262.57925,0.63687411,0.25
2712.7178,0.0,4164.4295,0,0,23.605884581346427,838.69639,0.0,613.01531,0.63595836,0.25
2712.7178,0.0,4393.5728,0,0,23.54233381550349,1398.7344,0.0,282.12053,0.63382635,0.25
2712.7178,0.0,4622.716,0,0,23.478783049660557,1133.5394,0.0,776.4588,0.6328428,0.25
2712.7178,0.0,4851.8592,0,0,23.41523228381762,1269.9324,0.0,869.20902,0.63014355,0.25
2712.7178,0.0,5081.0025,0,0,23.351681517974683,1248.1005,0.0,1120.1842,0.62712242,0.25
2712.7178,0.0,5310.1458,0,0,23.288130752131746,974.12775,0.0,1623.3002,0.62323024,0.25
2712.7178,0.0,5539.289,0,0,23.22457998628881,1483.6885,0.0,1342.8827,0.61759193,0.25
2712.7178,0.0,5768.4323,0,0,23.161029220445876,5550.6601,2494.9456,0.0,0.61292691,0.25
2712.7178,0.0,5997.5755,0,0,23.09747845460294,5521.4008,2236.5431,0.0,0.62090297,0.25
2712.7178,0.0,6226.7187,0,0,23.033927688760002,5459.1994,1945.1985,0.0,0.62805245,0.25
2712.7178,0.0,6455.862,0,0,22.970376922917065,8952.7105,5209.5663,0.0,0.63426998,0.25
2712.7178,0.0,6515.6385,0,0,22.900234839524774,9287.4525,5484.5318,0.0,0.65092886,0.25
2712.7178,0.0,6575.415,0,0,22.830092756132483,8825.2385,4962.5413,0.0,0.66846712,0.25
2712.7178,0.0,6635.1915,0,0,22.759950672740192,9428.6334,5506.1597,0.0,0.68433563,0.25
2712.7178,0.0,6694.968,0,0,22.6898085893479,3209.7171,0.0,772.53313,0.70194284,0.25
2712.7178,0.0,6754.7445,0,0,22.61966650595561,5490.7093,1448.6826,0.0,0.69925673,0.25
2712.7178,0.0,6814.521,0,0,22.549524422563316,11082.087,6980.2836,0.0,0.70388562,0.25
2712.7178,0.0,6874.2975,0,0,22.479382339171025,12393.637,8232.0572,0.0,0.72620782,0.25
