Import Power [kW],Export Power [kW],Load Power [kW],Tariff Energy Period [-],Tariff Power Period [-],Temperature [C],PV Power [kW],Battery Charging Power [kW],Battery Discharging Power [kW],Battery Aggregate SOC [-],Tariff Energy [$/kWh]
0.0,10697.609,6.3913043,0,0,17.166350913607847,0.0,0.0,10704.0,0.8,0.25
0.0,0.0,6.3380435,0,0,17.20786294343281,0.0,1050.0,4292.2952,0.76284412,0.25
0.0,0.0,6.2847826,0,0,17.249374973257776,0.0,1064.6228,2016.0,0.7513001,0.25
0.0,0.0,6.2315217,0,0,17.290887003082744,0.0,350.0,2160.0,0.74770326,0.25
0.0,0.0,6.1782609,0,0,17.33239903290771,0.0,0.0,2976.0,0.74132087,0.25
0.0,0.0,6.125,0,0,17.373911062732674,0.0,0.0,2832.0,0.73098693,0.25
0.0,0.0,6.0717391,0,0,17.41542309255764,0.0,350.0,2304.0,0.72115285,0.25
0.0,0.0,6.0184783,0,0,17.456935122382603,0.0,350.0,2976.0,0.71427087,0.25
0.0,0.0,5.9652174,0,0,17.498447152207568,0.0,0.0,2496.0,0.70505662,0.25
0.0,0.0,5.9119565,0,0,17.539959182032533,0.0,0.0,2160.0,0.69638887,0.25
0.0,0.0,5.8586957,0,0,17.5814712118575,0.0,22.664879,2160.0,0.68888734,0.25
0.0,0.0,5.8054348,0,0,17.622983241682466,0.0,1050.0,1203.1039,0.68145835,0.25
0.0,0.0,5.7521739,0,0,17.66449527150743,0.0,0.0,2304.0,0.68063653,0.25
0.0,0.0,5.6136957,0,0,17.687908628511504,0.0,700.0,1968.0,0.67263532,0.25
0.0,0.0,5.4752174,0,0,17.711321985515582,0.0,0.0,2655.807,0.66803934,0.25
0.0,0.0,5.3367391,0,0,17.734735342519656,0.0,500.0,1824.0,0.6588172,0.25
0.0,0.0,5.1982609,0,0,17.758148699523733,0.0,528.57538,1824.0,0.65408137,0.25
0.0,0.0,5.0597826,0,0,17.781562056527807,0.0,150.0,2496.0,0.64943698,0.25
0.0,0.0,4.9213043,0,0,17.804975413531885,0.0,1064.8548,1632.0,0.64124941,0.25
0.0,0.0,4.7828261,0,0,17.82838877053596,0.0,0.0,2976.0,0.63898681,0.25
0.0,0.0,4.6443478,0,0,17.851802127540033,0.0,0.0,1968.0,0.62865359,0.25
0.0,0.0,4.5058696,0,0,17.87521548454411,0.0,0.0,2160.0,0.6218189,0.25
0.0,0.0,4.3673913,0,0,17.898628841548184,0.0,0.0,2832.0,0.61431788,0.25
0.0,0.0,4.228913,0,0,17.922042198552262,0.0,164.84404,2016.0,0.6044846,0.25
0.0,0.0,4.0904348,0,0,17.945455555556336,0.0,0.0,1488.0,0.59801075,0.25
0.0,0.0,4.0158696,0,0,17.948861807655422,0.0,1050.0,2304.0,0.5928422,0.25
0.0,0.0,3.9413043,0,0,17.952268059754505,0.0,700.0,2496.0,0.58820013,0.25
0.0,0.0,3.8667391,0,0,17.955674311853592,0.0,150.0,2352.0,0.5817722,0.25
0.0,0.0,3.7921739,0,0,17.959080563952675,0.0,0.0,1968.0,0.57408488,0.25
0.0,0.0,3.7176087,0,0,17.96248681605176,0.0,0.0,1632.0,0.56725056,0.25
0.0,0.0,3.6430435,0,0,17.965893068150848,0.0,0.0,1488.0,0.56158245,0.25
0.0,0.0,3.5684783,0,0,17.96929932024993,0.0,0.0,1632.0,0.55641415,0.25
0.0,0.0,3.493913,0,0,17.972705572349017,0.0,0.0,1632.0,0.55074612,0.25
0.0,0.0,3.4193478,0,0,17.9761118244481,0.0,700.0,1968.0,0.54507812,0.25
0.0,0.0,3.3447826,0,0,17.979518076547187,0.0,0.0,3648.0,0.54048302,0.25
0.0,0.0,3.2702174,0,0,17.98292432864627,0.0,108.62391,2304.0,0.52781817,0.25
0.0,0.0,3.1956522,0,0,17.986330580745356,0.0,0.0,2160.0,0.52016547,0.25
0.0,0.0,3.0571739,0,0,17.969452082971625,0.0,0.0,2160.0,0.51266515,0.25
0.0,0.0,2.9186957,0,0,17.952573585197893,0.0,350.0,3168.0,0.50516489,0.25
0.0,0.0,2.7802174,0,0,17.93569508742416,0.0,0.0,2496.0,0.49528573,0.25
0.0,0.0,2.6417391,0,0,17.91881658965043,0.0,350.0,2690.5694,0.48661943,0.25
0.0,0.0,2.5032609,0,0,17.901938091876698,0.0,1063.8463,1066.3496,0.47839741,0.25
0.0,0.0,2.3647826,0,0,17.88505959410297,0.0,350.0,1152.0,0.47809593,0.25
0.0,0.0,2.2263043,0,0,17.868181096329238,0.0,1065.1088,1488.0,0.47521388,0.25
0.0,0.0,2.0878261,0,0,17.851302598555506,0.0,1050.0,1052.0878,0.47345303,0.25
0.0,0.0,1.9493478,0,0,17.834424100781774,0.0,0.0,1296.0,0.47315679,0.25
0.0,0.0,1.8108696,0,0,17.817545603008043,0.0,0.0,1296.0,0.46865548,0.25
0.0,0.0,1.6723913,0,0,17.80066710523431,0.0,0.0,816.0,0.46415421,0.25
0.0,0.0,1.533913,0,0,17.78378860746058,0.0,0.0,816.0,0.4613189,0.25
0.0,0.0,1.4593478,0,0,17.748001132907774,0.0,150.00313,672.0,0.45848361,0.25
0.0,0.0,1.3847826,0,0,17.712213658354973,0.0,0.031250977,1401.0438,0.45662791,0.25
0.0,0.0,1.3102174,0,0,17.67642618380217,0.0,350.0,1152.0,0.45176225,0.25
0.0,0.0,1.2356522,0,0,17.640638709249366,0.0,0.0,816.0,0.44888038,0.25
