Import Power [kW],Export Power [kW],Load Power [kW],Tariff Energy Period [-],Tariff Power Period [-],Temperature [C],PV Power [kW],Battery Charging Power [kW],Battery Discharging Power [kW],Battery Aggregate SOC [-],Tariff Energy [$/kWh]
0.43421875,0.0,0.0,0,0,24.166350913607847,0.0,0.43421875,0.0,0.2,0.25
91.136493,0.0,0.0,0,0,24.20786294343281,0.0,91.136493,0.0,0.2,0.25
91.136493,0.0,0.0,0,0,24.249374973257776,0.0,91.136493,0.0,0.20029012,0.25
91.136493,0.0,0.0,0,0,24.290887003082744,0.0,91.136493,0.0,0.20058024,0.25
91.136493,0.0,0.0,0,0,24.33239903290771,0.0,91.136493,0.0,0.20087035,0.25
91.136493,0.0,0.0,0,0,24.373911062732674,0.0,91.136493,0.0,0.20116047,0.25
91.136493,0.0,0.0,0,0,24.41542309255764,0.0,91.136493,0.0,0.20145058,0.25
91.136493,0.0,0.0,0,0,24.456935122382603,0.0,91.136493,0.0,0.20174069,0.25
91.136493,0.0,0.0,0,0,24.498447152207568,0.0,91.136493,0.0,0.2020308,0.25
91.136493,0.0,0.0,0,0,24.539959182032533,0.0,91.136493,0.0,0.2023209,0.25
91.136493,0.0,0.0,0,0,24.5814712118575,0.0,91.136493,0.0,0.202611,0.25
91.136493,0.0,0.0,0,0,24.622983241682466,0.0,91.136493,0.0,0.20290111,0.25
91.136493,0.0,0.0,0,0,24.66449527150743,0.0,91.136493,0.0,0.20319121,0.25
91.136493,0.0,0.0,0,0,24.687908628511504,0.0,91.136493,0.0,0.2034813,0.25
91.136493,0.0,0.0,0,0,24.711321985515582,0.0,91.136493,0.0,0.2037714,0.25
91.136493,0.0,0.0,0,0,24.734735342519656,0.0,91.136493,0.0,0.20406149,0.25
91.136493,0.0,0.0,0,0,24.758148699523733,0.0,91.136493,0.0,0.20435158,0.25
91.136493,0.0,0.0,0,0,24.781562056527807,0.0,91.136493,0.0,0.20464167,0.25
91.136493,0.0,0.0,0,0,24.804975413531885,0.0,91.136493,0.0,0.20493176,0.25
91.136493,0.0,0.0,0,0,24.82838877053596,0.0,91.136493,0.0,0.20522185,0.25
91.136493,0.0,0.0,0,0,24.851802127540033,0.0,91.136493,0.0,0.20551193,0.25
91.136493,0.0,0.0,0,0,24.87521548454411,0.0,91.136493,0.0,0.20580201,0.25
91.136493,0.0,0.0,0,0,24.898628841548184,0.0,91.136493,0.0,0.20609209,0.25
91.136493,0.0,0.0,0,0,24.922042198552262,0.0,91.136493,0.0,0.20638217,0.25
91.136493,0.0,0.0,0,0,24.945455555556336,0.0,91.136493,0.0,0.20667224,0.25
91.136493,0.0,0.0,0,0,24.948861807655422,0.0,91.136493,0.0,0.20696231,0.25
91.136493,0.0,0.0,0,0,24.952268059754505,0.0,91.136493,0.0,0.20725239,0.25
91.136493,0.0,0.0,0,0,24.955674311853592,0.0,91.136493,0.0,0.20754246,0.25
91.136493,0.0,0.0,0,0,24.959080563952675,0.0,91.136493,0.0,0.20783252,0.25
91.136493,0.0,0.0,0,0,24.96248681605176,0.0,91.136493,0.0,0.20812259,0.25
91.136493,0.0,0.0,0,0,24.965893068150848,0.0,91.136493,0.0,0.20841265,0.25
91.136493,0.0,0.0,0,0,24.96929932024993,0.0,91.136493,0.0,0.20870271,0.25
91.136493,0.0,0.0,0,0,24.972705572349017,0.0,91.136493,0.0,0.20899277,0.25
91.136493,0.0,0.0,0,0,24.9761118244481,0.0,91.136493,0.0,0.20928283,0.25
91.136493,0.0,0.0,0,0,24.979518076547187,0.0,91.136493,0.0,0.20957288,0.25
91.136493,0.0,0.0,0,0,24.98292432864627,0.0,91.136493,0.0,0.20986294,0.25
91.136493,0.0,0.0,0,0,24.986330580745356,0.0,91.136493,0.0,0.21015299,0.25
91.136493,0.0,0.0,0,0,24.969452082971625,0.0,91.136493,0.0,0.21044304,0.25
91.136493,0.0,0.0,0,0,24.952573585197893,0.0,91.136493,0.0,0.21073308,0.25
91.136493,0.0,0.0,0,0,24.93569508742416,0.0,91.136493,0.0,0.21102313,0.25
91.136493,0.0,0.0,0,0,24.91881658965043,0.0,91.136493,0.0,0.21131317,0.25
91.136493,0.0,0.0,0,0,24.901938091876698,0.0,91.136493,0.0,0.21160321,0.25
91.136493,0.0,0.0,0,0,24.88505959410297,0.0,91.136493,0.0,0.21189325,0.25
91.136493,0.0,0.0,0,0,24.868181096329238,0.0,91.136493,0.0,0.21218329,0.25
91.136493,0.0,0.0,0,0,24.851302598555506,0.0,91.136493,0.0,0.21247332,0.25
91.136493,0.0,0.0,0,0,24.834424100781774,0.0,91.136493,0.0,0.21276336,0.25
91.136493,0.0,0.0,0,0,24.817545603008043,0.0,91.136493,0.0,0.21305339,0.25
91.136493,0.0,0.0,0,0,24.80066710523431,0.0,91.136493,0.0,0.21334342,0.25
91.136493,0.0,0.0,0,0,24.78378860746058,0.0,91.136493,0.0,0.21363344,0.25
91.136493,0.0,24.957615,0,0,24.748001132907774,0.0,66.178878,0.0,0.21392347,0.25
91.136493,0.0,49.91523,0,0,24.712213658354973,0.0,41.221263,0.0,0.21413366,0.25
91.136493,0.0,74.872845,0,0,24.67642618380217,0.0,16.263648,0.0,0.21426403,0.25
91.136493,0.0,99.83046,0,0,24.640638709249366,0.0,0.0,8.6939669,0.21431456,0.25
91.136493,0.0,124.78807,0,0,24.60485123469656,0.0,0.0,33.651582,0.2142829,0.25
91.136493,0.0,149.74569,0,0,24.56906376014376,0.0,0.0,58.609197,0.21416461,0.25
91.136493,0.0,174.7033,0,0,24.533276285590958,0.0,0.0,83.566812,0.21395971,0.25
91.136493,0.0,199.66092,0,0,24.497488811038153,0.0,0.0,108.52443,0.21366819,0.25
91.136493,0.0,224.61853,0,0,24.461701336485348,0.0,0.0,133.48204,0.21329005,0.25
91.136493,0.0,249.57615,0,0,24.425913861932546,0.0,0.0,158.43966,0.2128253,0.25
91.136493,0.0,274.53376,0,0,24.390126387379745,0.0,0.0,183.39727,0.21227392,0.25
91.136493,0.0,299.49138,0,0,24.35433891282694,0.0,0.0,208.35489,0.21163593,0.25
91.136493,0.0,310.1875,0,0,24.302559512844052,0.0,0.0,219.05101,0.21091133,0.25
91.136493,0.0,320.88362,0,0,24.250780112861165,0.0,0.0,229.74713,0.2101496,0.25
91.136493,0.0,331.57974,0,0,24.19900071287828,0.0,0.0,240.44325,0.20935076,0.25
91.136493,0.0,342.27586,0,0,24.147221312895393,0.0,0.0,251.13937,0.2085148,0.25
91.136493,0.0,352.97198,0,0,24.095441912912506,0.0,0.0,261.83549,0.20764173,0.25
91.136493,0.0,363.6681,0,0,24.04366251292962,0.0,0.0,272.53161,0.20673153,0.25
91.136493,0.0,374.36422,0,0,23.991883112946734,0.0,0.0,283.22773,0.20578422,0.25
91.136493,0.0,385.06034,0,0,23.940103712963847,0.0,0.0,293.92385,0.2047998,0.25
91.136493,0.0,395.75647,0,0,23.88832431298096,1.9850239,0.0,302.63495,0.20377825,0.25
91.136493,0.0,406.45259,0,0,23.83654491299807,32.001004,0.0,283.31509,0.20272649,0.25
91.136493,0.0,417.14871,0,0,23.784765513015188,60.515454,0.0,265.49676,0.20174178,0.25
0.0,0.0,427.84483,1,1,23.7329861130323,192.29452,0.0,235.5503,0.20081892,0.5
0.0,518.00781,441.39325,1,1,23.669435347189363,959.9892,0.5881442,0.0,0.2,0.5
0.0,0.0,454.94167,1,1,23.605884581346427,838.69639,46.131054,0.0,0.20000049,0.5
0.0,0.0,468.49009,1,1,23.54233381550349,1398.7344,0.24085078,0.0,0.20014666,0.5
0.0,0.0,482.03851,1,1,23.478783049660557,1133.5394,450.45448,41.805056,0.20014604,0.5
0.0,0.0,495.58693,1,1,23.41523228381762,1269.9324,380.40036,0.0,0.20144038,0.5
0.0,0.0,509.13534,1,1,23.351681517974683,1248.1005,738.96519,0.0,0.20265572,0.5
0.0,1827.2025,522.68376,1,1,23.288130752131746,974.12775,0.32717575,1445.3421,0.20501796,0.5
0.0,0.0,536.23218,1,1,23.22457998628881,1483.6885,0.37642455,0.0,0.20000125,0.5
0.0,0.0,549.7806,1,1,23.161029220445876,5550.6601,0.42305682,0.0,0.20000106,0.5
0.0,0.0,563.32902,1,1,23.09747845460294,5521.4008,0.46717254,0.0,0.20000102,0.5
0.0,0.0,576.87744,1,1,23.033927688760002,5459.1994,0.41772735,0.0,0.20000113,0.5
0.0,0.0,590.42586,1,1,22.970376922917065,8952.7105,0.2992019,0.0,0.20000108,0.5
0.0,0.0,598.26968,1,1,22.900234839524774,9287.4525,0.37062623,0.0,0.20000065,0.5
0.0,0.0,606.11351,1,1,22.830092756132483,8825.2385,0.55307536,0.0,0.20000044,0.5
0.0,0.0,613.95733,1,1,22.759950672740192,9428.6334,0.55033222,0.0,0.20000082,0.5
0.0,0.0,621.80115,1,1,22.6898085893479,3209.7171,0.34828443,0.0,0.20000119,0.5
0.0,0.0,629.64497,1,1,22.61966650595561,5490.7093,0.52651392,0.0,0.20000092,0.5
0.0,0.0,637.48879,1,1,22.549524422563316,11082.087,0.39083485,0.0,0.20000121,0.5
0.0,0.0,645.33261,1,1,22.479382339171025,12393.637,1050.7489,0.0,0.20000108,0.5
0.0,0.0,653.17644,1,1,22.409240255778734,6146.4844,0.12668561,967.60861,0.2033606,0.5
0.0,0.0,661.02026,1,1,22.339098172386443,6314.6738,0.54392778,0.0,0.20000132,0.5
0.0,0.0,668.86408,1,1,22.268956088994152,3600.5222,0.24507114,0.0,0.20000167,0.5
0.0,0.0,676.7079,1,1,22.19881400560186,7903.4705,0.74292398,0.0,0.20000107,0.5
0.0,0.0,684.55172,1,1,22.12867192220957,3992.7595,0.55813131,0.0,0.20000206,0.5
0.0,0.0,689.54325,1,1,22.057655830506164,4821.43,0.22923757,0.0,0.20000245,0.5
0.0,0.0,694.53477,1,1,21.986639738802758,6113.7468,0.30095811,0.0,0.2000018,0.5
0.0,0.0,699.52629,1,1,21.915623647099352,5802.7396,0.74313016,0.0,0.20000137,0.5
0.0,0.0,704.51782,1,1,21.844607555395946,6627.1133,0.31885768,0.0,0.20000236,0.5
0.0,0.0,709.50934,1,1,21.77359146369254,5519.9686,0.34099295,0.0,0.20000199,0.5
0.0,0.0,714.50086,1,1,21.702575371989134,5373.2632,0.27651196,0.0,0.20000169,0.5
0.0,0.0,719.49239,1,1,21.631559280285728,7311.943,0.68912517,0.0,0.20000119,0.5
0.0,0.0,724.48391,1,1,21.560543188582322,9541.9873,0.2276043,0.0,0.200002,0.5
0.0,0.0,729.47543,1,1,21.489527096878916,7946.0293,0.44185935,0.0,0.20000134,0.5
0.0,0.0,734.46695,1,1,21.41851100517551,8106.239,0.27428915,0.0,0.20000137,0.5
0.0,0.0,739.45848,1,1,21.347494913472104,8113.4003,0.45487957,0.0,0.20000085,0.5
0.0,0.0,744.45,0,0,21.2764788217687,6186.3833,0.46800547,8.9877337e-14,0.20000092,0.25
0.0,0.0,739.45848,0,0,21.210377271748275,11623.485,0.48974192,0.0,0.20000103,0.25
0.0,0.0,734.46695,0,0,21.14427572172785,8645.7955,0.30119872,0.0,0.20000121,0.25
0.0,0.0,729.47543,0,0,21.078174171707424,10347.742,0.76486674,8.9877337e-14,0.20000078,0.25
0.0,0.0,724.48391,0,0,21.012072621687,10624.579,0.31587007,0.0,0.20000184,0.25
0.0,697.50396,719.49239,0,0,20.945971071666577,19091.75,0.19293487,0.0,0.20000146,0.25
0.0,0.0,714.50086,0,0,20.87986952164615,13092.585,350.29236,0.0,0.20000069,0.25
0.0,0.0,709.50934,0,0,20.813767971625726,10123.284,0.60904868,322.45216,0.20111974,0.25
0.0,0.0,704.51782,0,0,20.747666421605302,7210.2518,350.41802,0.0,0.20000116,0.25
0.0,0.0,699.52629,0,0,20.68156487158488,7628.27,0.15864735,0.0,0.20112061,0.25
0.0,0.0,694.53477,0,0,20.615463321564455,7014.2354,0.84033923,322.46442,0.20111973,0.25
0.0,0.0,689.54325,0,0,20.549361771544028,5361.6004,0.40868447,0.0,0.20000184,0.25
0.0,0.0,684.55172,0,0,20.483260221523604,4910.0262,0.37585207,0.0,0.20000176,0.25
0.0,0.0,680.98635,0,0,20.427461176937914,5180.5206,350.31233,0.0,0.20000157,0.25
0.0,0.0,677.42098,0,0,20.371662132352224,4630.3243,0.324862,322.54957,0.20112069,0.25
0.0,0.0,673.8556,0,0,20.315863087766534,4766.3899,0.60325127,0.0,0.20000086,0.25
0.0,0.0,670.29023,0,0,20.260064043180844,4307.8589,0.2732119,0.0,0.2000014,0.25
0.0,0.0,666.72486,0,0,20.204264998595153,6810.6485,0.59845774,4.4938668e-14,0.20000089,0.25
0.0,0.0,663.15948,0,0,20.14846595400946,6918.8871,0.29060957,0.0,0.20000141,0.25
0.0,0.0,659.59411,0,0,20.09266690942377,9147.9085,0.51038473,0.0,0.20000095,0.25
0.0,0.0,656.02874,0,0,20.03686786483808,7148.0504,0.38989875,0.0,0.2000012,0.25
0.0,0.0,652.46336,0,0,19.98106882025239,6938.9389,270.07825,0.0,0.20000106,0.25
0.0,0.0,648.89799,0,0,19.9252697756667,6265.9766,0.31675445,0.0,0.20086354,0.25
0.0,0.0,645.33261,0,0,19.86947073108101,9223.4096,0.56639463,0.0,0.20086315,0.25
0.0,0.0,641.76724,0,0,19.81367168649532,8728.2534,0.44632157,0.0,0.20086357,0.25
0.0,879.46624,616.80963,0,0,19.772723349751164,20461.0,599.08377,248.25364,0.2008636,0.25
0.0,0.0,591.85201,0,0,19.731775013007006,13402.773,0.55545574,413.62526,0.20191682,0.25
0.0,0.0,566.8944,0,0,19.69082667626285,8054.268,348.10485,0.0,0.20048163,0.25
0.0,0.0,541.93678,0,0,19.649878339518697,8613.0579,500.14497,0.0,0.20159368,0.25
0.0,0.0,516.97917,0,0,19.60893000277454,8099.4869,500.47455,0.0,0.20319204,0.25
0.0,0.0,492.02155,0,0,19.567981666030384,8266.8578,500.29224,0.0,0.20479145,0.25
0.0,0.0,467.06394,0,0,19.52703332928623,8992.8141,350.29191,0.0,0.20639025,0.25
0.0,0.0,442.10632,0,0,19.48608499254207,9225.6603,500.37401,0.0,0.20750926,0.25
0.0,0.0,417.14871,0,0,19.445136655797917,8331.5146,500.18632,0.0,0.20910831,0.25
0.0,0.0,392.19109,0,0,19.404188319053763,8311.6674,500.34339,0.0,0.21070675,0.25
0.0,0.0,367.23348,0,0,19.363239982309604,10362.883,500.35431,0.0,0.21230569,0.25
0.0,0.0,342.27586,0,0,19.32229164556545,15621.769,500.37306,0.0,0.21390464,0.25
0.0,0.0,335.14511,0,0,19.2995317319503,11779.602,500.37488,0.0,0.21550364,0.25
0.0,0.0,328.01437,0,0,19.276771818335153,9455.0281,500.44415,0.0,0.21710264,0.25
0.0,0.0,320.88362,0,0,19.254011904720002,8435.8657,500.50801,0.0,0.21870185,0.25
0.0,0.0,313.75287,0,0,19.231251991104852,9146.6808,540.34034,0.0,0.22030126,0.25
0.0,0.0,306.62213,0,0,19.208492077489705,8823.8063,904.50785,0.0,0.22202805,0.25
0.0,0.0,299.49138,0,0,19.185732163874555,8879.2556,500.24356,0.0,0.22491966,0.25
0.0,0.0,292.36063,0,0,19.162972250259404,6805.9424,1000.3424,0.0,0.22651818,0.25
0.0,0.0,285.22989,0,0,19.140212336644257,6436.2122,1200.1993,0.0,0.22971629,0.25
0.0,0.0,278.09914,0,0,19.117452423029107,7075.6184,1612.1972,0.0,0.23355365,0.25
0.0,0.0,270.96839,0,0,19.094692509413957,6196.4092,2050.2299,0.0,0.23870879,0.25
0.0,0.0,263.83764,0,0,19.07193259579881,5930.4162,2050.2439,0.0,0.24526498,0.25
0.0,0.0,256.7069,0,0,19.04917268218366,6500.0505,2064.8724,-4.4938668e-14,0.25182117,0.25
0.0,0.0,246.01078,0,0,19.046456361347076,5898.0879,2050.2184,0.0,0.25842411,0.25
0.0,0.0,235.31466,0,0,19.043740040510492,5582.7838,2400.1732,0.0,0.26498013,0.25
0.0,0.0,224.61853,0,0,19.04102371967391,5461.8593,1900.1211,0.0,0.27265546,0.25
0.0,0.0,213.92241,0,0,19.03830739883733,7064.1602,2400.2197,0.0,0.27873128,0.25
0.0,0.0,203.22629,0,0,19.035591078000746,8000.8648,2750.1089,0.0,0.28640667,0.25
0.0,0.0,192.53017,0,0,19.032874757164162,6284.3915,1550.04,0.0,0.29520116,0.25
0.0,0.0,181.83405,0,0,19.03015843632758,6382.809,3133.8214,336.0,0.30015706,0.25
0.0,0.0,171.13793,0,0,19.027442115490995,6568.7994,2600.1492,645.05643,0.30901264,0.25
0.0,0.0,160.44181,0,0,19.024725794654415,6369.5093,2050.0249,645.05427,0.31508851,0.25
0.0,0.0,149.74569,0,0,19.022009473817832,6273.9564,2400.1383,0.0,0.31940473,0.25
0.0,0.0,139.04957,0,0,19.01929315298125,6248.5848,2750.1059,322.45483,0.32707958,0.25
0.0,0.0,128.35345,0,0,19.016576832144665,6535.8572,3100.2006,0.0,0.33475464,0.25
0.0,0.0,121.2227,0,0,19.034125512482767,6257.383,2400.1097,0.0,0.34466859,0.25
0.0,0.0,114.09195,0,0,19.051674192820865,6001.4159,2750.0602,322.54064,0.35234317,0.25
0.0,0.0,106.96121,0,0,19.069222873158967,6418.2065,2912.9569,0.0,0.3600176,0.25
0.0,0.0,99.83046,0,0,19.08677155349707,14322.291,2750.1508,0.0,0.36933247,0.25
0.0,720.35265,92.699713,0,0,19.104320233835168,18770.717,2803.2363,0.0,0.37812651,0.25
0.0,0.0,85.568966,0,0,19.12186891417327,13458.837,3450.0838,0.0,0.3870903,0.25
