Import Power [kW],Export Power [kW],Load Power [kW],Tariff Energy Period [-],Tariff Power Period [-],Temperature [C],PV Power [kW],Battery Charging Power [kW],Battery Discharging Power [kW],Battery Aggregate SOC [-],Tariff Energy [$/kWh]
0.43421875,0.0,0.0,0,0,24.166350913607847,0.0,0.43421875,0.0,0.2,0.25
13.720843,0.0,0.0,0,0,24.20786294343281,0.0,10.658265,0.0,0.2,0.25
0.0,0.0,0.0,0,0,24.249374973257776,0.0,0.042084941,0.042084941,0.2000327,0.25
0.0,0.0,0.0,0,0,24.290887003082744,0.0,0.0,0.0,0.2000313,0.25
0.0,0.0,0.0,0,0,24.33239903290771,0.0,0.0,0.0,0.20002991,0.25
0.0,0.0,0.0,0,0,24.373911062732674,0.0,0.0,0.0,0.20002852,0.25
0.0,0.0,0.0,0,0,24.41542309255764,0.0,0.0,0.0,0.20002713,0.25
0.0,0.0,0.0,0,0,24.456935122382603,0.0,0.045486743,0.045486743,0.20002575,0.25
0.0,0.0,0.0,0,0,24.498447152207568,0.0,0.02484375,0.02484375,0.20002434,0.25
0.0,0.0,0.0,0,0,24.539959182032533,0.0,0.074531768,0.074531768,0.20002295,0.25
0.0,0.0,0.0,0,0,24.5814712118575,0.0,0.0,0.0,0.20002154,0.25
0.0,0.0,0.0,0,0,24.622983241682466,0.0,0.0,0.0,0.20002015,0.25
0.0,0.0,0.0,0,0,24.66449527150743,0.0,0.11336955,0.11336955,0.20001876,0.25
0.0,0.0,0.0,0,0,24.687908628511504,0.0,0.0,0.0,0.20001734,0.25
13.720843,0.0,0.0,0,0,24.711321985515582,0.0,0.2839113,0.0,0.20001595,0.25
13.720843,0.0,0.0,0,0,24.734735342519656,0.0,0.32469808,0.0,0.20001547,0.25
13.720843,0.0,0.0,0,0,24.758148699523733,0.0,0.10677269,0.0,0.20001512,0.25
13.720843,0.0,0.0,0,0,24.781562056527807,0.0,0.11375276,0.0,0.20001407,0.25
13.720843,0.0,0.0,0,0,24.804975413531885,0.0,0.12906598,0.0,0.20001305,0.25
13.720843,0.0,0.0,0,0,24.82838877053596,0.0,0.41535606,0.0,0.20001207,0.25
13.720843,0.0,0.0,0,0,24.851802127540033,0.0,0.054375492,0.0,0.20001201,0.25
13.720843,0.0,0.0,0,0,24.87521548454411,0.0,0.21930782,0.0,0.2000108,0.25
13.720843,0.0,0.0,0,0,24.898628841548184,0.0,0.9725793,0.0,0.20001011,0.25
13.720843,0.0,0.0,0,0,24.922042198552262,0.0,0.34162139,0.0,0.20001183,0.25
13.720843,0.0,0.0,0,0,24.945455555556336,0.0,0.72104634,0.0,0.20001153,0.25
13.720843,0.0,0.0,0,0,24.948861807655422,0.0,0.34434427,0.0,0.20001245,0.25
13.720843,0.0,0.0,0,0,24.952268059754505,0.0,0.38868493,0.0,0.20001216,0.25
0.0,0.0,0.0,0,0,24.955674311853592,0.0,0.16632127,0.16632127,0.20001202,0.25
13.720843,0.0,0.0,0,0,24.959080563952675,0.0,13.720843,0.0,0.20001058,0.25
13.720843,0.0,0.0,0,0,24.96248681605176,0.0,0.38056142,0.0,0.20005308,0.25
13.720843,0.0,0.0,0,0,24.965893068150848,0.0,0.43214139,12.538312,0.20005291,0.25
13.720843,0.0,0.0,0,0,24.96929932024993,0.0,0.56679707,0.0,0.20000939,0.25
13.720843,0.0,0.0,0,0,24.972705572349017,0.0,0.31281767,0.0,0.20000981,0.25
13.720843,0.0,0.0,0,0,24.9761118244481,0.0,0.11083395,0.0,0.20000942,0.25
13.720843,0.0,0.0,0,0,24.979518076547187,0.0,1.1098854,0.0,0.20000839,0.25
0.0,0.0,0.0,0,0,24.98292432864627,0.0,0.099201984,0.099201984,0.20001055,0.25
13.720843,0.0,0.0,0,0,24.986330580745356,0.0,0.16038315,0.0,0.20000913,0.25
0.0,0.0,0.0,0,0,24.969452082971625,0.0,0.42016886,0.42016886,0.20000826,0.25
13.720843,0.0,0.0,0,0,24.952573585197893,0.0,0.85290097,0.0,0.20000675,0.25
13.720843,0.0,0.0,0,0,24.93569508742416,0.0,0.45922951,0.0,0.20000809,0.25
13.720843,0.0,0.0,0,0,24.91881658965043,0.0,0.10903002,0.0,0.20000817,0.25
13.720843,0.0,0.0,0,0,24.901938091876698,0.0,0.024687929,0.0,0.20000713,0.25
13.720843,0.0,0.0,0,0,24.88505959410297,0.0,0.69826934,0.0,0.20000582,0.25
13.720843,0.0,0.0,0,0,24.868181096329238,0.0,0.026197917,0.0,0.20000667,0.25
13.720843,0.0,0.0,0,0,24.851302598555506,0.0,0.88748461,0.0,0.20000536,0.25
