Import Power [kW],Export Power [kW],Load Power [kW],Tariff Energy Period [-],Tariff Power Period [-],Temperature [C],PV Power [kW],Battery Charging Power [kW],Battery Discharging Power [kW],Battery Aggregate SOC [-],Tariff Energy [$/kWh]
52.934219,0.0,52.5,0,0,17.166350913607847,0.0,0.43421875,0.0,0.2,0.75
54.999049,0.0,54.25,0,0,17.20786294343281,0.0,0.74904863,0.0,0.2,0.75
56.526686,0.0,56.0,0,0,17.249374973257776,0.0,0.52668622,0.0,0.20000101,0.75
58.026026,0.0,57.75,0,0,17.290887003082744,0.0,0.27602587,0.0,0.2000013,0.75
59.976478,0.0,59.5,0,0,17.33239903290771,0.0,0.47647768,0.0,0.2000008,0.75
61.615974,0.0,61.25,0,0,17.373911062732674,0.0,0.36597387,0.0,0.20000093,0.75
63.471512,0.0,63.0,0,0,17.41542309255764,0.0,0.47151192,0.0,0.20000071,0.75
65.185471,0.0,64.75,0,0,17.456935122382603,0.0,0.43547061,0.0,0.20000083,0.75
66.934378,0.0,66.5,0,0,17.498447152207568,0.0,0.43437781,0.0,0.20000084,0.75
69.002557,0.0,68.25,0,0,17.539959182032533,0.0,0.75255716,0.0,0.20000084,0.75
70.223907,0.0,70.0,0,0,17.5814712118575,0.0,0.22390706,-8.6798625e-12,0.20000186,0.75
71.941285,0.0,71.75,0,0,17.622983241682466,0.0,0.1912855,-8.6798625e-12,0.20000118,0.75
74.164205,0.0,73.5,0,0,17.66449527150743,0.0,0.66420478,-8.6798625e-12,0.20000041,0.75
74.888597,0.0,74.375,0,0,17.687908628511504,0.0,0.51359719,0.0,0.20000114,0.75
75.661912,0.0,75.25,0,0,17.711321985515582,0.0,0.41191246,0.0,0.2000014,0.75
76.506495,0.0,76.125,0,0,17.734735342519656,0.0,0.38149541,0.0,0.20000132,0.75
77.534847,0.0,77.0,0,0,17.758148699523733,0.0,0.53484697,0.0,0.20000116,0.75
78.228718,0.0,77.875,0,0,17.781562056527807,0.0,0.35371806,0.0,0.20000148,0.75
79.248562,0.0,78.75,0,0,17.804975413531885,0.0,0.49856159,0.0,0.20000122,0.75
79.955523,0.0,79.625,0,0,17.82838877053596,0.0,0.33052285,-8.6798625e-12,0.20000143,0.75
80.780661,0.0,80.5,0,0,17.851802127540033,0.0,0.28066067,0.0,0.20000109,0.75
81.930505,0.0,81.375,0,0,17.87521548454411,0.0,0.55550525,0.0,0.2000006,0.75
82.500435,0.0,82.25,0,0,17.898628841548184,0.0,0.25043497,0.0,0.20000099,0.75
83.796965,0.0,83.125,0,0,17.922042198552262,0.0,0.67196486,0.0,0.2000004,0.75
84.236667,0.0,84.0,0,0,17.945455555556336,0.0,0.23666738,0.0,0.20000116,0.75
85.487433,0.0,84.875,0,0,17.948861807655422,0.0,0.61243318,0.0,0.20000053,0.75
86.006424,0.0,85.75,0,0,17.952268059754505,0.0,0.25642449,0.0,0.2000011,0.75
87.179585,0.0,86.625,0,0,17.955674311853592,0.0,0.55458531,0.0,0.20000053,0.75
87.80455,0.0,87.5,0,0,17.959080563952675,0.0,0.3045498,0.0,0.20000092,0.75
89.009673,0.0,88.375,0,0,17.96248681605176,0.0,0.63467272,0.0,0.2000005,0.75
89.417935,0.0,89.25,0,0,17.965893068150848,0.0,0.16793453,0.0,0.20000114,0.75
90.769342,0.0,90.125,0,0,17.96929932024993,0.0,0.64434231,0.0,0.20000029,0.75
91.293543,0.0,91.0,0,0,17.972705572349017,0.0,0.2935428,0.0,0.20000096,0.75
92.456113,0.0,91.875,0,0,17.9761118244481,0.0,0.58111334,0.0,0.20000051,0.75
93.077067,0.0,92.75,0,0,17.979518076547187,0.0,0.32706716,0.0,0.20000098,0.75
94.053421,0.0,93.625,0,0,17.98292432864627,0.0,0.42842145,0.0,0.20000064,0.75
95.00995,0.0,94.5,0,0,17.986330580745356,0.0,0.5099502,0.0,0.20000062,0.75
100.1332,0.0,99.75,0,0,17.969452082971625,0.0,0.38319575,0.0,0.20000087,0.75
105.40571,0.0,105.0,0,0,17.952573585197893,0.0,0.40571306,0.0,0.2000007,0.75
110.71583,0.0,110.25,0,0,17.93569508742416,0.0,0.46583488,0.0,0.20000061,0.75
115.94512,0.0,115.5,0,0,17.91881658965043,0.0,0.44512352,0.0,0.20000071,0.75
121.13835,0.0,120.75,0,0,17.901938091876698,0.0,0.38835188,-1.7359725e-11,0.20000075,0.75
126.66752,0.0,126.0,0,0,17.88505959410297,0.0,0.66752097,-8.6798625e-12,0.2000006,0.75
131.57929,0.0,131.25,0,0,17.868181096329238,0.0,0.32929001,0.0,0.20000135,0.75
136.83611,0.0,136.5,0,0,17.851302598555506,0.0,0.33611213,-1.7359725e-11,0.20000101,0.75
142.26236,0.0,141.75,0,0,17.834424100781774,0.0,0.51236405,-1.7359725e-11,0.2000007,0.75
147.40068,0.0,147.0,0,0,17.817545603008043,0.0,0.40067831,-2.6039588e-11,0.20000095,0.75
152.67344,0.0,152.25,0,0,17.80066710523431,0.0,0.42343948,-8.6798625e-12,0.20000084,0.75
157.9492,0.0,157.5,0,0,17.78378860746058,0.0,0.44920372,0.0,0.20000081,0.75
167.77584,0.0,167.2125,0,0,17.748001132907774,0.0,0.56333831,-2.367688e-11,0.20000085,0.75
177.50266,0.0,176.925,0,0,17.712213658354973,0.0,0.57766001,-2.6039588e-11,0.20000127,0.75
187.01761,0.0,186.6375,0,0,17.67642618380217,0.0,0.38010625,0.0,0.20000172,0.75
