Import Power [kW],Export Power [kW],Load Power [kW],Tariff Energy Period [-],Tariff Power Period [-],Temperature [C],PV Power [kW],Battery Charging Power [kW],Battery Discharging Power [kW],Battery Aggregate SOC [-],Tariff Energy [$/kWh]
0.0,0.0,0.0,0,0,24.166350913607847,0.0,0.0,0.0,0.2,0.1
0.0,0.0,0.0,0,0,24.20786294343281,0.0,0.0,0.0,0.20665781,0.1
0.0,0.0,0.0,0,0,24.249374973257776,0.0,0.0,0.0,0.20665637,0.1
0.0,0.0,0.0,0,0,24.290887003082744,0.0,0.0,0.0,0.20665494,0.1
0.0,0.0,0.0,0,0,24.33239903290771,0.0,0.0,0.0,0.2066535,0.1
0.0,0.0,0.0,0,0,24.373911062732674,0.0,0.0,0.0,0.20665207,0.1
0.0,0.0,0.0,0,0,24.41542309255764,0.0,0.0,0.0,0.20665063,0.1
0.0,0.0,0.0,0,0,24.456935122382603,0.0,0.0,0.0,0.2066492,0.1
0.0,0.0,0.0,0,0,24.498447152207568,0.0,0.0,0.0,0.20664776,0.1
0.0,0.0,0.0,0,0,24.539959182032533,0.0,0.0,0.0,0.20664633,0.1
0.0,0.0,0.0,0,0,24.5814712118575,0.0,0.0,0.0,0.20664489,0.1
0.0,0.0,0.0,0,0,24.622983241682466,0.0,0.0,0.0,0.20664346,0.1
0.0,0.0,0.0,0,0,24.66449527150743,0.0,0.0,0.0,0.20664202,0.1
27.8957,0.0,27.8957,0,0,24.687908628511504,0.0,0.0,0.0,0.20664059,0.1
55.7914,0.0,55.7914,0,0,24.711321985515582,0.0,0.0,0.0,0.20663915,0.1
83.6871,0.0,83.6871,0,0,24.734735342519656,0.0,0.0,0.0,0.20663772,0.1
111.5828,0.0,111.5828,0,0,24.758148699523733,0.0,0.0,0.0,0.20663628,0.1
139.4785,0.0,139.4785,0,0,24.781562056527807,0.0,0.0,0.0,0.20663485,0.1
167.3742,0.0,167.3742,0,0,24.804975413531885,0.0,0.0,0.0,0.20663341,0.1
195.2699,0.0,195.2699,0,0,24.82838877053596,0.0,0.0,0.0,0.20663198,0.1
223.1656,0.0,223.1656,0,0,24.851802127540033,0.0,0.0,0.0,0.20663054,0.1
251.0613,0.0,251.0613,0,0,24.87521548454411,0.0,0.0,0.0,0.20662911,0.1
278.957,0.0,278.957,0,0,24.898628841548184,0.0,0.0,0.0,0.20662767,0.1
306.8527,0.0,306.8527,0,0,24.922042198552262,0.0,0.0,0.0,0.20662624,0.1
334.7484,0.0,334.7484,0,0,24.945455555556336,0.0,0.0,0.0,0.2066248,0.1
334.7484,0.0,334.7484,0,0,24.948861807655422,0.0,0.0,0.0,0.20662337,0.1
334.7484,0.0,334.7484,0,0,24.952268059754505,0.0,0.0,0.0,0.20662193,0.1
334.7484,0.0,334.7484,0,0,24.955674311853592,0.0,0.0,0.0,0.2066205,0.1
334.7484,0.0,334.7484,0,0,24.959080563952675,0.0,0.0,0.0,0.20661906,0.1
334.7484,0.0,334.7484,0,0,24.96248681605176,0.0,0.0,0.0,0.20661763,0.1
334.7484,0.0,334.7484,0,0,24.965893068150848,0.0,0.0,0.0,0.20661619,0.1
334.7484,0.0,334.7484,0,0,24.96929932024993,0.0,0.0,0.0,0.20661476,0.1
334.7484,0.0,334.7484,0,0,24.972705572349017,0.0,0.0,0.0,0.20661332,0.1
334.7484,0.0,334.7484,0,0,24.9761118244481,0.0,0.0,0.0,0.20661189,0.1
334.7484,0.0,334.7484,0,0,24.979518076547187,0.0,0.0,0.0,0.20661045,0.1
334.7484,0.0,334.7484,0,0,24.98292432864627,0.0,0.0,0.0,0.20660902,0.1
334.7484,0.0,334.7484,0,0,24.986330580745356,0.0,0.0,0.0,0.20660758,0.1
362.6441,0.0,362.6441,0,0,24.969452082971625,0.0,0.0,0.0,0.20660615,0.1
390.5398,0.0,390.5398,0,0,24.952573585197893,0.0,0.0,0.0,0.20660471,0.1
418.4355,0.0,418.4355,0,0,24.93569508742416,0.0,0.0,0.0,0.20660328,0.1
446.3312,0.0,446.3312,0,0,24.91881658965043,0.0,0.0,0.0,0.20660184,0.1
