Import Power [kW],Export Power [kW],Load Power [kW],PV Power [kW],Battery Charging Power [kW],Battery Discharging Power [kW],PV/Import Power (%),Battery Utilization Rate (%),Profit surplus energy - [USD]
3969.462,0.0,3969.462,0.0,0.0,0.0,0.0,0.0,0.0
3941.8963,0.0,3941.8963,0.0,0.0,0.0,0.0,0.0,0.0
3914.3306,0.0,3914.3306,0.0,0.0,0.0,0.0,0.0,0.0
3886.7649,0.0,3886.7649,0.0,0.0,0.0,0.0,0.0,0.0
3859.1992,0.0,3859.1992,0.0,0.0,0.0,0.0,0.0,0.0
3831.6335,0.0,3831.6335,0.0,0.0,0.0,0.0,0.0,0.0
3804.0677,0.0,3804.0677,0.0,0.0,0.0,0.0,0.0,0.0
3776.502,0.0,3776.502,0.0,0.0,0.0,0.0,0.0,0.0
3748.9363,0.0,3748.9363,0.0,0.0,0.0,0.0,0.0,0.0
3721.3706,0.0,3721.3706,0.0,0.0,0.0,0.0,0.0,0.0
3693.8049,0.0,3693.8049,0.0,0.0,0.0,0.0,0.0,0.0
3666.2392,0.0,3666.2392,0.0,0.0,0.0,0.0,0.0,0.0
3638.6735,0.0,3638.6735,0.0,0.0,0.0,0.0,0.0,0.0
3500.845,0.0,3500.845,1.7607498999999999e-19,0.0,0.0,5.029499735063963e-21,0.0,0.0
3363.0164,0.0,3363.0164,0.0,0.0,0.0,0.0,0.0,0.0
3225.1879,0.0,3225.1879,1.7608862e-19,0.0,0.0,5.4597941409863286e-21,0.0,0.0
3087.3593,0.0,3087.3593,0.0,0.0,0.0,0.0,0.0,0.0
2949.5308,0.0,2949.5308,2.2009942e-19,0.0,0.0,7.462184154849307e-21,0.0,0.0
2811.7022,0.0,2811.7022,3.9616531999999996e-19,0.0,0.0,1.4089874809643778e-20,0.0,0.0
2673.8737,0.0,2673.8737,0.0,0.0,0.0,0.0,0.0,0.0
2536.0452,0.0,2536.0452,0.0,0.0,0.0,0.0,0.0,0.0
2398.2166,0.0,2398.2166,0.0,0.0,0.0,0.0,0.0,0.0
2260.3881,0.0,2260.3881,0.0,0.0,0.0,0.0,0.0,0.0
2122.5595,0.0,2122.5595,0.0,0.0,0.0,0.0,0.0,0.0
1984.731,0.0,1984.731,0.0,0.0,0.0,0.0,0.0,0.0
1902.0339,0.0,1902.0339,0.0,0.0,0.0,0.0,0.0,0.0
1819.3367,0.0,1819.3367,0.0,0.0,0.0,0.0,0.0,0.0
1736.6396,0.0,1736.6396,0.0,0.0,0.0,0.0,0.0,0.0
1653.9425,0.0,1653.9425,0.0,0.0,0.0,0.0,0.0,0.0
1571.2454,0.0,1571.2454,0.0,0.0,0.0,0.0,0.0,0.0
1488.5482,0.0,1488.5483,0.0,0.0,0.0,0.0,0.0,0.0
1405.8511,0.0,1405.8511,0.0,0.0,0.0,0.0,0.0,0.0
1323.154,0.0,1323.154,0.0,0.0,0.0,0.0,0.0,0.0
1240.4569,0.0,1240.4569,0.0,0.0,0.0,0.0,0.0,0.0
1157.7597,0.0,1157.7597,2.2008124e-19,0.0,0.0,1.900923309042455e-20,0.0,0.0
1075.0626,0.0,1075.0626,0.0,0.0,0.0,0.0,0.0,0.0
992.3655,0.0,992.3655,0.0,0.0,0.0,0.0,0.0,0.0
909.66837,0.0,909.66837,0.0,0.0,0.0,0.0,0.0,0.0
826.97125,0.0,826.97125,0.0,0.0,0.0,0.0,0.0,0.0
744.27412,0.0,744.27413,0.0,0.0,0.0,0.0,0.0,0.0
661.577,0.0,661.577,0.0,0.0,0.0,0.0,0.0,0.0
578.87987,0.0,578.87987,0.0,0.0,0.0,0.0,0.0,0.0
496.18275,0.0,496.18275,1.7614315e-19,0.0,0.0,3.5499652093910965e-20,0.0,0.0
413.48562,0.0,413.48562,0.0,0.0,0.0,0.0,0.0,0.0
330.7885,0.0,330.7885,0.0,0.0,0.0,0.0,0.0,0.0
248.09138,0.0,248.09138,0.0,0.0,0.0,0.0,0.0,0.0
165.39425,0.0,165.39425,0.0,0.0,0.0,0.0,0.0,0.0
82.697125,0.0,82.697125,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.4388794e-11,0.0,,,0.0
468.61704,0.0,468.61704,0.0,0.0,0.0,0.0,0.0,0.0
937.23408,0.0,937.23408,0.0,0.0,0.0,0.0,0.0,0.0
1405.8511,0.0,1405.8511,0.0,0.0,0.0,0.0,0.0,0.0
1874.4682,0.0,1874.4682,0.0,0.0,0.0,0.0,0.0,0.0
2343.0852,0.0,2343.0852,0.0,0.0,0.0,0.0,0.0,0.0
2811.7022,0.0,2811.7023,0.0,0.0,0.0,0.0,0.0,0.0
3280.3193,0.0,3280.3193,0.0,0.0,0.0,0.0,0.0,0.0
3748.9363,0.0,3748.9363,0.0,0.0,0.0,0.0,0.0,0.0
4217.5534,0.0,4217.5534,0.0,0.0,0.0,0.0,0.0,0.0
4686.1704,0.0,4686.1704,0.0,0.0,0.0,0.0,0.0,0.0
5154.7875,0.0,5154.7875,0.0,0.0,0.0,0.0,0.0,0.0
5623.4045,0.0,5623.4045,0.0,0.0,0.0,0.0,0.0,0.0
5430.4445,0.0,5430.4445,0.0,0.0,0.0,0.0,0.0,0.0
5237.4846,0.0,5237.4846,0.0,0.0,0.0,0.0,0.0,0.0
5044.5246,0.0,5044.5246,0.0,0.0,0.0,0.0,0.0,0.0
4851.5647,0.0,4851.5647,0.0,0.0,0.0,0.0,0.0,0.0
4658.6047,0.0,4658.6047,1.5411956999999998e-19,0.0,0.0,3.3082774763010047e-21,0.0,0.0
4465.6447,0.0,4465.6447,1.9814854e-19,0.0,0.0,4.437176562658467e-21,0.0,0.0
4272.6848,0.0,4272.6848,0.0,0.0,0.0,0.0,0.0,0.0
4079.7248,0.0,4079.7248,0.0,0.0,0.0,0.0,0.0,0.0
3882.3568,0.0,3886.7649,4.4081224,0.0,0.0,0.11341366118118798,0.0,0.0
3622.7406,0.0,3693.8049,71.064304,0.0,0.0,1.923878110699482,0.0,0.0
3366.4589,0.0,3500.845,134.38605,0.0,0.0,3.8386747176563762,0.0,0.0
2064.8585,0.0,3307.885,427.02649,0.0,816.0,12.909351180314163,24.668330442770323,0.0
1297.2808,0.0,4245.1191,2131.8383,0.0,816.0,50.21857455071166,19.222075536113934,0.0
2503.8686,0.0,5182.3532,1862.4845,0.0,816.0,35.938973359418526,15.745742990766104,0.0
2197.4319,0.0,6119.5872,3106.1553,0.0,816.0,50.75759521818727,13.33423274040445,0.0
3723.5819,0.0,7056.8213,2517.2394,0.0,816.0,35.67100955213362,11.563279914711742,0.0
4357.9294,0.0,7994.0554,2820.126,0.0,816.0,35.2777890430932,10.207585001224786,0.0
5343.6453,0.0,8931.2895,2771.6442,0.0,816.0,31.032967859792247,9.136418654887404,0.0
6889.288,0.0,9868.5236,2163.2356,0.0,816.0,21.920559626568657,8.268714075933303,0.0
6694.9457,0.0,10805.758,3294.812,0.0,816.0,30.491263005092183,7.551529681255022,0.0
0.0,0.0,11742.992,12326.294,583.30265,0.0,100.0,0.0,0.0
0.0,0.0,12680.226,12261.319,0.0,418.90711,96.69637507749458,3.3036249225054237,0.0
678.27129,0.0,13617.46,12123.189,0.0,816.0,89.0267989905774,5.992306807747629,0.0
