Año,Utilidades (miles de dólares),Costos (miles de dólares)
2025,15876,6139
2026,16692,2134
2027,17630,2631
2028,18053,3578
2029,18945,4344
2030,20286,4947
2031,20729,6363
2032,22982,6699
2033,25615,6965
2034,27733,7823
2035,30526,11523
2036,32255,10344
2037,34944,11922
2038,39392,12451
2039,42015,14959
2040,45753,17042
2041,50589,18707
2042,56538,19986
2043,63595,20945
2044,71810,21665
2045,80711,24698
2046,90918,23209
2047,102533,23577
2048,115207,24130
2049,129218,23801
2050,143966,23367
2051,132079,21448
2052,121173,19686
2053,111168,18069
2054,101989,16585
