,Year,PV Cost [$],Energy Cost [$]
0,2025,0.0,0.0
1,2026,0.0,5.37
2,2027,0.0,95.23
3,2028,0.0,209.72
4,2029,0.0,451.49
5,2030,0.0,756.87
6,2031,0.0,1121.1
7,2032,1678.25,1967.67
8,2033,2630.0,2830.22
9,2034,3656.92,3800.75
10,2035,5654.78,5721.87
11,2036,7654.31,7673.84
12,2037,11736.89,11740.11
13,2038,15865.37,15865.37
14,2039,18720.42,18720.42
15,2040,25716.87,25716.87
16,2041,32846.67,32846.67
17,2042,40094.11,40094.11
18,2043,47435.71,47435.71
19,2044,54918.46,54918.46
20,2045,62558.09,62558.09
21,2046,71715.44,71715.44
22,2047,81092.43,81092.43
23,2048,90579.22,90579.22
24,2049,101713.17,101713.17
25,2050,110062.65,110062.65
26,2051,118568.97,118568.97
27,2052,128044.01,128044.01
28,2053,142001.6,142001.6
29,2054,151672.74,151672.74
30,2055,164285.19,164285.19
