Hora,P_base [kW],P_VE [kW],P_DER [kW],P_carga [kW]
2025-01-01 00:00:00,888333.2064160374,9244.8216,0.0,897578.0280160374
2025-01-01 00:05:00,880401.65993018,9180.6214,0.0,889582.2813301799
2025-01-01 00:10:00,872470.1134443224,9116.4213,0.0,881586.5347443224
2025-01-01 00:15:00,864538.5669584649,9052.2211,0.0,873590.7880584649
2025-01-01 00:20:00,856607.0204726075,8988.021,0.0,865595.0414726074
2025-01-01 00:25:00,848675.47398675,8923.8208,0.0,857599.29478675
2025-01-01 00:30:00,840743.9275008924,8859.6207,0.0,849603.5482008924
2025-01-01 00:35:00,832812.381015035,8795.4205,0.0,841607.801515035
2025-01-01 00:40:00,824880.8345291775,8731.2204,0.0,833612.0549291775
2025-01-01 00:45:00,816949.2880433201,8667.0202,0.0,825616.3082433201
2025-01-01 00:50:00,809017.7415574625,8602.8201,0.0,817620.5616574625
2025-01-01 00:55:00,801086.195071605,8538.62,0.0,809624.815071605
2025-01-01 01:00:00,793154.6485857476,8474.4198,0.0,801629.0683857476
2025-01-01 01:05:00,791832.724171438,8153.419,0.0,799986.143171438
2025-01-01 01:10:00,790510.7997571285,7832.4183,0.0,798343.2180571285
2025-01-01 01:15:00,789188.8753428188,7511.4175,0.0,796700.2928428188
2025-01-01 01:20:00,787866.9509285092,7190.4168,0.0,795057.3677285092
2025-01-01 01:25:00,786545.0265141997,6869.416,0.0,793414.4425141996
2025-01-01 01:30:00,785223.1020998901,6548.4153,0.0,791771.5173998901
2025-01-01 01:35:00,783901.1776855804,6227.4145,0.0,790128.5921855804
2025-01-01 01:40:00,782579.253271271,5906.4138,0.0,788485.667071271
2025-01-01 01:45:00,781257.3288569613,5585.413,0.0,786842.7418569613
2025-01-01 01:50:00,779935.4044426518,5264.4123,0.0,785199.8167426517
2025-01-01 01:55:00,778613.4800283422,4943.4115,0.0,783556.8915283423
2025-01-01 02:00:00,777291.5556140327,4622.4108,0.0,781913.9664140326
2025-01-01 02:05:00,775969.631199723,4429.8103,0.0,780399.441499723
2025-01-01 02:10:00,774647.7067854134,4237.2099,0.0,778884.9166854135
2025-01-01 02:15:00,773325.7823711039,4044.6094,0.0,777370.3917711038
2025-01-01 02:20:00,772003.8579567942,3852.009,0.0,775855.8669567942
2025-01-01 02:25:00,770681.9335424848,3659.4085,0.0,774341.3420424848
2025-01-01 02:30:00,769360.0091281751,3466.8081,0.0,772826.8172281751
2025-01-01 02:35:00,768038.0847138655,3274.2076,0.0,771312.2923138655
2025-01-01 02:40:00,766716.160299556,3081.6072,0.0,769797.767499556
