,Import Power [kW],Export Power [kW],Load Power [kW],Tariff Energy Period [-],Tariff Power Period [-],Temperature [C],PV Power [kW],Battery Charging Power [kW],Battery Discharging Power [kW],Battery Aggregate SOC [-],Tariff Energy [$/kWh],PV/Import Power (%),Battery Utilization Rate (%),Grid Utilization rate (%)
0,8672.3148,0.0,8672.3148,0,0,17.166350913607847,0.0,0.0,0.0,0.8,0.15,3,1,96
1,8612.0904,0.0,8612.0904,0,0,17.20786294343281,0.0,0.0,0.0,0.79999444,0.15,3,1,96
2,8551.866,0.0,8551.866,0,0,17.249374973257776,0.0,0.0,0.0,0.79998889,0.15,3,1,96
3,8491.6416,0.0,8491.6416,0,0,17.290887003082744,0.0,0.0,0.0,0.79998333,0.15,3,1,96
4,8431.4172,0.0,8431.4172,0,0,17.33239903290771,0.0,0.0,0.0,0.79997778,0.15,3,1,96
5,8371.1928,0.0,8371.1928,0,0,17.373911062732674,0.0,0.0,0.0,0.79997222,0.15,3,1,96
6,8310.9684,0.0,8310.9683,0,0,17.41542309255764,0.0,0.0,0.0,0.79996667,0.15,3,1,96
7,8250.7439,0.0,8250.7439,0,0,17.456935122382603,0.0,0.0,0.0,0.79996111,0.15,3,1,96
8,8190.5195,0.0,8190.5195,0,0,17.498447152207568,0.0,0.0,0.0,0.79995556,0.15,3,1,96
9,8130.2951,0.0,8130.2951,0,0,17.539959182032533,0.0,0.0,0.0,0.79995,0.15,3,1,96
10,8070.0707,0.0,8070.0707,0,0,17.5814712118575,0.0,0.0,0.0,0.79994445,0.15,3,1,96
11,8009.8463,0.0,8009.8463,0,0,17.622983241682466,0.0,0.0,0.0,0.79993889,0.15,3,1,96
12,7949.6219,0.0,7949.6219,0,0,17.66449527150743,0.0,0.0,0.0,0.79993334,0.15,3,1,96
13,7648.4999,0.0,7648.4999,0,0,17.687908628511504,0.0,0.0,0.0,0.79992778,0.15,3,1,96
14,7347.3778,0.0,7347.3778,0,0,17.711321985515582,0.0,0.0,0.0,0.79992223,0.15,3,1,96
15,7046.2558,0.0,7046.2558,0,0,17.734735342519656,0.0,0.0,0.0,0.79991667,0.15,3,1,96
16,6745.1337,0.0,6745.1337,0,0,17.758148699523733,0.0,0.0,0.0,0.79991112,0.15,3,1,96
17,6444.0117,0.0,6444.0117,0,0,17.781562056527807,0.0,0.0,0.0,0.79990556,0.15,3,1,96
18,6142.8897,0.0,6142.8897,0,0,17.804975413531885,0.0,0.0,0.0,0.79990001,0.15,3,1,96
19,5841.7676,0.0,5841.7676,0,0,17.82838877053596,0.0,0.0,0.0,0.79989445,0.15,3,1,96
20,5540.6456,0.0,5540.6456,0,0,17.851802127540033,0.0,0.0,0.0,0.7998889,0.15,3,1,96
21,5239.5235,0.0,5239.5235,0,0,17.87521548454411,0.0,0.0,0.0,0.79988334,0.15,3,1,96
22,4938.4015,0.0,4938.4015,0,0,17.898628841548184,0.0,0.0,0.0,0.79987779,0.15,3,1,96
23,4637.2794,0.0,4637.2794,0,0,17.922042198552262,0.0,0.0,0.0,0.79987223,0.15,3,1,96
24,4336.1574,0.0,4336.1574,0,0,17.945455555556336,0.0,0.0,0.0,0.79986668,0.15,3,1,96
25,4155.4842,0.0,4155.4842,0,0,17.948861807655422,0.0,0.0,0.0,0.79986112,0.15,3,1,96
26,3974.811,0.0,3974.8109,0,0,17.952268059754505,0.0,0.0,0.0,0.79985557,0.15,3,1,96
27,3794.1377,0.0,3794.1377,0,0,17.955674311853592,0.0,0.0,0.0,0.79985001,0.15,3,1,96
28,3613.4645,0.0,3613.4645,0,0,17.959080563952675,0.0,0.0,0.0,0.79984446,0.15,3,1,96
29,3432.7913,0.0,3432.7913,0,0,17.96248681605176,0.0,0.0,0.0,0.7998389,0.15,3,1,96
30,3252.1181,0.0,3252.118,0,0,17.965893068150848,0.0,0.0,0.0,0.79983335,0.15,3,1,96
31,3071.4448,0.0,3071.4448,0,0,17.96929932024993,0.0,0.0,0.0,0.7998278,0.15,3,1,96
32,2890.7716,0.0,2890.7716,0,0,17.972705572349017,0.0,0.0,0.0,0.79982224,0.15,3,1,96
33,2710.0984,0.0,2710.0984,0,0,17.9761118244481,0.0,0.0,0.0,0.79981669,0.15,3,1,96
34,2529.4251,0.0,2529.4252,0,0,17.979518076547187,0.0,0.0,0.0,0.79981113,0.15,3,1,96
35,2348.7519,0.0,2348.7519,0,0,17.98292432864627,0.0,0.0,0.0,0.79980558,0.15,3,1,96
36,2168.0787,0.0,2168.0787,0,0,17.986330580745356,0.0,0.0,0.0,0.79980002,0.15,3,1,96
37,1987.4055,0.0,1987.4055,0,0,17.969452082971625,0.0,0.0,0.0,0.79979447,0.15,3,1,96
38,1806.7322,0.0,1806.7323,0,0,17.952573585197893,0.0,0.0,0.0,0.79978892,0.15,3,1,96
39,1626.059,0.0,1626.059,0,0,17.93569508742416,0.0,0.0,0.0,0.79978336,0.15,3,1,96
40,1445.3858,0.0,1445.3858,0,0,17.91881658965043,0.0,0.0,0.0,0.79977781,0.15,3,1,96
41,1264.7126,0.0,1264.7126,0,0,17.901938091876698,0.0,0.0,0.0,0.79977225,0.15,3,1,96
42,1084.0394,0.0,1084.0394,0,0,17.88505959410297,0.0,0.0,0.0,0.7997667,0.15,3,1,96
43,903.36612,0.0,903.36613,0,0,17.868181096329238,0.0,0.0,0.0,0.79976115,0.15,3,1,96
44,722.6929,0.0,722.6929,0,0,17.851302598555506,0.0,0.0,0.0,0.79975559,0.15,3,1,96
45,542.01968,0.0,542.01968,0,0,17.834424100781774,0.0,0.0,0.0,0.79975004,0.15,3,1,96
46,361.34645,0.0,361.34645,0,0,17.817545603008043,0.0,0.0,0.0,0.79974448,0.15,3,1,96
47,180.67323,0.0,180.67323,0,0,17.80066710523431,0.0,0.0,0.0,0.79973893,0.15,3,1,96
48,0.0,0.0,0.0,0,0,17.78378860746058,0.0,1.4388794e-11,0.0,0.79973338,0.15,3,1,96
49,1023.8149,0.0,1023.8149,0,0,17.748001132907774,0.0,0.0,0.0,0.79972782,0.15,3,1,96
50,2047.6299,0.0,2047.6299,0,0,17.712213658354973,0.0,0.0,0.0,0.79972227,0.15,3,1,96
51,3071.4448,0.0,3071.4448,0,0,17.67642618380217,0.0,0.0,0.0,0.79971672,0.15,3,1,96
52,4095.2598,0.0,4095.2598,0,0,17.640638709249366,0.0,0.0,0.0,0.79971116,0.15,3,1,96
53,5119.0747,0.0,5119.0747,0,0,17.60485123469656,0.0,0.0,0.0,0.79970561,0.15,3,1,96
54,6142.8897,0.0,6142.8897,0,0,17.56906376014376,0.0,0.0,0.0,0.79970006,0.15,3,1,96
55,7166.7046,0.0,7166.7046,0,0,17.533276285590958,0.0,0.0,0.0,0.7996945,0.15,3,1,96
56,8190.5195,0.0,8190.5195,0,0,17.497488811038153,0.0,0.0,0.0,0.79968895,0.15,3,1,96
57,9214.3345,0.0,9214.3345,0,0,17.461701336485348,0.0,0.0,0.0,0.79968339,0.15,3,1,96
58,10238.149,0.0,10238.149,0,0,17.425913861932546,0.0,0.0,0.0,0.79967784,0.15,3,1,96
59,11261.964,0.0,11261.964,0,0,17.390126387379745,0.0,0.0,0.0,0.79967229,0.15,3,1,96
60,12285.779,0.0,12285.779,0,0,17.35433891282694,0.0,0.0,0.0,0.79966673,0.15,3,1,96
61,11864.208,0.0,11864.208,0,0,17.302559512844052,0.0,0.0,0.0,0.79966118,0.15,3,1,96
62,11442.638,0.0,11442.638,0,0,17.250780112861165,0.0,0.0,0.0,0.79965563,0.15,3,1,96
63,11021.067,0.0,11021.067,0,0,17.19900071287828,0.0,0.0,0.0,0.79965008,0.15,3,1,96
64,10599.496,0.0,10599.496,0,0,17.147221312895393,0.0,0.0,0.0,0.79964452,0.15,3,1,96
65,10177.925,0.0,10177.925,0,0,17.095441912912506,0.0,0.0,0.0,0.79963897,0.15,3,1,96
66,9756.3541,0.0,9756.3542,0,0,17.04366251292962,0.0,0.0,0.0,0.79963342,0.15,3,1,96
67,9334.7833,0.0,9334.7833,0,0,16.991883112946734,0.0,0.0,0.0,0.79962786,0.15,3,1,96
68,8913.2124,0.0,8913.2124,0,0,16.940103712963847,0.0,0.0,0.0,0.79962231,0.15,3,1,96
69,8490.9863,0.0,8491.6416,0,0,16.88832431298096,0.65523931,0.0,0.0,0.79961676,0.15,3,1,96
70,8059.5075,0.0,8070.0707,0,0,16.83654491299807,10.563256,0.0,0.0,0.7996112,0.15,3,1,96
