,L1,L2,L3,Utilization L1,Utilization L2,Utilization L3,Emission L1,Emission L2,Emission L3,EV/CP L1,EV/CP L2,EV/CP L3,DAC L1,DAC L2,DAC L3,Area L1,Area L2,Area L3,Jobs
0,1,1,1,0,0,0,0,0,0,0,0,0,800,6500,75000,0,0.1,28.25,5
1,1,1,1,14,6,1,2,1,1,2,2,2,800,6500,75000,0,0.1,28.25,5
2,2,1,1,100,47,9,17,7,7,8,15,15,800,6500,75000,0,0.1,28.25,5
3,4,2,1,100,100,27,46,17,22,8,16,31,831,6500,75000,0,0.2,28.25,5
4,8,3,1,100,100,61,107,39,49,8,21,63,887,6727,75000,0,0.30000000000000004,28.25,5
5,15,6,2,100,100,100,197,75,87,7,16,48,989,6934,75000,0,0.6000000000000001,28.5,10
6,23,9,2,100,100,89,319,119,142,6,15,64,1182,7606,77585,0,0.9,28.5,10
7,37,13,3,100,100,100,503,187,226,6,15,65,1390,8238,77585,0,1.3,28.75,15
8,52,19,5,100,100,101,720,265,326,5,12,46,1731,9030,79868,0,1.9000000000000001,29.25,25
9,71,25,6,100,101,100,971,357,439,4,11,44,2075,10146,84160,0,2.5,29.5,30
10,93,33,8,100,100,101,1288,475,579,4,11,42,2689,16438,96260,0,3.3000000000000003,30.0,40
11,121,42,10,101,100,101,1668,613,754,4,10,40,3134,17753,100051,0,4.2,30.5,50
12,156,54,13,101,100,100,2151,790,972,4,10,39,3667,19143,103614,0,5.4,31.25,65
13,198,69,16,101,100,100,2735,1005,1235,4,9,39,4293,20885,108637,0,6.9,32.0,80
14,245,86,20,100,101,100,3389,1250,1525,3,8,35,4998,22931,113358,0,8.6,33.0,100
15,305,107,24,100,100,100,4215,1564,1885,3,9,36,5740,25110,119274,0,10.700000000000001,34.0,120
16,377,133,30,100,100,100,5216,1942,2324,3,8,35,6630,27640,124834,0,13.3,35.5,150
17,462,163,36,101,100,100,6394,2387,2842,3,8,35,7634,30584,132672,0,16.3,37.0,180
18,560,198,44,100,101,100,7753,2899,3440,3,8,33,8748,33776,140039,0,19.8,39.0,220
19,671,237,52,100,100,100,9296,3471,4130,3,7,32,9955,37276,149270,0,23.700000000000003,41.0,260
20,796,281,62,100,100,100,11026,4115,4901,3,7,30,11881,59269,201323,0,28.1,43.5,310
21,937,330,73,101,100,100,12980,4831,5786,3,7,29,13240,63156,211515,0,33.0,46.25,365
22,1094,385,85,100,100,100,15164,5627,6779,3,6,27,14681,67224,222052,0,38.5,49.25,425
23,1269,444,99,100,100,100,17581,6502,7887,2,6,26,16189,71516,232856,0,44.400000000000006,52.75,495
24,1463,511,115,100,100,100,20271,7479,9116,2,6,25,17769,75843,244702,0,51.1,56.75,575
25,1672,582,131,100,100,101,23167,8525,10445,2,6,24,19415,80461,257426,0,58.2,60.75,655
26,1896,659,149,100,100,100,26272,9649,11867,2,5,22,22833,89895,281957,0,65.9,65.25,745
27,2136,741,168,101,100,100,29610,10850,13406,2,5,21,26373,99781,308621,0,74.10000000000001,70.0,840
28,2402,832,189,100,100,100,33291,12186,15087,2,5,21,30037,109953,335814,0,83.2,75.25,945
29,2684,929,212,100,100,100,37209,13612,16873,2,5,20,33961,120859,364853,0,92.9,81.0,1060
30,2989,1035,236,100,100,100,41437,15155,18795,2,5,19,39990,188250,549228,0,103.5,87.0,1180
