,Year,L1,L2,L3,Utilization L1,Utilization L2,Utilization L3,Emission L1,Emission L2,Emission L3,EV/CP L1,EV/CP L2,EV/CP L3,Area L1,Area L2,Area L3,Jobs,DAC L1 case1,DAC L2 case1,DAC L3 case1,DAC L1 case2,DAC L2 case2,DAC L3 case2,DAC L1 case3,DAC L2 case3,DAC L3 case3
0,2025,1,1,1,0,0,0,0,0,0,0,0,0,0,0.1,28.25,5,800,6500,75000,800.0,6500.0,75000.0,800.0,6500.0,75000.0
1,2026,1,1,1,10,10,2,11,10,7,2,2,2,0,0.1,28.25,5,800,6500,75000,1085.0,6785.0,75285.0,907.0,6607.0,75107.0
2,2027,1,1,1,79,75,17,16,15,10,15,15,15,0,0.1,28.25,5,800,6500,75000,2869.0,8569.0,77069.0,1581.0,7281.0,75781.0
3,2028,3,3,1,74,68,49,29,26,20,11,11,31,0,0.30000000000000004,28.25,5,861,6996,75000,6286.0,12420.0,80425.0,2911.0,9045.0,77050.0
4,2029,6,5,2,86,87,62,44,37,34,11,13,32,0,0.5,28.5,10,945,7449,77609,12646.0,19149.0,89310.0,5372.0,11874.0,82036.0
5,2030,10,8,3,95,96,81,62,49,50,10,12,32,0,0.8,28.75,15,1047,8069,79992,21453.0,28473.0,100397.0,8774.0,15793.0,87718.0
6,2031,16,13,4,96,95,99,99,78,82,8,10,32,0,1.3,29.0,20,1213,9189,82577,34343.0,42318.0,115706.0,13770.0,21743.0,95133.0
7,2032,25,20,7,97,97,90,156,123,129,8,10,28,0,2.0,29.75,35,1447,10663,89865,52883.0,62099.0,141300.0,20964.0,30178.0,109381.0
8,2033,35,28,10,99,99,91,224,175,186,7,9,23,0,2.8000000000000003,30.5,50,1691,12246,96714,73435.0,83990.0,168457.0,28932.0,39486.0,123955.0
9,2034,47,37,13,100,100,95,302,235,252,6,8,21,0,3.7,31.25,65,1966,13920,103151,95865.0,107819.0,197049.0,37636.0,49589.0,138822.0
10,2035,62,49,17,100,100,96,400,310,335,6,7,20,0,4.9,32.25,85,2450,26504,151549,122624.0,146677.0,271721.0,48119.0,72172.0,197219.0
11,2036,81,64,22,100,99,96,518,402,434,5,7,19,0,6.4,33.5,110,2835,28968,161026,152861.0,178993.0,311050.0,59871.0,86004.0,218064.0
12,2037,104,82,28,100,99,98,667,517,560,5,7,19,0,8.200000000000001,35.0,140,3273,31747,171714,191208.0,219682.0,359648.0,74758.0,103233.0,243202.0
13,2038,132,104,35,100,100,100,848,657,713,5,6,18,0,10.4,36.75,175,3774,34940,183433,236614.0,267780.0,416273.0,92386.0,123553.0,272049.0
14,2039,163,128,43,100,100,100,1051,813,884,5,6,16,0,12.8,38.75,215,4295,38213,196021,285366.0,319284.0,477092.0,111309.0,145229.0,303039.0
15,2040,203,159,54,100,100,100,1307,1010,1100,5,6,16,0,15.9,41.5,270,4926,42187,212288,345786.0,383046.0,553147.0,134805.0,172067.0,342171.0
16,2041,251,197,67,100,100,99,1617,1249,1363,5,6,16,0,19.700000000000003,44.75,335,5638,46765,230356,416561.0,457687.0,641279.0,162353.0,203480.0,387075.0
17,2042,308,241,82,100,100,100,1983,1531,1670,5,6,16,0,24.1,48.5,410,6433,51747,249950,496654.0,541967.0,740171.0,193565.0,238879.0,437086.0
18,2043,373,292,99,100,100,100,2404,1858,2023,4,5,15,0,29.200000000000003,52.75,495,7285,57174,270821,584937.0,634825.0,848473.0,227994.0,277883.0,491535.0
19,2044,447,351,118,100,100,100,2882,2233,2419,4,5,14,0,35.1,57.5,590,8196,63074,292744,680652.0,735530.0,965200.0,265326.0,320204.0,549879.0
20,2045,531,417,140,100,100,100,3418,2653,2865,4,5,13,0,41.7,63.0,700,9654,100292,435888,783695.0,874333.0,1209929.0,305795.0,396432.0,732034.0
21,2046,625,492,164,100,100,100,4024,3127,3369,4,5,13,0,49.2,69.0,820,10676,106917,460349,894456.0,990697.0,1344129.0,348924.0,445164.0,798601.0
22,2047,730,575,192,100,100,100,4701,3657,3931,4,4,12,0,57.5,76.0,960,11749,113808,487170,1012651.0,1114709.0,1488072.0,394860.0,496918.0,870285.0
23,2048,846,667,222,100,100,100,7267,5659,6071,3,4,12,0,66.7,83.5,1110,12863,120987,514179,1137592.0,1245714.0,1638907.0,443299.0,551421.0,944618.0
24,2049,975,770,256,100,100,100,8379,6531,6993,3,4,11,0,77.0,92.0,1280,14028,128541,542948,1271168.0,1385678.0,1800086.0,494878.0,609389.0,1023801.0
25,2050,1115,881,292,100,100,100,9576,7470,7986,3,4,11,0,88.10000000000001,101.0,1460,15216,136192,571577,1408447.0,1529420.0,1964806.0,547719.0,668692.0,1104082.0
26,2051,1264,999,331,100,100,100,10860,8475,9052,3,4,10,0,99.9,110.75,1655,17653,151871,631370,1697129.0,1831344.0,2310844.0,658411.0,792626.0,1272130.0
27,2052,1424,1127,373,100,100,100,12240,9557,10196,3,4,10,0,112.7,121.25,1865,20182,168304,693585,2002876.0,2150995.0,2676277.0,775166.0,923285.0,1448571.0
28,2053,1601,1266,419,100,100,100,13761,10744,11464,3,4,10,0,126.60000000000001,132.75,2095,22885,185546,759421,2338805.0,2501463.0,3075339.0,924919.0,1087577.0,1661458.0
29,2054,1790,1414,469,100,100,100,15381,12000,12823,3,3,9,0,141.4,145.25,2345,25673,203283,828562,2691554.0,2869161.0,3494441.0,1111473.0,1289080.0,1914364.0
30,2055,1993,1574,522,100,100,100,21410,16692,17863,3,3,9,0,157.4,158.5,2610,30013,314442,1253425,3071746.0,3356172.0,4295155.0,1348110.0,1632537.0,2571524.0
