,Year,L1,L2,L3,Utilization L1,Utilization L2,Utilization L3,Emission L1,Emission L2,Emission L3,EV/CP L1,EV/CP L2,EV/CP L3,Area L1,Area L2,Area L3,Jobs,DAC L1 case1,DAC L2 case1,DAC L3 case1,DAC L1 case2,DAC L2 case2,DAC L3 case2,DAC L1 case3,DAC L2 case3,DAC L3 case3
0,2025,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,28.25,5.0,800.0,6500.0,75000.0,800.0,6500.0,75000.0,800.0,6500.0,75000.0
1,2026,1.0,1.0,1.0,20.681249999999995,1.5249009627475505,0.295970512417483,22.4686729394531,1.6357012635938988,1.0247640563452927,2.0,2.0,2.0,0.0,0.1,28.25,5.0,800.0,6500.0,75000.0,1083.3333333333333,6783.333333333333,75283.33333333333,906.6666666666666,6606.666666666667,75106.66666666667
2,2027,1.7579062500000004,1.0,1.0,100.0,12.434384483837242,2.691507255387586,32.02333756946586,2.236438128208956,1.5625763242828545,8.532878246493517,15.0,15.0,0.0,0.1,28.25,5.0,825.2840849857175,6500.0,75000.0,2892.4834761577113,8567.199391171995,77067.19939117199,1604.7056983799337,7279.421613394216,75779.42161339422
3,2028,4.9634999999999945,1.0,1.0,100.00000000000001,33.78556190945075,8.040646030183082,54.87946884009074,3.688202279839115,2.8332677519311305,6.245592827641792,31.0,31.0,0.0,0.1,28.25,5.0,922.9461980096269,6500.0,75000.0,6345.6497140608635,11922.703516051237,80422.70351605123,2970.064481615056,8547.118283605429,77047.11828360544
4,2029,11.478093750000015,1.0,1.0,100.0,72.28255202924213,20.542847240252627,85.09010589232092,5.290594626346551,4.853384902321671,5.488716277474203,63.0,63.0,0.0,0.1,28.25,5.0,1104.2015558091944,6500.0,75000.0,12802.932807104604,18198.73125129541,86698.73125129541,5527.679855672125,10923.47829986293,79423.47829986294
5,2030,21.301687500000078,1.2736215929650867,1.0,100.0,100.0,40.38584273449711,127.0941233148436,7.502630988419576,7.6791899791764395,4.459740572196435,74.59044391578888,95.0,0.0,0.12736215929650868,28.25,5.0,1353.8102967087955,6556.488901842723,75000.0,21756.494540462798,26959.173145596724,95402.684243754,9076.62932866245,14279.307933796377,82722.81903195367
6,2031,34.434281250000005,2.0397271630312135,1.0,99.99999999999999,100.0,65.92018831562623,209.38313613071273,12.245724086404628,12.774500245733387,3.6881850118477493,62.26322926997102,127.0,0.0,0.20397271630312136,28.25,5.0,1715.8537789119148,6728.090849676968,75000.0,34842.48708145213,39854.724152217175,108126.63330254021,14268.641611353809,19280.878682118862,87552.7878324419
7,2032,54.3916874999995,3.2092048435015483,1.045497343832818,100.00000000000001,100.0,100.0,314.06981209497314,18.295859359427016,19.239394379509992,3.5483363151768694,60.139507888009604,184.60113852844182,0.0,0.32092048435015486,28.261374335958205,5.227486719164089,2232.9515829584534,6974.288499543312,75110.51619270055,53666.31284905034,58407.64976563519,126543.87745879244,21746.22076948741,26487.55768607227,94623.78537922952
8,2033,77.8649062499989,4.581443370594041,1.5009318973019872,100.00000000000001,100.0,100.00000000000001,414.8314607208326,24.09871890714994,25.483889280324263,2.9153056355218205,49.54770399586247,151.23937362384382,0.0,0.4581443370594041,28.375232974325495,7.504659486509936,2804.5613141447293,7245.794821048872,76150.25492160354,74545.5187280668,78986.75223497095,147891.21233552563,30041.783253694557,34483.0167605987,103387.47686115338
9,2034,105.06074999999821,6.145621191215885,2.03715543626137,100.00000000000001,99.99999999999999,100.0,548.4483292220092,31.67544470591177,33.891765268606136,2.50331355905992,42.79469752804054,129.10158710454763,0.0,0.6145621191215885,28.509288859065343,10.18577718130685,3426.9875309891145,7536.6620763555875,77300.79695779728,97321.92313803281,101431.59768339929,171195.732564841,39093.079755930994,43202.75430129747,112966.88918273916
10,2035,139.28821875000008,8.111799615172867,2.712830857442376,100.0,100.0,100.0,734.2263581325873,42.21769451112507,45.57357574644522,2.3763675274941356,40.80475550466938,122.01276725083508,0.0,0.8111799615172868,28.678207714360592,13.564154287211881,4531.345205105234,9598.43702175803,85476.10940249324,124700.3540124296,129767.4458290824,205645.1182098176,50195.95295987153,55263.04477652433,131140.71715725953
11,2036,180.44390625000423,10.50199131190413,3.516599250198636,100.0,100.00000000000001,100.0,932.457415399863,53.58215225199613,57.91412080692038,2.205671603276936,37.89757467699125,113.17752512673114,0.0,1.050199131190413,28.87914981254966,17.58299625099318,5363.361715978785,9991.044155732983,86999.47549335424,155383.93891417483,160011.62135392902,237020.05269155029,62395.25190953826,67022.93434929247,144031.36568691372
12,2037,232.66406250000952,13.525140529898135,4.539666698367315,100.0,100.0,100.0,1210.4370832882569,69.47305744123864,75.26822652282563,2.1705113998857444,37.337874522166125,111.24164692126465,0.0,1.3525140529898136,29.134916674591828,22.69833349183657,6355.560345383192,10457.750182650494,88821.84314927217,194285.1796419198,198387.3694791871,276751.46244580875,77836.75110366118,81938.94094092849,160303.03390755015
13,2038,295.8452812500159,17.181928505200965,5.777784769099704,99.99999999999999,100.0,100.0,1557.6323357040865,89.31695893473697,96.9474675673033,2.0652687019998472,35.56061822833511,105.74987203879631,0.0,1.7181928505200965,29.444446192274928,28.88892384549852,7483.814202611831,10988.319312387228,90894.6181714304,240318.9190635942,243823.42417336957,323729.7230324127,96092.57440598341,99597.07951575881,179503.37837480198
14,2039,366.678562500023,21.285778277277785,7.164462449240739,100.0,100.0,100.0,2043.573351289613,117.12671342350349,127.25156231677073,1.868121210385614,32.18111130713159,95.61080190637242,0.0,2.1285778277277787,29.791115612310186,35.822312246203694,8672.629980089923,11547.93776193117,93076.46370806005,289738.49493042484,292613.80271226604,374142.3286583949,115683.60061859504,118558.90840043628,200087.43434656516
15,2040,456.021562500032,26.432642518891594,8.923291035369443,99.99999999999999,100.0,100.0,2570.1438994212776,147.0870224237919,160.27726422133918,1.8946472514661834,32.68685676744174,96.82526285149105,0.0,2.6432642518891596,30.23082275884236,44.61645517684722,10081.906133623033,12207.569668846882,95677.40388865264,350935.77125154284,353061.43478676665,436531.2690065724,139957.05854934626,142082.7220845701,225552.55630437584
16,2041,564.2879062499957,32.679231806062724,11.051452418812383,100.0,100.0,99.99999999999999,3251.228926846681,185.90041493930158,202.92752919162473,1.8554358305459573,32.03869681556463,94.73867871138273,0.0,3.2679231806062727,30.762863104703097,55.257262094061915,11686.951878136795,12959.989555742332,98635.2105236221,422603.94120209105,423876.9788796966,509552.19984757627,168397.17910995334,169670.21678755886,255345.43775543862
17,2042,691.7878124999442,40.07045651004056,13.546040538319833,100.0,100.0,100.0,4022.52723355195,230.0446243539419,251.0228517354576,1.7823384247609877,30.77079992066085,91.0229078757012,0.0,4.007045651004056,31.386510134579957,67.73020269159916,13463.43948234191,13796.732562488243,101893.74591365115,503678.19129803526,504011.4843781816,592108.4977293444,200590.84917130717,200924.1422514535,289021.1556026164
18,2043,838.8314999998847,48.63644533356967,16.40907655547684,100.0,99.99999999999999,100.0,4965.058447016239,284.2321323840843,309.5341548384856,1.6952153084382209,29.237334065993355,86.65935558240665,0.0,4.863644533356967,32.10226913886921,82.0453827773842,15388.99956044141,14708.137886350458,105408.61193994738,593034.6103597465,592353.7486856554,683054.2227392524,236094.02702547665,235413.16535138572,326113.6394049826
19,2044,1005.7291874998172,58.47040318803913,19.62155622898705,100.0,100.0,100.0,6005.686663028528,344.73026786821566,373.4133725329031,1.6048057668608662,27.603709090382406,82.256472481812,0.0,5.847040318803913,32.905389057246765,98.10778114493525,17443.089139645614,15691.516530249035,109115.2546440097,689892.708922198,688141.1363128014,781564.8744265621,274568.8663597831,272817.29375038657,366241.0318641472
20,2045,1192.8944999997416,69.46404342269437,23.235660525768633,100.00000000000001,100.0,100.00000000000001,7223.719116667697,415.3178398821156,448.4237838283468,1.5173177510671665,26.056646155565726,77.89750577534423,0.0,6.946404342269438,33.808915131442156,116.17830262884317,20690.55096774014,21890.8296532429,132630.56095889246,794725.140884935,795925.4195704376,906665.1508760873,316826.73841206275,318027.0170975656,428766.7484032151
21,2046,1404.360281249656,81.8558081904927,27.32874154066914,99.99999999999999,100.0,100.0,8733.29615247306,502.5865510148419,541.6192414353468,1.4561790356106319,24.98295533581355,74.82964398330391,0.0,8.18558081904927,34.832185385167286,136.64370770334568,22989.481802580452,22985.396612868553,136802.2067059473,906762.8657903998,906758.7806006877,1020575.5906937666,361231.78841241857,361227.70322270674,475044.51331578544
22,2047,1640.6435624995606,95.74784118935622,31.886858145214592,100.0,100.0,100.0,10460.54214776604,602.7408943338298,647.9276091421975,1.392746146834445,23.86476782783079,71.65961568223429,0.0,9.574784118935623,35.97171453630365,159.43429072607296,25403.703615185063,24138.67287258807,141168.37914240698,1026298.3752484062,1025033.344505809,1142063.050775628,408508.62858930783,407243.59784671094,524273.3041165298
23,2048,1902.1579687494946,111.1155915487177,36.93427937959406,99.99999999999999,100.00000000000001,100.0,12512.564930094119,721.6663880337952,774.290970543412,1.3295425729875634,22.760082223845078,68.4729753086033,0.0,11.11155915487177,37.23356984489851,184.67139689797028,27915.00112759765,25337.719895057493,145712.43200589006,1152635.5436476814,1150058.2624151409,1270432.9745259737,458344.3651686493,455767.0839361092,576141.7960469418
24,2049,2193.2465624999654,128.24099328591123,42.54592411302947,99.99999999999999,100.0,100.0,15014.84532723435,866.8061641249585,928.2525867926031,1.2834854266413762,21.950859299132244,66.1637996749475,0.0,12.824099328591124,38.636481028257364,212.72962056514734,30542.158618542784,26593.5331369885,150460.55942777477,1287673.4118349592,1283724.7863534046,1407591.812644191,511385.57956550876,507436.95408395457,631303.9803747408
25,2050,2506.5675000004717,146.68448099819955,48.58279800060004,100.00000000000001,100.0,100.0,17687.614888317545,1021.9643601095199,1092.564774729291,1.2088244182530212,20.65658193273487,62.36775411664385,0.0,14.668448099819955,40.14569950015001,242.9139900030002,33199.875467580474,27864.65068044695,155261.23847785604,1426422.415793978,1421087.1910068442,1548483.7788042533,565695.9710363862,560360.7462492528,687757.3340466619
26,2051,2842.534406251015,166.4265285702742,55.06749516407503,100.00000000000003,100.0,100.0,20762.406681325712,1200.2072071499995,1281.8644025698552,1.1429940805131953,19.52212803999032,59.00032297309911,0.0,16.64265285702742,41.76687379101875,275.3374758203751,38694.11256417062,30487.820822908972,165203.1952932621,1718161.486232073,1709955.1944908113,1844670.5689611644,679444.5360963073,671238.2443550458,805953.6188253989
27,2052,3203.732437501599,187.6856716411373,62.0277042446205,100.0,100.0,100.0,24370.319409350228,1409.6062419309733,1503.7148614387665,1.090290799291586,18.610903908950274,56.313546382831646,0.0,18.76856716411373,43.50692606115513,310.1385212231025,44401.21833388033,33217.04789947187,175513.32452774525,2027086.6649068794,2015902.4944724708,2158198.771100744,799377.8257404965,788193.6553060882,930489.9319343615
28,2053,3601.9499062522427,210.99432792656336,69.7443870453116,100.00000000000001,100.0,100.0,28983.618740271802,1676.2833548793378,1788.5414232951327,1.0691431308679384,18.251675473192538,55.215912894869646,0.0,21.099432792656337,45.4360967613279,348.721935226558,50480.47534871111,36108.19909752556,186557.4700940732,2366391.8377426565,2352019.561491471,2502468.8324880186,952507.6032227653,938135.3269715798,1088584.5979681273
29,2054,4025.915531252928,235.6519756856651,78.01272320894401,100.00000000000001,100.0,100.0,33762.79890620115,1951.2215379746876,2085.0382345686526,1.0184018934753993,17.39853862065204,52.55552980786015,0.0,23.56519756856651,47.503180802236,390.06361604472005,56733.9370283567,39063.24928560007,197990.97148797,2722606.1415227614,2704935.4537800048,2863863.1759823747,1142526.3760600567,1124855.6883173003,1283783.41051967
30,2055,4483.384781253668,262.232814326253,86.94291449541467,100.0,100.0,99.99999999999999,39977.0017514899,2308.622661140901,2470.6612401853145,0.9867544758812643,16.87050497996009,50.88396249050657,0.0,26.2232814326253,49.73572862385367,434.7145724770734,66513.12206573815,57530.09822512266,269577.74454113166,3108236.8179727504,3099253.794132135,3311301.4404481435,1384602.8079195302,1375619.7840789147,1587667.4303949235
