,Year,L1,L2,L3,Utilization L1,Utilization L2,Utilization L3,Emission L1,Emission L2,Emission L3,EV/CP L1,EV/CP L2,EV/CP L3,Area L1,Area L2,Area L3,Jobs,DAC L1 case1,DAC L2 case1,DAC L3 case1,DAC L1 case2,DAC L2 case2,DAC L3 case2,DAC L1 case3,DAC L2 case3,DAC L3 case3
0,2025,1,1,1,0,0,0,0,0,0,0,0,0,0,0.1,28.25,5,800,6500,75000,800.03,6500.03,75000.03,800.0,6500.0,75000.0
1,2026,1,1,1,19,4,1,3,1,1,2,2,2,0,0.1,28.25,5,800,6500,75000,806.0,6506.0,75006.0,800.0,6500.0,75000.0
2,2027,2,1,1,79,25,4,22,4,3,8,15,15,0,0.1,28.25,5,834,6500,75000,917.0,6584.0,75084.0,843.0,6510.0,75010.0
3,2028,5,1,1,89,68,11,62,10,9,7,31,31,0,0.1,28.25,5,926,6500,75000,1164.0,6740.0,75240.0,961.0,6536.0,75036.0
4,2029,11,2,1,93,73,28,142,22,22,6,32,63,0,0.2,28.25,5,1093,6727,75000,1628.0,7264.0,75538.0,1183.0,6818.0,75091.0
5,2030,19,3,1,100,85,54,263,38,44,5,32,95,0,0.30000000000000004,28.25,5,1297,6934,75000,2280.0,7919.0,75987.0,1506.0,7144.0,75210.0
6,2031,31,5,1,99,82,88,425,60,71,5,26,127,0,0.5,28.25,5,1628,7382,75000,3294.0,9050.0,76670.0,2044.0,7799.0,75417.0
7,2032,49,7,2,99,92,70,671,95,112,4,28,97,0,0.7000000000000001,28.5,10,2095,7804,77430,4786.0,10497.0,80125.0,2859.0,8569.0,78195.0
8,2033,70,10,3,99,92,67,960,135,160,4,23,76,0,1.0,28.75,15,2607,8398,79713,6448.0,12242.0,83559.0,3774.0,9566.0,80881.0
9,2034,94,13,3,100,95,91,1295,181,218,3,21,88,0,1.3,28.75,15,3157,8956,79713,8265.0,14067.0,84826.0,4777.0,10578.0,81335.0
10,2035,124,17,4,100,96,91,1717,238,290,3,20,83,0,1.7000000000000002,29.0,20,4125,13151,91813,10762.0,19790.0,98454.0,6308.0,15336.0,93998.0
11,2036,161,22,5,100,96,94,2224,308,375,3,19,80,0,2.2,29.25,25,4874,13973,93709,13265.0,22366.0,102104.0,7714.0,16815.0,96551.0
12,2037,207,28,7,100,97,87,2868,397,484,3,19,73,0,2.8000000000000003,29.75,35,5749,14900,97272,16427.0,25580.0,107954.0,9458.0,18612.0,100984.0
13,2038,263,35,8,100,99,97,3646,504,616,3,18,77,0,3.5,30.0,40,6750,15916,98947,20203.0,29372.0,112404.0,11520.0,20690.0,103720.0
14,2039,326,43,10,100,100,96,4519,624,764,3,16,69,0,4.3,30.5,50,7808,17007,102094,24274.0,33477.0,118565.0,13733.0,22936.0,108022.0
15,2040,406,53,12,100,100,100,5620,775,952,3,17,72,0,5.300000000000001,31.0,60,9070,18289,105052,29344.0,38567.0,125331.0,16458.0,25681.0,112443.0
16,2041,502,66,15,100,100,99,6954,958,1178,3,16,70,0,6.6000000000000005,31.75,75,10494,19855,109222,35301.0,44666.0,134034.0,19623.0,28988.0,118354.0
17,2042,615,81,19,100,99,96,8525,1175,1444,3,16,65,0,8.1,32.75,95,12069,21554,114447,42059.0,51547.0,144442.0,23186.0,32675.0,125568.0
18,2043,746,98,22,100,100,100,10337,1426,1749,2,15,65,0,9.8,33.5,110,13785,23363,118131,49534.0,59115.0,153884.0,27108.0,36690.0,131457.0
19,2044,894,117,27,100,100,97,12394,1714,2092,2,14,60,0,11.700000000000001,34.75,135,15607,25263,123901,57621.0,67281.0,165919.0,31327.0,40988.0,139624.0
20,2045,1061,139,31,100,100,100,14701,2036,2477,2,14,59,0,13.9,35.75,155,18505,37669,149928,67222.0,86390.0,198648.0,36787.0,55957.0,168213.0
21,2046,1249,164,37,100,100,99,17306,2399,2913,2,13,56,0,16.400000000000002,37.25,185,20549,39878,156044,76499.0,95831.0,211996.0,41593.0,60927.0,177090.0
22,2047,1459,192,43,100,100,99,20218,2806,3399,2,12,54,0,19.200000000000003,38.75,215,22695,42203,161792,86337.0,105848.0,225436.0,46673.0,66186.0,185772.0
23,2048,1691,223,50,100,100,99,23441,3257,3937,2,12,51,0,22.3,40.5,250,24923,44622,168094,96635.0,116337.0,239808.0,51978.0,71682.0,195151.0
24,2049,1950,257,57,100,100,100,27028,3759,4535,2,11,50,0,25.700000000000003,42.25,285,27261,47116,174017,107495.0,127353.0,254254.0,57562.0,77422.0,204321.0
25,2050,2229,294,65,100,100,100,30889,4299,5178,2,11,47,0,29.400000000000002,44.25,325,29628,49667,180379,118484.0,138526.0,269239.0,63216.0,83260.0,213971.0
26,2051,2527,333,74,100,100,100,35029,4878,5870,2,10,44,0,33.300000000000004,46.5,370,34502,54850,194178,141162.0,161513.0,300842.0,74884.0,95237.0,234564.0
27,2052,2848,376,83,100,100,100,39480,5501,6611,2,10,43,0,37.6,48.75,415,39574,60371,207510,164718.0,185518.0,332658.0,87015.0,107817.0,254955.0
28,2053,3202,422,93,100,100,100,44387,6184,7434,2,10,42,0,42.2,51.25,465,44979,66077,221823,189918.0,211019.0,366765.0,99977.0,121081.0,276825.0
29,2054,3579,472,105,100,100,100,49612,6906,8315,2,9,40,0,47.2,54.25,525,50540,72070,238417,215778.0,237311.0,403658.0,113296.0,134831.0,301177.0
30,2055,3986,525,116,100,100,100,55249,7685,9267,2,9,39,0,52.5,57.0,580,59241,108892,326596,245638.0,295292.0,512996.0,130088.0,179744.0,397447.0
