,Year,L1,L2,L3,Utilization L1,Utilization L2,Utilization L3,Emission L1,Emission L2,Emission L3,EV/CP L1,EV/CP L2,EV/CP L3,Area L1,Area L2,Area L3,Jobs,DAC L1 case1,DAC L2 case1,DAC L3 case1,DAC L1 case2,DAC L2 case2,DAC L3 case2,DAC L1 case3,DAC L2 case3,DAC L3 case3
0,2025,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,28.25,5.0,800.0,6500.0,75000.0,800.0,6500.0,75000.0,800.0,6500.0,75000.0
1,2026,1.0,1.0,1.0,8.45630035478523,5.794766036774129,1.1656641017447666,9.187154884228496,9.323726287939557,7.567459994682932,2.0,2.0,2.0,0.0,0.1,28.25,5.0,800.0,6500.0,75000.0,1083.3333333333333,6783.333333333333,75283.33333333333,906.6666666666666,6606.666666666667,75106.66666666667
2,2027,1.0,1.0,1.0,76.90020729678817,47.44899511899106,9.45250705064637,14.00871802706742,12.801205636746328,10.289492782964235,15.0,15.0,15.0,0.0,0.1,28.25,5.0,800.0,6500.0,75000.0,2867.1993911719937,8567.199391171995,77067.19939117199,1579.421613394216,7279.421613394216,75779.42161339422
3,2028,2.2973274371951664,1.175000128892093,1.0,100.0,100.0,28.72988440190107,25.400646621343363,19.24034073699467,18.981556648337985,13.493940610332961,26.382975829313214,31.0,0.0,0.1175000128892093,28.25,5.0,839.5245775608257,6543.3190947019875,75000.0,6262.228093612062,11966.022610753225,80422.70351605123,2886.642861166255,8590.437378307417,77047.11828360544
4,2029,5.869384925786466,2.4268118752361647,1.0,100.0,100.0,63.787331379021595,43.51128294782938,26.64393585830565,28.256593473906182,10.733663032256883,25.95998504987914,63.0,0.0,0.24268118752361648,28.25,5.0,938.909832117219,6826.3057177892715,75000.0,12637.641083412625,18525.036969084682,86698.73125129541,5362.388131980149,11249.784017652202,79423.47829986294
5,2030,11.538812209856316,4.440652021264922,1.080042292933953,100.0,100.0,100.0,68.84502563030729,39.23838954312178,38.50599024039608,8.233083117415857,21.393254761930027,87.95951845731051,0.0,0.44406520212649225,28.27001057323349,5.400211464669765,1082.964914403018,7242.060984408409,75190.66904574091,21485.64915815702,27644.745228162414,95593.3532894949,8805.783946356672,14964.880016362064,82913.48807769456
6,2031,18.83433951875036,6.901780888622917,1.7857067195338228,100.0,99.99999999999999,99.99999999999999,114.52520372808911,62.15338943270481,64.88389078055724,6.743002581723998,18.401047794685898,71.12030134105933,0.0,0.6901780888622917,28.446426679883455,8.928533597669114,1284.090309865736,7793.335539784983,77014.47960015647,34410.72361240594,40919.968842325194,110141.11290269667,13836.87814230763,20346.123372226877,89567.26743259837
7,2032,29.87135268093766,10.610965621812747,2.875662222630459,99.99999999999999,100.0,100.0,172.48389514528023,90.74057787749973,99.22191564462621,6.461039848495463,18.188731061690916,67.11497563279765,0.0,1.0610965621812747,28.718915555657613,14.378311113152296,1570.0600996223552,8574.190599681635,79662.05684901486,53003.42136571423,60007.551865773516,131095.41811510673,21083.32928615131,28087.45978621059,99175.32603554381
8,2033,42.88376849434252,15.208898853812553,4.089081853372722,100.0,100.00000000000003,99.99999999999999,228.4666762277438,119.99983915040089,130.17626257333373,5.2933780768345295,14.925472394939089,55.513684523768525,0.0,1.5208898853812554,29.02227046334318,20.44540926686361,1886.9328550975536,9483.921607594295,82432.2449581156,73627.89026901963,81224.87902151636,154173.20237203766,29124.15479464738,36721.14354714412,109669.46689766542
9,2034,58.20444103603921,20.624299401004887,5.425735610782496,100.00000000000001,100.00000000000001,100.0,303.8444751205107,159.45105505570143,169.25048506696706,4.518555548659162,12.751948315256989,48.472689947763655,0.0,2.062429940100489,29.356433902695624,27.12867805391248,2237.574237556598,10490.944385172172,85300.22113596246,96132.5098446003,104385.87999221587,179195.15674300614,37903.66646249848,46157.03661011405,120966.31336090434
