,Year,L1,L2,L3,Utilization L1,Utilization L2,Utilization L3,Emission L1,Emission L2,Emission L3,EV/CP L1,EV/CP L2,EV/CP L3,Area L1,Area L2,Area L3,Jobs,DAC L1 case1,DAC L2 case1,DAC L3 case1,DAC L1 case2,DAC L2 case2,DAC L3 case2,DAC L1 case3,DAC L2 case3,DAC L3 case3
0,2025,1,1,1,0,0,0,0,0,0,0,0,0,0,0.1,28.25,5,800,6500,75000,800.0,6500.0,75000.0,800.0,6500.0,75000.0
1,2026,1,1,1,14,3,1,16,7,5,2,2,2,0,0.1,28.25,5,800,6500,75000,1085.0,6785.0,75285.0,907.0,6607.0,75107.0
2,2027,2,1,1,59,17,4,23,10,7,8,15,15,0,0.1,28.25,5,834,6500,75000,2903.0,8569.0,77069.0,1614.0,7281.0,75781.0
3,2028,4,1,1,83,46,11,43,18,14,8,31,31,0,0.1,28.25,5,895,6500,75000,6320.0,11925.0,80425.0,2944.0,8550.0,77050.0
4,2029,8,1,1,96,97,28,66,25,23,8,63,63,0,0.1,28.25,5,1007,6500,75000,12708.0,18202.0,86702.0,5433.0,10927.0,79427.0
5,2030,15,2,1,95,85,54,92,33,34,7,48,95,0,0.2,28.25,5,1185,6707,75000,21591.0,27113.0,95407.0,8911.0,14433.0,82727.0
6,2031,23,3,1,100,91,88,148,52,55,6,43,127,0,0.30000000000000004,28.25,5,1406,6931,75000,34536.0,40062.0,108132.0,13962.0,19487.0,87557.0
7,2032,37,5,2,99,86,70,234,82,86,6,39,97,0,0.5,28.5,10,1769,7353,77430,53206.0,58790.0,128868.0,21286.0,26869.0,96947.0
8,2033,52,7,3,100,88,67,335,117,124,5,33,76,0,0.7000000000000001,28.75,15,2135,7749,79713,73880.0,79494.0,151459.0,29376.0,34990.0,106955.0
9,2034,71,9,3,99,92,91,452,157,168,4,30,88,0,0.9,28.75,15,2570,8121,79713,96470.0,102021.0,173614.0,38241.0,43792.0,115385.0
10,2035,93,11,4,100,99,91,599,207,223,4,31,83,0,1.1,29.0,20,3280,10219,91813,123454.0,130393.0,211988.0,48950.0,55889.0,137484.0
11,2036,121,15,5,100,94,94,776,268,289,4,27,80,0,1.5,29.25,25,3847,10877,93709,153872.0,160902.0,243736.0,60884.0,67914.0,150747.0
12,2037,156,19,7,100,95,87,1000,345,374,4,27,73,0,1.9000000000000001,29.75,35,4513,11495,97272,192447.0,199429.0,285208.0,75999.0,82982.0,168760.0
13,2038,198,23,8,100,100,97,1272,438,475,4,27,77,0,2.3000000000000003,30.0,40,5264,12076,98947,238103.0,244915.0,331788.0,93877.0,100691.0,187563.0
14,2039,245,29,10,100,98,96,1576,542,589,3,24,69,0,2.9000000000000004,30.5,50,6053,12895,102094,287123.0,293965.0,383166.0,113069.0,119912.0,209113.0
15,2040,305,36,12,100,98,100,1960,673,734,3,24,72,0,3.6,31.0,60,7000,13793,105052,347858.0,354651.0,445912.0,136880.0,143674.0,234936.0
16,2041,377,44,15,100,100,99,2426,833,909,3,24,70,0,4.4,31.75,75,8068,14757,109222,418989.0,425678.0,520145.0,164783.0,171474.0,265941.0
17,2042,462,54,19,100,99,96,2974,1021,1114,3,23,65,0,5.4,32.75,95,9253,15890,114447,499472.0,506109.0,604668.0,196385.0,203024.0,301584.0
18,2043,560,65,22,100,100,100,3606,1239,1349,3,22,65,0,6.5,33.5,110,10537,17061,118131,588187.0,594711.0,695783.0,231246.0,237772.0,338845.0
19,2044,671,78,27,100,100,97,4323,1489,1613,3,21,60,0,7.800000000000001,34.75,135,11904,18361,123901,684358.0,690816.0,796357.0,269034.0,275493.0,381036.0
20,2045,796,93,31,100,100,100,5127,1769,1910,3,20,59,0,9.3,35.75,155,14073,26820,149928,788112.0,800860.0,923969.0,310214.0,322963.0,446073.0
21,2046,937,110,37,100,100,99,6036,2085,2246,3,19,56,0,11.0,37.25,185,15606,28322,156044,899384.0,912101.0,1039824.0,353854.0,366571.0,494295.0
22,2047,1094,128,43,100,100,99,7052,2438,2621,3,18,54,0,12.8,38.75,215,17211,29817,161792,1018110.0,1030717.0,1162693.0,400321.0,412929.0,544906.0
23,2048,1269,149,50,100,100,99,10901,3773,4048,2,17,51,0,14.9,40.5,250,18892,31456,168094,1143617.0,1156182.0,1292821.0,449327.0,461893.0,598533.0
24,2049,1463,171,57,100,100,100,12569,4354,4662,2,17,50,0,17.1,42.25,285,20643,33070,174017,1277779.0,1290207.0,1431155.0,501493.0,513921.0,654870.0
25,2050,1672,196,65,100,100,100,14364,4980,5324,2,16,47,0,19.6,44.25,325,22416,34793,180379,1415644.0,1428022.0,1573609.0,554919.0,567297.0,712885.0
26,2051,1896,222,74,100,100,100,16289,5650,6035,2,15,44,0,22.200000000000003,46.5,370,26080,38248,194178,1705553.0,1717722.0,1873653.0,666837.0,679007.0,834938.0
27,2052,2136,251,83,100,100,100,18359,6372,6797,2,14,43,0,25.1,48.75,415,29873,41971,207510,2012564.0,2024664.0,2190203.0,784856.0,796957.0,962497.0
28,2053,2402,282,93,100,100,100,20641,7163,7643,2,14,42,0,28.200000000000003,51.25,465,33934,45817,221823,2349852.0,2361736.0,2537742.0,935968.0,947853.0,1123860.0
29,2054,2684,315,105,100,100,100,23071,8000,8549,2,14,40,0,31.5,54.25,525,38094,49772,238417,2703973.0,2715652.0,2904297.0,1123894.0,1135574.0,1324220.0
30,2055,2989,350,116,100,100,100,32115,11128,11909,2,13,39,0,35.0,57.0,580,44614,74089,326596,3086345.0,3115820.0,3368328.0,1362712.0,1392188.0,1644697.0
