,Year,PV Cost [$],Energy Cost [$]
0,2025,0.0,0.03
1,2026,0.0,5.25
2,2027,10.65,92.54
3,2028,33.1,203.38
4,2029,78.48,426.6
5,2030,186.11,705.45
6,2031,299.5,989.09
7,2032,537.79,1582.16
8,2033,661.36,1889.61
9,2034,791.44,2213.12
10,2035,1046.26,2841.36
11,2036,1299.49,3470.51
12,2037,1830.51,4814.59
13,2038,2377.09,6216.51
14,2039,2751.24,7181.21
15,2040,3708.77,9655.15
16,2041,4696.04,12230.47
17,2042,5707.04,14878.59
18,2043,6737.69,17590.17
19,2044,7790.36,20361.35
20,2045,8860.05,23177.11
21,2046,10159.55,26609.11
22,2047,11485.71,30111.42
23,2048,12814.91,33614.26
24,2049,14387.9,37770.14
25,2050,15501.07,40659.98
26,2051,16618.72,43548.89
27,2052,17869.76,46792.23
28,2053,19801.69,51865.57
29,2054,21037.97,55048.7
30,2055,22708.38,59388.98
