,Scenario,L1,Utilization L1,Emission L1,L2,Utilization L2,Emission L2,L3,Utilization L3,Emission L3
0,Scenario 1,1,0,0,1,0,0,1,0,0
1,Scenario 1,1,4,478,1,5,680,1,5,677
2,Scenario 1,1,56,7646,1,82,11869,1,82,9613
3,Scenario 1,2,100,22460,3,100,33769,1,100,29567
4,Scenario 1,4,101,52564,5,100,73255,1,100,76204
5,Scenario 1,8,100,97960,9,100,129750,2,100,150223
6,Scenario 1,12,100,158648,15,100,208330,4,100,245473
7,Scenario 1,19,100,250873,23,100,328282,5,100,389572
8,Scenario 1,26,100,359346,33,100,469032,7,100,559462
9,Scenario 1,35,100,484543,43,100,629449,10,100,758012
10,Scenario 1,47,100,642235,57,100,830895,13,100,1008829
11,Scenario 1,61,100,833376,74,100,1076305,17,100,1311354
12,Scenario 1,78,100,1074691,95,100,1386389,22,100,1692986
13,Scenario 1,99,100,1366659,121,100,1761464,27,100,2154838
14,Scenario 1,123,100,1693988,149,100,2182394,34,100,2672107
15,Scenario 1,152,101,2106853,185,101,2710306,42,101,3328198
16,Scenario 1,189,100,2607165,229,100,3351016,52,100,4122060
17,Scenario 1,231,100,3196357,281,100,4109131,64,100,5052609
18,Scenario 1,280,101,3875864,341,100,4987741,77,100,6120599
19,Scenario 1,336,100,4647118,410,100,5996406,92,100,7318941
20,Scenario 1,398,100,5512031,487,100,7124020,109,100,8667101
21,Scenario 1,469,100,6489240,573,100,8395038,128,100,10193931
22,Scenario 1,547,100,7581133,671,100,9819938,149,100,11894233
23,Scenario 1,635,100,8789623,778,100,11396202,173,100,13777058
24,Scenario 1,732,100,10134778,898,100,13152748,199,100,15870354
25,Scenario 1,836,100,11582672,1027,100,15044489,227,100,18122272
26,Scenario 1,948,100,13135215,1165,100,17069423,257,100,20541241
27,Scenario 1,1068,101,14804355,1314,100,19249965,290,100,23137588
28,Scenario 1,1201,100,16644565,1477,100,21640724,326,100,26016121
29,Scenario 1,1342,101,18603761,1650,100,24169849,365,100,29100435
30,Scenario 1,1495,100,20717782,1836,100,26896235,406,100,32431639
