,Scenario,L1,Utilization L1,Emission L1,L2,Utilization L2,Emission L2,L3,Utilization L3,Emission L3
0,Scenario 1,1,0,0,1,0,0,1,0,0
1,Scenario 1,1,6,719,1,5,694,1,5,335
2,Scenario 1,1,74,10208,1,68,9850,1,68,8616
3,Scenario 1,3,101,31396,2,100,25246,1,100,27877
4,Scenario 1,6,100,80916,4,100,52760,1,100,62906
5,Scenario 1,12,101,159514,7,100,97023,2,100,107086
6,Scenario 1,19,100,260654,11,100,151116,3,100,177595
7,Scenario 1,30,101,413664,16,100,232641,4,100,286501
8,Scenario 1,43,100,594060,23,100,333700,6,100,407744
9,Scenario 1,59,100,804889,31,100,447102,7,100,548082
10,Scenario 1,78,100,1071217,41,100,591888,10,100,721430
11,Scenario 1,101,100,1392451,53,100,764883,12,100,936719
12,Scenario 1,130,100,1797684,67,100,981307,16,100,1211363
13,Scenario 1,166,100,2288098,86,100,1249114,20,100,1536270
14,Scenario 1,205,101,2837355,107,100,1557095,24,100,1891887
15,Scenario 1,255,100,3534020,133,100,1935365,30,100,2347569
16,Scenario 1,316,101,4376977,165,100,2410780,37,100,2880829
17,Scenario 1,387,100,5365073,203,100,2961481,45,100,3526148
18,Scenario 1,469,100,6499110,247,100,3605147,54,100,4267443
19,Scenario 1,561,100,7771560,296,100,4331927,65,100,5133212
20,Scenario 1,664,100,9203093,352,100,5147033,77,100,6097903
21,Scenario 1,781,100,10824346,413,100,6044543,91,100,7211050
22,Scenario 1,912,101,12629797,481,100,7043093,106,100,8468203
23,Scenario 1,1056,100,14629061,556,100,8137153,124,100,9871708
24,Scenario 1,1216,100,16851811,640,100,9372597,143,100,11416031
25,Scenario 1,1389,100,19242992,730,100,10692119,164,100,13092563
26,Scenario 1,1574,100,21811555,827,100,12106580,187,100,14884669
27,Scenario 1,1773,100,24568466,931,100,13634983,211,100,16808131
28,Scenario 1,1993,100,27625013,1046,100,15312871,237,100,18914435
29,Scenario 1,2229,100,30900068,1167,100,17095423,265,100,21133482
30,Scenario 1,2485,101,34437281,1298,100,19018481,295,100,23523818
