,L1,L2,L3,Utilization L1,Utilization L2,Utilization L3,Emission L1,Emission L2,Emission L3,EV/CP L1,EV/CP L2,EV/CP L3,DAC L1,DAC L2,DAC L3,Area L1,Area L2,Area L3,Jobs
0,1,1,1,0,0,0,0,0,0,0,0,0,800,6500,75000,0,0.1,28.25,5
1,1,1,1,9,9,3,2,2,2,2,2,2,800,6500,75000,0,0.1,28.25,5
2,1,1,1,77,72,18,11,11,10,15,15,15,800,6500,75000,0,0.1,28.25,5
3,3,2,1,100,100,54,32,26,29,11,16,31,800,6500,75000,0,0.2,28.25,5
4,6,4,2,100,100,100,82,54,64,11,16,32,856,6727,75000,0,0.4,28.5,10
5,12,7,3,100,100,100,160,98,108,8,14,32,933,7140,77383,0,0.7000000000000001,28.75,15
6,19,11,4,100,100,100,262,152,179,7,12,32,1099,7812,79968,0,1.1,29.0,20
7,30,16,6,100,100,100,415,234,288,7,13,33,1281,8655,82398,0,1.6,29.5,30
8,43,23,8,100,101,100,595,335,409,6,10,29,1549,9645,86964,0,2.3000000000000003,30.0,40
9,59,31,11,101,100,100,807,454,543,5,9,24,1847,10947,91256,0,3.1,30.75,55
10,78,42,14,100,100,101,1075,602,712,5,8,24,2364,19336,127555,0,4.2,31.5,70
11,101,53,18,100,100,100,1393,773,929,4,8,23,2749,21143,133241,0,5.300000000000001,32.5,90
12,130,68,23,100,100,100,1799,990,1204,4,8,22,3187,22842,140367,0,6.800000000000001,33.75,115
13,166,86,29,100,100,100,2289,1257,1529,4,8,22,3705,25019,148738,0,8.6,35.25,145
14,205,107,36,101,100,100,2838,1565,1885,4,7,20,4310,27474,158179,0,10.700000000000001,37.0,180
15,255,133,44,100,100,100,3535,1944,2340,4,7,20,4926,30166,168531,0,13.3,39.0,220
16,316,166,54,101,100,100,4378,2419,2873,4,7,20,5668,33298,179650,0,16.6,41.5,270
17,388,203,67,100,100,100,5366,2970,3519,4,7,19,6518,37034,192713,0,20.3,44.75,335
18,469,247,80,100,100,100,6500,3613,4260,4,6,18,7461,40971,208673,0,24.700000000000003,48.0,400
19,561,297,97,101,100,100,7773,4340,5126,3,6,17,8458,45371,223673,0,29.700000000000003,52.25,485
20,664,352,115,100,100,100,9204,5155,6091,3,6,16,10055,73566,334285,0,35.2,56.75,575
21,781,414,136,100,101,100,10825,6053,7204,3,5,16,11175,78425,352631,0,41.400000000000006,62.0,680
22,912,482,159,100,100,100,12631,7051,8461,3,5,15,12371,83573,372747,0,48.2,67.75,795
23,1056,556,186,100,100,100,14630,8145,9864,3,5,14,13629,88879,393454,0,55.6,74.5,930
24,1216,641,215,100,100,100,16853,9381,11409,3,5,14,14929,94306,416300,0,64.10000000000001,81.75,1075
25,1389,731,246,100,100,100,19244,10700,13085,3,5,13,16287,100165,439362,0,73.10000000000001,89.5,1230
26,1574,827,280,100,100,100,21813,12115,14877,3,4,12,19117,112124,486890,0,82.7,98.0,1400
27,1773,932,316,100,100,100,24569,13643,16801,2,4,12,22041,124449,537255,0,93.2,107.0,1580
28,1993,1046,355,101,100,101,27626,15321,18907,2,4,11,25079,137473,588779,0,104.60000000000001,116.75,1775
29,2229,1168,397,100,100,100,30901,17104,21126,2,4,11,28324,151136,642709,0,116.80000000000001,127.25,1985
30,2485,1299,442,100,100,100,34438,19027,23516,2,4,11,33369,235895,979393,0,129.9,138.5,2210
