,Year,L1,L2,L3,Utilization L1,Utilization L2,Utilization L3,Emission L1,Emission L2,Emission L3,EV/CP L1,EV/CP L2,EV/CP L3,Area L1,Area L2,Area L3,Jobs,DAC L1 case1,DAC L2 case1,DAC L3 case1,DAC L1 case2,DAC L2 case2,DAC L3 case2,DAC L1 case3,DAC L2 case3,DAC L3 case3
0,2025,1,1,1,0,0,0,0,0,0,0,0,0,0,0.1,28.25,5,800,6500,75000,800.0,6500.0,75000.0,800.0,6500.0,75000.0
1,2026,1,1,1,9,5,1,10,10,8,2,2,2,0,0.1,28.25,5,800,6500,75000,1085.0,6785.0,75285.0,907.0,6607.0,75107.0
2,2027,1,1,1,77,36,8,15,14,11,15,15,15,0,0.1,28.25,5,800,6500,75000,2869.0,8569.0,77069.0,1581.0,7281.0,75781.0
3,2028,3,1,1,77,89,24,30,23,23,11,31,31,0,0.1,28.25,5,861,6500,75000,6286.0,11925.0,80425.0,2911.0,8550.0,77050.0
4,2029,6,2,1,98,92,54,51,31,33,11,32,63,0,0.2,28.25,5,945,6727,75000,12646.0,18428.0,86702.0,5372.0,11153.0,79427.0
5,2030,12,4,1,97,84,91,100,57,56,8,24,95,0,0.4,28.25,5,1098,7140,75000,21503.0,27546.0,95407.0,8824.0,14866.0,82727.0
6,2031,19,6,2,100,87,75,122,66,69,7,22,64,0,0.6000000000000001,28.5,10,1291,7588,77585,34421.0,40719.0,110716.0,13847.0,20144.0,90142.0
7,2032,30,8,3,100,100,80,193,102,111,7,25,65,0,0.8,28.75,15,1577,8010,80015,53013.0,59447.0,131452.0,21093.0,27526.0,99532.0
8,2033,43,12,4,100,96,86,277,146,158,6,19,57,0,1.2000000000000002,29.0,20,1894,8802,82298,73638.0,80547.0,154043.0,29134.0,36042.0,109540.0
9,2034,59,16,5,99,97,91,376,197,210,5,17,53,0,1.6,29.25,25,2261,9546,84444,96159.0,103446.0,178344.0,37930.0,45216.0,120115.0
10,2035,78,21,6,100,98,99,500,262,275,5,16,56,0,2.1,29.5,30,2875,14790,96544,123047.0,134964.0,216718.0,48543.0,60459.0,142214.0
11,2036,101,27,8,100,98,97,648,336,359,4,15,50,0,2.7,30.0,40,3340,15776,100335,153364.0,165802.0,250361.0,60376.0,72813.0,157373.0
12,2037,130,34,11,100,100,92,837,430,465,4,15,46,0,3.4000000000000004,30.75,55,3892,16857,105679,191825.0,204793.0,293615.0,75377.0,88344.0,177167.0
13,2038,166,43,13,100,100,99,1065,546,590,4,15,47,0,4.3,31.25,65,4535,18163,109028,237374.0,251005.0,341869.0,93148.0,106778.0,197644.0
14,2039,205,54,16,100,99,99,1320,680,727,4,13,43,0,5.4,32.0,80,5190,19664,113749,286260.0,300736.0,394821.0,112206.0,126681.0,220767.0
15,2040,255,67,20,100,99,98,1644,845,903,4,13,44,0,6.7,33.0,100,5979,21331,119665,346837.0,362191.0,460525.0,135860.0,151212.0,249547.0
16,2041,316,83,24,100,100,100,2036,1051,1108,4,13,44,0,8.3,34.0,120,6884,23259,125225,417805.0,434182.0,536148.0,163600.0,179975.0,281942.0
17,2042,388,102,30,100,100,98,2496,1290,1357,4,13,42,0,10.200000000000001,35.5,150,7888,25410,133063,498107.0,515631.0,623284.0,195021.0,212544.0,320197.0
18,2043,469,124,36,100,100,99,3023,1570,1643,4,12,40,0,12.4,37.0,180,8949,27751,140430,586599.0,605403.0,718082.0,229660.0,248463.0,361141.0
19,2044,561,149,43,100,100,100,3615,1886,1977,3,11,38,0,14.9,38.75,215,10082,30251,148507,682536.0,702708.0,820963.0,267214.0,287384.0,405639.0
20,2045,664,176,51,100,100,100,4280,2240,2348,3,11,36,0,17.6,40.75,255,11870,45477,200560,785909.0,819519.0,974601.0,308012.0,341620.0,496702.0
21,2046,781,207,61,100,100,99,5034,2630,2778,3,10,34,0,20.700000000000003,43.25,305,13142,48216,210752,896920.0,931997.0,1094532.0,351391.0,386465.0,549001.0
22,2047,912,241,71,100,100,100,5874,3063,3262,3,10,33,0,24.1,45.75,355,14481,51039,220331,1015380.0,1051941.0,1221233.0,397593.0,434151.0,603443.0
23,2048,1056,278,83,100,100,100,6803,3539,3803,3,10,31,0,27.8,48.75,415,15864,53926,231135,1140589.0,1178654.0,1355863.0,446301.0,484363.0,661571.0
24,2049,1216,321,96,100,100,100,7837,4075,4399,3,9,30,0,32.1,52.0,480,17309,57080,242135,1274444.0,1314219.0,1499274.0,498160.0,537931.0,722985.0
25,2050,1389,366,110,100,100,100,11932,6198,6727,3,9,28,0,36.6,55.5,550,18777,60182,253269,1412003.0,1453412.0,1646499.0,551281.0,592686.0,785771.0
26,2051,1574,414,125,100,100,100,13524,7017,7648,3,8,26,0,41.400000000000006,59.25,625,21803,66560,276267,1701274.0,1746035.0,1955741.0,662561.0,707319.0,917023.0
27,2052,1773,466,141,100,100,100,15234,7902,8637,2,8,25,0,46.6,63.25,705,24948,73236,299968,2007637.0,2055929.0,2282660.0,779932.0,828222.0,1054951.0
28,2053,1993,523,158,100,100,100,17129,8874,9720,2,8,25,0,52.300000000000004,67.5,790,28307,80307,324299,2344222.0,2396226.0,2640217.0,930342.0,982343.0,1226333.0
29,2054,2229,584,177,100,100,100,19160,9906,10860,2,8,24,0,58.400000000000006,72.25,885,31788,87618,350573,2697665.0,2753498.0,3016452.0,1117589.0,1173420.0,1436372.0
30,2055,2485,650,197,100,100,100,21353,11020,12089,2,7,23,0,65.0,77.25,985,37261,133472,510899,3078990.0,3175203.0,3552629.0,1355359.0,1451571.0,1828995.0
