Import Power [kW],Export Power [kW],Load Power [kW],Tariff Energy Period [-],Tariff Power Period [-],Temperature [C],PV Power [kW],Battery Charging Power [kW],Battery Discharging Power [kW],Battery Aggregate SOC [-],Tariff Energy [$/kWh]
0.0,788.8368,27.1632,0,0,17.166350913607847,0.0,0.0,816.0,0.8,0.15
0.0,0.0,26.974567,0,0,17.20786294343281,0.0,0.0,26.974567,0.79716111,0.15
0.0,0.0,26.785933,0,0,17.249374973257776,0.0,0.0,26.785933,0.79706191,0.15
0.0,0.0,26.5973,0,0,17.290887003082744,0.0,0.0,26.5973,0.79696337,0.15
0.0,0.0,26.408667,0,0,17.33239903290771,0.0,0.0,26.408667,0.79686549,0.15
0.0,0.0,26.220033,0,0,17.373911062732674,0.0,0.0,26.220033,0.79676825,0.15
0.0,0.0,26.0314,0,0,17.41542309255764,0.0,0.0,26.0314,0.79667168,0.15
0.0,0.0,25.842767,0,0,17.456935122382603,0.0,0.0,25.842767,0.79657576,0.15
0.0,0.0,25.654133,0,0,17.498447152207568,0.0,0.0,25.654133,0.7964805,0.15
0.0,0.0,25.4655,0,0,17.539959182032533,0.0,0.0,25.4655,0.79638589,0.15
0.0,0.0,25.276867,0,0,17.5814712118575,0.0,0.0,25.276867,0.79629194,0.15
0.0,0.0,25.088233,0,0,17.622983241682466,0.0,0.0,25.088233,0.79619864,0.15
0.0,0.0,24.8996,0,0,17.66449527150743,0.0,0.0,24.8996,0.796106,0.15
0.0,0.0,23.956433,0,0,17.687908628511504,0.0,0.0,23.956433,0.79601401,0.15
0.0,0.0,23.013267,0,0,17.711321985515582,0.0,0.0,23.013267,0.7959253,0.15
0.0,0.0,22.0701,0,0,17.734735342519656,0.0,0.0,22.0701,0.79583987,0.15
0.0,0.0,21.126933,0,0,17.758148699523733,0.0,0.0,21.126933,0.79575771,0.15
0.0,0.0,20.183767,0,0,17.781562056527807,0.0,0.0,20.183767,0.79567883,0.15
0.0,0.0,19.2406,0,0,17.804975413531885,0.0,0.0,19.2406,0.79560322,0.15
0.0,0.0,18.297433,0,0,17.82838877053596,0.0,0.0,18.297433,0.79553089,0.15
0.0,0.0,17.354267,0,0,17.851802127540033,0.0,0.0,17.354267,0.79546183,0.15
0.0,0.0,16.4111,0,0,17.87521548454411,0.0,0.0,16.4111,0.79539605,0.15
0.0,0.0,15.467933,0,0,17.898628841548184,0.0,0.0,15.467933,0.79533354,0.15
0.0,0.0,14.524767,0,0,17.922042198552262,0.0,0.0,14.524767,0.79527431,0.15
0.0,0.0,13.5816,0,0,17.945455555556336,0.0,0.0,13.5816,0.79521835,0.15
0.0,0.0,13.0157,0,0,17.948861807655422,0.0,0.0,13.0157,0.79516567,0.15
0.0,0.0,12.4498,0,0,17.952268059754505,0.0,0.0,12.4498,0.79511496,0.15
0.0,0.0,11.8839,0,0,17.955674311853592,0.0,0.0,11.8839,0.79506621,0.15
0.0,220.84549,11.318,0,0,17.959080563952675,0.0,0.0,232.16349,0.79501942,0.15
0.0,597.57901,10.7521,0,0,17.96248681605176,0.0,0.0,608.33111,0.79420778,0.15
0.0,661.8138,10.1862,0,0,17.965893068150848,0.0,0.0,672.0,0.79209,0.15
0.0,662.3797,9.6203,0,0,17.96929932024993,0.0,0.0,672.0,0.78975117,0.15
0.0,0.0,9.0544,0,0,17.972705572349017,0.0,0.0,336.0,0.78741235,0.15
0.0,0.0,8.4885,0,0,17.9761118244481,0.0,0.0,672.0,0.78624022,0.15
0.0,0.0,7.9226,0,0,17.979518076547187,0.0,0.0,672.0,0.78390142,0.15
0.0,0.0,7.3567,0,0,17.98292432864627,0.0,0.0,336.0,0.78156264,0.15
0.0,0.0,6.7908,0,0,17.986330580745356,0.0,0.0,6.7908,0.78039055,0.15
0.0,0.0,6.2249,0,0,17.969452082971625,0.0,0.0,672.0,0.78036155,0.15
0.0,0.0,5.659,0,0,17.952573585197893,0.0,0.0,672.0,0.7780228,0.15
0.0,0.0,5.0931,0,0,17.93569508742416,0.0,0.0,336.0,0.77568406,0.15
0.0,0.0,4.5272,0,0,17.91881658965043,0.0,0.0,672.0,0.77451201,0.15
0.0,0.0,3.9613,0,0,17.901938091876698,0.0,0.0,672.0,0.7721733,0.15
0.0,0.0,3.3954,0,0,17.88505959410297,0.0,0.0,672.0,0.7698346,0.15
0.0,0.0,2.8295,0,0,17.868181096329238,0.0,0.0,672.0,0.76749592,0.15
0.0,0.0,2.2636,0,0,17.851302598555506,0.0,0.0,672.0,0.76515726,0.15
0.0,0.0,1.6977,0,0,17.834424100781774,0.0,0.0,672.0,0.76281861,0.15
0.0,0.0,1.1318,0,0,17.817545603008043,0.0,0.0,672.0,0.76047998,0.15
0.0,0.0,0.5659,0,0,17.80066710523431,0.0,0.0,672.0,0.75814137,0.15
0.0,336.0,0.0,0,0,17.78378860746058,0.0,0.0,336.0,0.75580277,0.15
0.0,0.0,3.2067667,0,0,17.748001132907774,0.0,0.0,672.0,0.75463085,0.15
0.0,0.0,6.4135333,0,0,17.712213658354973,0.0,0.0,672.0,0.75229228,0.15
0.0,0.0,9.6203,0,0,17.67642618380217,0.0,0.0,672.0,0.74995372,0.15
0.0,0.0,12.827067,0,0,17.640638709249366,0.0,0.0,672.0,0.74761518,0.15
0.0,0.0,16.033833,0,0,17.60485123469656,0.0,0.0,672.0,0.74527666,0.15
0.0,0.0,19.2406,0,0,17.56906376014376,0.0,0.0,672.0,0.74293815,0.15
0.0,0.0,22.447367,0,0,17.533276285590958,0.0,0.0,672.0,0.74059965,0.15
0.0,0.0,25.654133,0,0,17.497488811038153,0.0,0.0,672.0,0.73826118,0.15
0.0,0.0,28.8609,0,0,17.461701336485348,0.0,0.0,336.0,0.73592272,0.15
0.0,303.93233,32.067667,0,0,17.425913861932546,0.0,0.0,336.0,0.73475094,0.15
0.0,0.0,35.274433,0,0,17.390126387379745,0.0,0.0,336.0,0.73357917,0.15
0.0,633.5188,38.4812,0,0,17.35433891282694,0.0,0.0,672.0,0.73240741,0.15
0.0,0.0,37.160767,0,0,17.302559512844052,0.0,0.0,672.0,0.73006899,0.15
0.0,0.0,35.840333,0,0,17.250780112861165,0.0,0.0,672.0,0.72773059,0.15
0.0,0.0,34.5199,0,0,17.19900071287828,0.0,0.0,336.0,0.7253922,0.15
0.0,0.0,33.199467,0,0,17.147221312895393,0.0,0.0,336.0,0.7242205,0.15
0.0,0.0,31.879033,0,0,17.095441912912506,0.0,0.0,672.0,0.7230488,0.15
0.0,0.0,30.5586,0,0,17.04366251292962,0.0,0.0,336.0,0.72071045,0.15
0.0,0.0,29.238167,0,0,16.991883112946734,0.0,0.0,672.0,0.71953878,0.15
0.0,0.0,27.917733,0,0,16.940103712963847,0.0,0.0,672.0,0.71720045,0.15
0.0,0.0,26.5973,0,0,16.88832431298096,2.4015268,0.0,672.0,0.71486213,0.15
0.0,0.0,25.276867,0,0,16.83654491299807,38.715538,0.0,672.0,0.71252383,0.15
0.0,0.0,23.956433,0,0,16.784765513015188,73.212963,0.0,672.0,0.71018555,0.15
0.0,0.0,22.636,1,1,16.7329861130323,232.64226,0.0,336.0,0.70784729,0.22
0.0,0.0,29.049533,1,1,16.669435347189363,1161.4166,0.0,336.0,0.7066757,0.22
0.0,0.0,35.463067,1,1,16.605884581346427,1014.6738,0.0,336.0,0.70550413,0.22
0.0,0.0,41.8766,1,1,16.54233381550349,1692.2205,0.0,672.0,0.70433256,0.22
0.0,0.0,48.290133,1,1,16.478783049660557,1371.3816,0.0,336.0,0.70199434,0.22
0.0,0.0,54.703667,1,1,16.41523228381762,1536.3929,0.0,336.0,0.7008228,0.22
0.0,0.0,61.1172,1,1,16.351681517974683,1509.9802,0.0,672.0,0.69965126,0.22
0.0,0.0,67.530733,1,1,16.288130752131746,1178.5218,350.0,0.0,0.69731307,0.22
0.0,0.0,73.944267,1,1,16.22457998628881,1794.9999,0.0,336.0,0.69842823,0.22
0.0,0.0,80.3578,1,1,16.161029220445872,6715.314,350.0,336.0,0.69725671,0.22
0.0,0.0,86.771333,1,1,16.097478454602935,6679.9155,350.0,336.0,0.6972052,0.22
0.0,0.0,93.184867,1,1,16.03392768876,6604.6628,0.0,336.0,0.6971537,0.22
0.0,0.0,99.5984,1,1,15.970376922917064,10831.191,0.0,336.0,0.69598219,0.22
0.0,0.0,104.1256,1,1,15.900234839524773,11236.17,0.0,336.0,0.69481069,0.22
0.0,0.0,108.6528,1,1,15.830092756132482,10676.973,0.0,336.0,0.6936392,0.22
0.0,0.0,113.18,1,1,15.759950672740189,11406.974,0.0,336.0,0.69246771,0.22
0.0,0.0,117.7072,1,1,15.689808589347898,3883.1882,0.0,336.0,0.69129624,0.22
0.0,0.0,122.2344,1,1,15.619666505955607,6642.7842,350.0,0.0,0.69012477,0.22
0.0,0.0,126.7616,1,1,15.549524422563316,13407.359,0.0,336.0,0.69123998,0.22
0.0,0.0,131.2888,1,1,15.479382339171025,14994.102,0.0,336.0,0.69006851,0.22
0.0,0.0,135.816,1,1,15.409240255778734,7436.1557,350.0,336.0,0.68889705,0.22
0.0,0.0,140.3432,1,1,15.339098172386443,7639.635,350.0,336.0,0.6888456,0.22
0.0,0.0,144.8704,1,1,15.26895608899415,4355.9931,350.0,336.0,0.68879415,0.22
0.0,0.0,149.3976,1,1,15.198814005601859,9561.7971,0.0,0.0,0.6887427,0.22
0.0,0.0,153.9248,1,1,15.128671922209568,4830.5307,350.0,336.0,0.68873792,0.22
0.0,0.0,156.94293,1,1,15.057655830506162,5833.075,0.0,336.0,0.68868647,0.22
0.0,0.0,159.96107,1,1,14.986639738802756,7396.549,0.0,336.0,0.68751502,0.22
0.0,0.0,162.9792,1,1,14.915623647099352,7020.2854,0.0,336.0,0.68634358,0.22
0.0,0.0,165.99733,1,1,14.844607555395946,8017.6314,0.0,672.0,0.68517215,0.22
0.0,0.0,169.01547,1,1,14.77359146369254,6678.1827,0.0,672.0,0.68283405,0.22
0.0,0.0,172.0336,1,1,14.702575371989134,6500.6952,350.0,336.0,0.68049598,0.22
0.0,0.0,175.05173,1,1,14.631559280285728,8846.1538,350.0,0.0,0.68044459,0.22
0.0,0.0,178.06987,1,1,14.560543188582322,11544.112,0.0,336.0,0.68155986,0.22
0.0,0.0,181.088,1,1,14.489527096878916,9613.2858,350.0,0.0,0.68038846,0.22
0.0,0.0,184.10613,1,1,14.418511005175512,9807.111,350.0,0.0,0.68150374,0.22
0.0,0.0,187.12427,1,1,14.347494913472106,9815.775,350.0,336.0,0.682619,0.22
0.0,0.0,190.1424,0,0,14.2764788217687,7484.4263,350.0,336.0,0.6825676,0.15
0.0,0.0,191.8401,0,0,14.210377271748275,14062.355,0.0,369.41747,0.68251619,0.15
0.0,3984.3517,193.5378,0,0,14.144275721727851,10459.879,350.0,336.0,0.68122875,0.15
0.0,0.0,195.2355,0,0,14.078174171707426,12518.931,0.0,336.0,0.68117735,0.15
0.0,0.0,196.9332,0,0,14.012072621687002,12853.856,0.0,336.0,0.68000596,0.15
0.0,0.0,198.6309,0,0,13.945971071666577,23097.63,0.0,336.0,0.67883457,0.15
0.0,0.0,200.3286,0,0,13.879869521646153,15839.705,0.0,0.0,0.67766319,0.15
0.0,0.0,202.0263,0,0,13.813767971625728,12247.378,0.0,0.0,0.67765848,0.15
0.0,0.0,203.724,0,0,13.747666421605302,8723.1255,350.0,0.0,0.67765377,0.15
0.0,0.0,205.4217,0,0,13.681564871584879,9228.8534,700.0,0.0,0.67876907,0.15
0.0,0.0,207.1194,0,0,13.615463321564453,8485.9804,700.0,0.0,0.68100435,0.15
0.0,0.0,208.8171,0,0,13.54936177154403,6486.5853,700.0,0.0,0.68323963,0.15
0.0,0.0,210.5148,0,0,13.483260221523604,5940.2606,350.0,0.0,0.68547488,0.15
0.0,0.0,211.83523,0,0,13.427461176937914,6267.5108,350.0,0.0,0.68659012,0.15
0.0,0.0,213.15567,0,0,13.371662132352224,5601.8709,700.0,0.0,0.68770535,0.15
0.0,0.0,214.4761,0,0,13.315863087766534,5766.4862,700.0,0.0,0.68994058,0.15
0.0,0.0,215.79653,0,0,13.260064043180842,5211.7451,0.0,0.0,0.69217579,0.15
0.0,0.0,217.11697,0,0,13.204264998595152,8239.6764,350.0,0.0,0.69217098,0.15
0.0,0.0,218.4374,0,0,13.148465954009461,8370.626,350.0,0.0,0.69328617,0.15
0.0,0.0,219.75783,0,0,13.092666909423771,11067.346,350.0,0.0,0.69440136,0.15
0.0,0.0,221.07827,0,0,13.036867864838081,8647.8728,350.0,0.0,0.69551654,0.15
0.0,0.0,222.3987,0,0,12.98106882025239,8394.8851,700.0,0.0,0.69663171,0.15
0.0,0.0,223.71913,0,0,12.925269775666699,7580.7201,700.0,0.0,0.69886687,0.15
0.0,0.0,225.03957,0,0,12.869470731081009,11158.689,700.0,0.0,0.70110201,0.15
0.0,0.0,226.36,0,0,12.813671686495319,10559.638,700.0,0.0,0.70333715,0.15
0.0,0.0,222.9646,0,0,12.772723349751162,24754.18,0.0,0.0,0.70557226,0.15
0.0,0.0,219.5692,0,0,12.731775013007008,16214.978,0.0,0.0,0.70556736,0.15
0.0,0.0,216.1738,0,0,12.690826676262851,9744.2354,700.0,0.0,0.70556246,0.15
0.0,0.0,212.7784,0,0,12.649878339518695,10420.272,700.0,0.0,0.70779756,0.15
0.0,0.0,209.383,0,0,12.60893000277454,9798.9422,700.0,0.0,0.71003265,0.15
0.0,0.0,205.9876,0,0,12.567981666030384,10001.431,700.0,0.0,0.71226772,0.15
0.0,0.0,202.5922,0,0,12.527033329286228,10879.71,700.0,0.0,0.71450277,0.15
0.0,0.0,199.1968,0,0,12.486084992542073,11161.412,700.0,0.0,0.71673781,0.15
0.0,0.0,195.8014,0,0,12.445136655797917,10079.655,700.0,0.0,0.71897283,0.15
0.0,0.0,192.406,0,0,12.40418831905376,10055.643,700.0,0.0,0.72120784,0.15
0.0,0.0,189.0106,0,0,12.363239982309606,12537.25,0.0,0.0,0.72344283,0.15
0.0,0.0,185.6152,0,0,12.32229164556545,18899.569,0.0,0.0,0.72343781,0.15
0.0,0.0,183.3516,0,0,12.299531731950301,14251.229,0.0,0.0,0.72343278,0.15
0.0,0.0,181.088,0,0,12.27677181833515,11438.907,0.0,0.0,0.72342776,0.15
0.0,0.0,178.8244,0,0,12.254011904720002,10205.901,350.0,0.0,0.72342273,0.15
0.0,0.0,176.5608,0,0,12.231251991104852,11065.861,0.0,336.0,0.72453771,0.15
0.0,0.0,174.2972,0,0,12.208492077489703,10675.24,350.0,336.0,0.72336601,0.15
0.0,0.0,172.0336,0,0,12.185732163874555,10742.324,350.0,336.0,0.72331432,0.15
0.0,0.0,169.77,0,0,12.162972250259404,8233.9829,350.0,336.0,0.72326263,0.15
0.0,0.0,167.5064,0,0,12.140212336644256,7786.6749,350.0,336.0,0.72321094,0.15
0.0,0.0,165.2428,0,0,12.117452423029105,8560.243,350.0,336.0,0.72315925,0.15
0.0,0.0,162.9792,0,0,12.094692509413957,7496.5559,350.0,336.0,0.72310757,0.15
0.0,0.0,160.7156,0,0,12.071932595798806,7174.7515,350.0,336.0,0.72305588,0.15
0.0,0.0,158.452,0,0,12.049172682183658,7863.9079,350.0,0.0,0.72300419,0.15
0.0,0.0,157.3202,0,0,12.046456361347074,7135.6399,350.0,0.0,0.72411917,0.15
0.0,0.0,156.1884,0,0,12.043740040510492,6754.178,350.0,0.0,0.72523414,0.15
0.0,0.0,155.0566,0,0,12.041023719673909,6607.8808,0.0,0.0,0.7263491,0.15
0.0,0.0,153.9248,0,0,12.038307398837325,8546.3806,350.0,0.0,0.72634406,0.15
0.0,0.0,152.793,0,0,12.035591078000744,9679.627,350.0,0.0,0.72745902,0.15
0.0,0.0,151.6612,0,0,12.03287475716416,7602.9988,350.0,0.0,0.72857396,0.15
0.0,0.0,150.5294,0,0,12.030158436327577,7722.0665,350.0,0.0,0.7296889,0.15
0.0,0.0,149.3976,0,0,12.027442115490995,7947.0819,350.0,0.0,0.73080384,0.15
0.0,0.0,148.2658,0,0,12.024725794654412,7705.9762,700.0,0.0,0.73191876,0.15
0.0,0.0,147.134,0,0,12.022009473817828,7590.3742,0.0,0.0,0.73415368,0.15
0.0,0.0,146.0022,0,0,12.019293152981247,7559.679,700.0,0.0,0.73414858,0.15
0.0,0.0,144.8704,0,0,12.016576832144663,7907.2277,700.0,0.0,0.73638348,0.15
0.0,0.0,144.3045,0,0,12.034125512482763,7570.3233,700.0,0.0,0.73861837,0.15
0.0,0.0,143.7386,0,0,12.051674192820865,7260.6485,350.0,0.0,0.74085324,0.15
0.0,0.0,143.1727,0,0,12.069222873158965,7764.8912,350.0,0.0,0.74196809,0.15
0.0,0.0,142.6068,0,0,12.086771553497066,17327.431,0.0,0.0,0.74308294,0.15
0.0,0.0,142.0409,0,0,12.104320233835168,22709.237,350.0,0.0,0.74307778,0.15
0.0,0.0,141.475,0,0,12.121868914173268,16282.805,0.0,0.0,0.74419262,0.15
0.0,0.0,140.9091,0,0,12.139417594511368,11254.488,350.0,0.0,0.74418745,0.15
0.0,0.0,140.3432,0,0,12.15696627484947,9440.0065,350.0,0.0,0.74530229,0.15
0.0,0.0,139.7773,0,0,12.17451495518757,9018.6904,700.0,0.0,0.74641711,0.15
0.0,0.0,139.2114,0,0,12.19206363552567,16147.894,0.0,0.0,0.74865193,0.15
0.0,0.0,138.6455,0,0,12.209612315863772,7178.7122,700.0,0.0,0.74864673,0.15
0.0,0.0,138.0796,0,0,12.227160996201873,9856.1243,350.0,0.0,0.75088153,0.15
0.0,0.0,140.3432,0,0,12.263544277769064,8349.8325,0.0,0.0,0.75199631,0.15
0.0,0.0,142.6068,0,0,12.299927559336258,6327.6635,700.0,0.0,0.75199109,0.15
0.0,0.0,144.8704,0,0,12.33631084090345,5819.2126,700.0,0.0,0.75422587,0.15
0.0,0.0,147.134,0,0,12.37269412247064,6576.443,700.0,0.0,0.75646063,0.15
0.0,0.0,149.3976,0,0,12.409077404037834,4778.7944,700.0,0.0,0.75869538,0.15
0.0,0.0,151.6612,0,0,12.445460685605026,3818.0847,0.0,0.0,0.76093011,0.15
0.0,0.0,153.9248,0,0,12.481843967172217,4614.4267,700.0,0.0,0.76092483,0.15
0.0,0.0,156.1884,0,0,12.51822724873941,5101.3414,700.0,0.0,0.76315954,0.15
0.0,0.0,158.452,0,0,12.554610530306602,5417.6998,700.0,0.0,0.76539424,0.15
0.0,0.0,160.7156,0,0,12.590993811873794,7785.4372,700.0,0.0,0.76762893,0.15
0.0,0.0,162.9792,0,0,12.627377093440987,5635.0415,700.0,0.0,0.7698636,0.15
0.0,0.0,165.2428,0,0,12.663760375008179,6066.2594,700.0,0.0,0.77209825,0.15
