Import Power [kW],Export Power [kW],Load Power [kW],Tariff Energy Period [-],Tariff Power Period [-],Temperature [C],PV Power [kW],Battery Charging Power [kW],Battery Discharging Power [kW],Battery Aggregate SOC [-],Tariff Energy [$/kWh]
109.9855,0.0,109.9855,0,0,17.166350913607847,0.0,0.0,0.0,0.8,0.15
109.22171,0.0,109.22171,0,0,17.20786294343281,0.0,0.0,0.0,0.79779693,0.15
108.45792,0.0,108.45792,0,0,17.249374973257776,0.0,0.0,0.0,0.79545805,0.15
107.69414,0.0,107.69414,0,0,17.290887003082744,0.0,0.0,0.0,0.7931192,0.15
106.93035,0.0,106.93035,0,0,17.33239903290771,0.0,0.0,0.0,0.79078036,0.15
106.16656,0.0,106.16656,0,0,17.373911062732674,0.0,0.0,0.0,0.78844153,0.15
105.40277,0.0,105.40277,0,0,17.41542309255764,0.0,0.0,0.0,0.78610272,0.15
104.63898,0.0,104.63898,0,0,17.456935122382603,0.0,0.0,0.0,0.78376393,0.15
103.87519,0.0,103.87519,0,0,17.498447152207568,0.0,0.0,0.0,0.78142515,0.15
103.11141,0.0,103.11141,0,0,17.539959182032533,0.0,0.0,0.0,0.77908639,0.15
102.34762,0.0,102.34762,0,0,17.5814712118575,0.0,0.0,0.0,0.77674765,0.15
101.58383,0.0,101.58383,0,0,17.622983241682466,0.0,0.0,0.0,0.77440892,0.15
100.82004,0.0,100.82004,0,0,17.66449527150743,0.0,0.0,0.0,0.77207021,0.15
97.001101,0.0,97.001101,0,0,17.687908628511504,0.0,0.0,0.0,0.76973152,0.15
93.18216,0.0,93.18216,0,0,17.711321985515582,0.0,0.0,0.0,0.76739284,0.15
89.363219,0.0,89.363219,0,0,17.734735342519656,0.0,0.0,0.0,0.76505418,0.15
85.544278,0.0,85.544278,0,0,17.758148699523733,0.0,0.0,0.0,0.76271553,0.15
81.725337,0.0,81.725337,0,0,17.781562056527807,0.0,0.0,0.0,0.7603769,0.15
77.906396,0.0,77.906396,0,0,17.804975413531885,0.0,0.0,0.0,0.75803829,0.15
74.087455,0.0,74.087455,0,0,17.82838877053596,0.0,0.0,0.0,0.75569969,0.15
70.268514,0.0,70.268514,0,0,17.851802127540033,0.0,0.0,0.0,0.75336111,0.15
66.449573,0.0,66.449573,0,0,17.87521548454411,0.0,0.0,0.0,0.75102254,0.15
62.630632,0.0,62.630632,0,0,17.898628841548184,0.0,0.0,0.0,0.74868399,0.15
58.811691,0.0,58.811691,0,0,17.922042198552262,0.0,0.0,0.0,0.74634546,0.15
54.99275,0.0,54.99275,0,0,17.945455555556336,0.0,0.0,0.0,0.74400694,0.15
52.701385,0.0,52.701385,0,0,17.948861807655422,0.0,0.0,0.0,0.74283511,0.15
50.410021,0.0,50.410021,0,0,17.952268059754505,0.0,0.0,0.0,0.74166329,0.15
48.118656,0.0,48.118656,0,0,17.955674311853592,0.0,0.0,0.0,0.74049147,0.15
45.827292,0.0,45.827292,0,0,17.959080563952675,0.0,0.0,0.0,0.73931966,0.15
43.535927,0.0,43.535927,0,0,17.96248681605176,0.0,0.0,0.0,0.73926786,0.15
41.244562,0.0,41.244562,0,0,17.965893068150848,0.0,0.0,0.0,0.73921606,0.15
38.953198,0.0,38.953198,0,0,17.96929932024993,0.0,0.0,0.0,0.73916426,0.15
36.661833,0.0,36.661833,0,0,17.972705572349017,0.0,0.0,0.0,0.73911246,0.15
34.370469,0.0,34.370469,0,0,17.9761118244481,0.0,0.0,0.0,0.73906066,0.15
32.079104,0.0,32.079104,0,0,17.979518076547187,0.0,0.0,0.0,0.73900886,0.15
29.78774,0.0,29.78774,0,0,17.98292432864627,0.0,0.0,0.0,0.73895706,0.15
27.496375,0.0,27.496375,0,0,17.986330580745356,0.0,0.0,0.0,0.73890526,0.15
25.20501,0.0,25.20501,0,0,17.969452082971625,0.0,0.0,0.0,0.73885346,0.15
22.913646,0.0,22.913646,0,0,17.952573585197893,0.0,0.0,0.0,0.73880167,0.15
20.622281,0.0,20.622281,0,0,17.93569508742416,0.0,0.0,0.0,0.73874987,0.15
