,Year,Total,ICEV,CNG,PHEV,EV,Scenario
0,2025,3016,2976,40,0,0,Scenario 1
1,2026,3056,3015,41,0,1,Scenario 1
2,2027,3097,3041,41,0,15,Scenario 1
3,2028,3138,3065,42,0,31,Scenario 1
4,2029,3180,3075,42,0,63,Scenario 1
5,2030,3222,3084,43,0,95,Scenario 1
6,2031,3265,3095,43,0,127,Scenario 1
7,2032,3308,3071,44,0,193,Scenario 1
8,2033,3352,3081,44,0,227,Scenario 1
9,2034,3397,3090,45,0,262,Scenario 1
10,2035,3442,3066,46,0,330,Scenario 1
11,2036,3488,3042,46,0,400,Scenario 1
12,2037,3534,2982,47,0,505,Scenario 1
13,2038,3581,2923,47,0,611,Scenario 1
14,2039,3629,2896,48,0,685,Scenario 1
15,2040,3677,2764,49,0,864,Scenario 1
16,2041,3726,2630,49,0,1047,Scenario 1
17,2042,3776,2492,50,0,1233,Scenario 1
18,2043,3826,2353,51,0,1422,Scenario 1
19,2044,3877,2211,51,0,1614,Scenario 1
20,2045,3928,2066,52,0,1810,Scenario 1
21,2046,3980,1883,53,0,2045,Scenario 1
22,2047,4033,1695,53,0,2285,Scenario 1
23,2048,4087,1504,54,0,2529,Scenario 1
24,2049,4141,1271,55,0,2815,Scenario 1
25,2050,4196,1111,56,0,3030,Scenario 1
26,2051,4252,947,56,0,3249,Scenario 1
27,2052,4309,759,57,0,3493,Scenario 1
28,2053,4366,457,58,0,3851,Scenario 1
29,2054,4424,266,59,0,4100,Scenario 1
30,2055,4483,0,59,0,4424,Scenario 1
31,2025,3016,2976,40,0,0,Scenario 2
32,2026,3056,3015,41,1,1,Scenario 2
33,2027,3097,3041,41,8,8,Scenario 2
34,2028,3138,3065,42,16,16,Scenario 2
35,2029,3180,3075,42,32,32,Scenario 2
36,2030,3222,3084,43,48,48,Scenario 2
37,2031,3265,3095,43,64,64,Scenario 2
38,2032,3308,3071,44,97,97,Scenario 2
39,2033,3352,3081,44,114,114,Scenario 2
40,2034,3397,3090,45,131,131,Scenario 2
41,2035,3442,3066,46,165,165,Scenario 2
42,2036,3488,3042,46,200,200,Scenario 2
43,2037,3534,2982,47,253,253,Scenario 2
44,2038,3581,2923,47,306,306,Scenario 2
45,2039,3629,2896,48,343,343,Scenario 2
46,2040,3677,2764,49,432,432,Scenario 2
47,2041,3726,2630,49,524,524,Scenario 2
48,2042,3776,2492,50,617,617,Scenario 2
49,2043,3826,2353,51,711,711,Scenario 2
50,2044,3877,2211,51,807,807,Scenario 2
51,2045,3928,2066,52,905,905,Scenario 2
52,2046,3980,1883,53,1023,1023,Scenario 2
53,2047,4033,1695,53,1143,1143,Scenario 2
54,2048,4087,1504,54,1265,1265,Scenario 2
55,2049,4141,1271,55,1408,1408,Scenario 2
56,2050,4196,1111,56,1515,1515,Scenario 2
57,2051,4252,947,56,1625,1625,Scenario 2
58,2052,4309,759,57,1747,1747,Scenario 2
59,2053,4366,457,58,1926,1926,Scenario 2
60,2054,4424,266,59,2050,2050,Scenario 2
61,2055,4483,0,59,2212,2212,Scenario 2
62,2025,3016,2976,40,0,0,Scenario 3
63,2026,3056,3015,41,1,1,Scenario 3
64,2027,3097,3041,41,11,4,Scenario 3
65,2028,3138,3065,42,23,8,Scenario 3
66,2029,3180,3075,42,47,16,Scenario 3
67,2030,3222,3084,43,71,24,Scenario 3
68,2031,3265,3095,43,95,32,Scenario 3
69,2032,3308,3071,44,145,48,Scenario 3
70,2033,3352,3081,44,170,57,Scenario 3
71,2034,3397,3090,45,197,66,Scenario 3
72,2035,3442,3066,46,248,83,Scenario 3
73,2036,3488,3042,46,298,100,Scenario 3
74,2037,3534,2982,47,304,201,Scenario 3
75,2038,3581,2923,47,306,305,Scenario 3
76,2039,3629,2896,48,310,375,Scenario 3
77,2040,3677,2764,49,312,552,Scenario 3
78,2041,3726,2630,49,316,731,Scenario 3
79,2042,3776,2492,50,320,913,Scenario 3
80,2043,3826,2353,51,326,1096,Scenario 3
81,2044,3877,2211,51,330,1284,Scenario 3
82,2045,3928,2066,52,334,1476,Scenario 3
83,2046,3980,1883,53,339,1706,Scenario 3
84,2047,4033,1695,53,342,1943,Scenario 3
85,2048,4087,1504,54,349,2180,Scenario 3
86,2049,4141,1271,55,356,2459,Scenario 3
87,2050,4196,1111,56,363,2667,Scenario 3
88,2051,4252,947,56,370,2879,Scenario 3
89,2052,4309,759,57,378,3115,Scenario 3
90,2053,4366,457,58,385,3466,Scenario 3
91,2054,4424,266,59,393,3707,Scenario 3
92,2055,4483,0,59,401,4023,Scenario 3
