,Year,L1,L2,L3,Utilization L1,Utilization L2,Utilization L3,Emission L1,Emission L2,Emission L3,EV/CP L1,EV/CP L2,EV/CP L3,Area L1,Area L2,Area L3,Jobs,DAC L1 case1,DAC L2 case1,DAC L3 case1,DAC L1 case2,DAC L2 case2,DAC L3 case2,DAC L1 case3,DAC L2 case3,DAC L3 case3
0,2025,1,1,1,0,0,0,0,0,0,0,0,0,0,0.1,28.25,5,800,6500,75000,800.0,6500.0,75000.0,800.0,6500.0,75000.0
1,2026,1,1,1,9,7,2,10,10,8,2,2,2,0,0.1,28.25,5,800,6500,75000,1085.0,6785.0,75285.0,907.0,6607.0,75107.0
2,2027,1,1,1,77,57,12,15,14,11,15,15,15,0,0.1,28.25,5,800,6500,75000,2869.0,8569.0,77069.0,1581.0,7281.0,75781.0
3,2028,3,2,1,77,71,36,30,23,23,11,16,31,0,0.2,28.25,5,861,6748,75000,6286.0,12173.0,80425.0,2911.0,8797.0,77050.0
4,2029,6,3,1,98,98,80,51,31,33,11,21,63,0,0.30000000000000004,28.25,5,945,6975,75000,12646.0,18676.0,86702.0,5372.0,11400.0,79427.0
5,2030,12,6,2,97,89,68,75,43,42,8,16,48,0,0.6000000000000001,28.5,10,1098,7595,77383,21503.0,28000.0,97789.0,8824.0,15319.0,85109.0
6,2031,19,9,3,100,93,75,122,66,69,7,15,43,0,0.9,28.75,15,1291,8267,79968,34421.0,41397.0,113098.0,13847.0,20821.0,92524.0
7,2032,30,13,4,100,98,90,193,102,111,7,15,49,0,1.3,29.0,20,1577,9110,82398,53013.0,60546.0,133834.0,21093.0,28624.0,101914.0
8,2033,43,19,6,100,97,86,277,146,158,6,12,38,0,1.9000000000000001,29.5,30,1894,10298,86964,73638.0,82042.0,158708.0,29134.0,37536.0,114205.0
9,2034,59,25,7,99,99,97,376,197,210,5,11,38,0,2.5,29.75,35,2261,11414,89110,96159.0,105313.0,183009.0,37930.0,47081.0,124780.0
10,2035,78,33,9,100,100,99,500,262,275,5,11,37,0,3.3000000000000003,30.25,45,2875,19803,113309,123047.0,139977.0,233483.0,48543.0,65469.0,158978.0
11,2036,101,43,12,100,99,97,648,336,359,4,10,34,0,4.3,31.0,60,3340,21446,118995,153364.0,171472.0,269021.0,60376.0,78480.0,176032.0
12,2037,130,54,16,100,100,95,837,430,465,4,10,32,0,5.4,32.0,80,3892,23145,126121,191825.0,211080.0,314056.0,75377.0,94628.0,197607.0
13,2038,166,69,20,100,100,96,1065,546,590,4,9,31,0,6.9,33.0,100,4535,25322,132818,237374.0,258162.0,365659.0,93148.0,113933.0,221432.0
14,2039,205,86,24,100,100,99,1320,680,727,4,8,29,0,8.6,34.0,120,5190,27641,139112,286260.0,308712.0,420184.0,112206.0,134654.0,246129.0
15,2040,255,107,30,100,100,98,1644,845,903,4,9,29,0,10.700000000000001,35.5,150,5979,30333,147985,346837.0,371192.0,488845.0,135860.0,160210.0,277867.0
16,2041,316,133,36,100,100,100,2036,1051,1108,4,8,30,0,13.3,37.0,180,6884,33465,156325,417805.0,444387.0,567248.0,163600.0,190178.0,313042.0
17,2042,388,163,45,100,100,98,2496,1290,1357,4,8,28,0,16.3,39.25,225,7888,36862,168082,498107.0,527082.0,658303.0,195021.0,223992.0,355216.0
18,2043,469,198,54,100,100,99,3023,1570,1643,4,8,27,0,19.8,41.5,270,8949,40586,179132,586599.0,618238.0,756784.0,229660.0,261294.0,399843.0
19,2044,561,237,65,100,100,99,3615,1886,1977,3,7,25,0,23.700000000000003,44.25,325,10082,44486,191825,682536.0,716943.0,864281.0,267214.0,301615.0,448956.0
20,2045,664,282,77,100,100,99,4280,2240,2348,3,7,24,0,28.200000000000003,47.25,385,11870,69862,269904,785909.0,843904.0,1043945.0,308012.0,366002.0,566046.0
21,2046,781,331,91,100,100,100,5034,2630,2778,3,7,23,0,33.1,50.75,455,13142,74191,284173,896920.0,957972.0,1167953.0,351391.0,412437.0,622422.0
22,2047,912,385,106,100,100,100,5874,3063,3262,3,6,22,0,38.5,54.5,530,14481,78674,298542,1015380.0,1079577.0,1299443.0,397593.0,461783.0,681654.0
23,2048,1056,445,124,100,100,100,9071,4718,5071,3,6,21,0,44.5,59.0,620,15864,83356,314747,1140589.0,1208085.0,1439474.0,446301.0,513789.0,745184.0
24,2049,1216,513,143,100,100,100,10449,5433,5865,3,6,20,0,51.300000000000004,63.75,715,17309,88343,330824,1274444.0,1345483.0,1587962.0,498160.0,569190.0,811675.0
25,2050,1389,585,164,100,100,100,11932,6198,6727,3,6,19,0,58.5,69.0,820,18777,93306,347524,1412003.0,1486537.0,1740754.0,551281.0,625806.0,880028.0
26,2051,1574,662,187,100,100,100,13524,7017,7648,3,5,18,0,66.2,74.75,935,21803,103538,382787,1701274.0,1783013.0,2062262.0,662561.0,744292.0,1023545.0
27,2052,1773,745,211,100,100,100,15234,7902,8637,2,5,17,0,74.5,80.75,1055,24948,114194,418339,2007637.0,2096887.0,2401032.0,779932.0,869174.0,1173323.0
28,2053,1993,837,237,100,100,100,17129,8874,9720,2,5,17,0,83.7,87.25,1185,28307,125606,455551,2344222.0,2441525.0,2771470.0,930342.0,1027637.0,1357585.0
29,2054,2229,934,265,100,100,100,19160,9906,10860,2,5,16,0,93.4,94.25,1325,31788,137231,494270,2697665.0,2803111.0,3160150.0,1117589.0,1223028.0,1580070.0
30,2055,2485,1039,295,100,100,100,26691,13775,15111,2,5,15,0,103.9,101.75,1475,37261,210180,734758,3078990.0,3251911.0,3776490.0,1355359.0,1528274.0,2052856.0
