,Year,L1,L2,L3,Utilization L1,Utilization L2,Utilization L3,Emission L1,Emission L2,Emission L3,EV/CP L1,EV/CP L2,EV/CP L3,Area L1,Area L2,Area L3,Jobs,DAC L1 case1,DAC L2 case1,DAC L3 case1,DAC L1 case2,DAC L2 case2,DAC L3 case2,DAC L1 case3,DAC L2 case3,DAC L3 case3
0,2025,1,1,1,0,0,0,0,0,0,0,0,0,0,0.1,28.25,5,800,6500,75000,800.0,6500.0,75000.0,800.0,6500.0,75000.0
1,2026,1,1,1,9,7,2,10,10,8,2,2,2,0,0.1,28.25,5,800,6500,75000,1085.0,6785.0,75285.0,907.0,6607.0,75107.0
2,2027,1,1,1,77,57,12,15,14,11,15,15,15,0,0.1,28.25,5,800,6500,75000,2869.0,8569.0,77069.0,1581.0,7281.0,75781.0
3,2028,3,2,1,77,71,36,30,23,23,11,16,31,0,0.2,28.25,5,861,6748,75000,6286.0,12173.0,80425.0,2911.0,8797.0,77050.0
4,2029,6,3,1,98,98,80,51,31,33,11,21,63,0,0.30000000000000004,28.25,5,945,6975,75000,12652.0,18681.0,86707.0,5372.0,11400.0,79427.0
5,2030,12,6,2,97,89,68,75,43,42,8,16,48,0,0.6000000000000001,28.5,10,1098,7595,77383,21523.0,28019.0,97807.0,8831.0,15326.0,85116.0
6,2031,19,9,3,100,93,75,122,66,69,7,15,43,0,0.9,28.75,15,1291,8267,79968,34459.0,41434.0,113134.0,13865.0,20839.0,92541.0
7,2032,30,13,4,100,98,90,193,102,111,7,15,49,0,1.3,29.0,20,1577,9110,82398,53073.0,60605.0,133892.0,21121.0,28652.0,101941.0
8,2033,43,19,6,100,97,86,277,146,158,6,12,38,0,1.9000000000000001,29.5,30,1894,10298,86964,73720.0,82123.0,158788.0,29171.0,37572.0,114240.0
9,2034,59,25,7,99,99,97,376,197,210,5,11,38,0,2.5,29.75,35,2261,11414,89110,96268.0,105421.0,183115.0,37977.0,47128.0,124826.0
10,2035,78,33,9,100,100,99,500,262,275,5,11,37,0,3.3000000000000003,30.25,45,2875,19803,113309,123228.0,140157.0,233661.0,48621.0,65548.0,159056.0
11,2036,101,43,12,100,99,97,648,336,359,4,10,34,0,4.3,31.0,60,3340,21446,118995,153641.0,171748.0,269295.0,60497.0,78601.0,176152.0
12,2037,130,54,16,100,100,95,837,430,465,4,10,32,0,5.4,32.0,80,3892,23145,126121,192201.0,211455.0,314429.0,75541.0,94793.0,197771.0
13,2038,166,69,20,100,100,96,1065,546,590,4,9,31,0,6.9,33.0,100,4535,25322,132818,237866.0,258653.0,366147.0,93363.0,114148.0,221646.0
14,2039,205,86,24,100,100,99,1320,680,727,4,8,29,0,8.6,34.0,120,5190,27641,139112,287124.0,309575.0,421044.0,112586.0,135034.0,246508.0
15,2040,255,107,30,100,100,98,1644,845,903,4,9,29,0,10.700000000000001,35.5,150,5979,30333,147985,348097.0,372451.0,490101.0,136418.0,160769.0,278424.0
16,2041,316,133,36,100,100,100,2036,1051,1108,4,8,30,0,13.3,37.0,180,6884,33465,156325,419629.0,446211.0,569068.0,164412.0,190991.0,313853.0
17,2042,388,163,45,100,100,98,2496,1290,1357,4,8,28,0,16.3,39.25,225,7888,36862,168082,500637.0,529612.0,660829.0,196143.0,225115.0,356337.0
18,2043,469,198,54,100,100,99,3023,1570,1643,4,8,27,0,19.8,41.5,270,8949,40586,179132,590279.0,621917.0,760459.0,231231.0,262867.0,401414.0
19,2044,561,237,65,100,100,99,3615,1886,1977,3,7,25,0,23.700000000000003,44.25,325,10082,44486,191825,687896.0,722302.0,869636.0,269398.0,303802.0,451141.0
20,2045,664,282,77,100,100,99,4280,2240,2348,3,7,24,0,28.200000000000003,47.25,385,11870,69862,269904,793293.0,851288.0,1051324.0,310890.0,368882.0,568924.0
21,2046,781,331,91,100,100,100,5034,2630,2778,3,7,23,0,33.1,50.75,455,13142,74191,284173,907088.0,968139.0,1178116.0,355156.0,416205.0,626187.0
22,2047,912,385,106,100,100,100,5874,3063,3262,3,6,22,0,38.5,54.5,530,14481,78674,298542,1029771.0,1093966.0,1313829.0,402648.0,466842.0,686709.0
23,2048,1056,445,124,100,100,100,9071,4718,5071,3,6,21,0,44.5,59.0,620,15864,83356,314747,1161034.0,1228527.0,1459914.0,453149.0,520641.0,752032.0
24,2049,1216,513,143,100,100,100,10449,5433,5865,3,6,20,0,51.300000000000004,63.75,715,17309,88343,330824,1303356.0,1374392.0,1616868.0,507469.0,578504.0,820985.0
25,2050,1389,585,164,100,100,100,11932,6198,6727,3,6,19,0,58.5,69.0,820,18777,93306,347524,1451249.0,1525779.0,1779993.0,581143.0,655673.0,909891.0
26,2051,1574,662,187,100,100,100,13524,7017,7648,3,5,18,0,66.2,74.75,935,21803,103538,382787,1766439.0,1848175.0,2127420.0,770037.0,851773.0,1131022.0
27,2052,1773,745,211,100,100,100,15234,7902,8637,2,5,17,0,74.5,80.75,1055,24948,114194,418339,2104831.0,2194079.0,2498219.0,1003391.0,1092638.0,1396782.0
28,2053,1993,837,237,100,100,100,17129,8874,9720,2,5,17,0,83.7,87.25,1185,28307,125606,455551,2484144.0,2581445.0,2911384.0,1302234.0,1399534.0,1729478.0
29,2054,2229,934,265,100,100,100,19160,9906,10860,2,5,16,0,93.4,94.25,1325,31788,137231,494270,2889197.0,2994642.0,3351675.0,1640984.0,1746428.0,2103466.0
30,2055,2485,1039,295,100,100,100,26691,13775,15111,2,5,15,0,103.9,101.75,1475,37261,210180,734758,3336796.0,3509717.0,4034290.0,2034747.0,2207667.0,2732244.0
