,Year,Scenario,Petrol [l],CNG [l],Electricity [kWh]
0,2025,Scenario 1,120928.21,1298.74,0.0
1,2026,Scenario 1,122512.95,1331.21,19.35
2,2027,Scenario 1,123569.45,1331.21,290.2
3,2028,Scenario 1,124544.68,1363.68,599.75
4,2029,Scenario 1,124951.02,1363.68,1218.84
5,2030,Scenario 1,125316.73,1396.15,1837.93
6,2031,Scenario 1,125763.71,1396.15,2457.02
7,2032,Scenario 1,124788.48,1428.61,3733.9
8,2033,Scenario 1,125194.83,1428.61,4391.68
9,2034,Scenario 1,125560.54,1461.08,5068.81
10,2035,Scenario 1,124585.31,1493.55,6384.38
11,2036,Scenario 1,123610.08,1493.55,7738.65
12,2037,Scenario 1,121172.01,1526.02,9770.04
13,2038,Scenario 1,118774.58,1526.02,11820.78
14,2039,Scenario 1,117677.45,1558.49,13252.43
15,2040,Scenario 1,112313.7,1590.96,16715.48
16,2041,Scenario 1,106868.68,1590.96,20255.91
17,2042,Scenario 1,101261.12,1623.43,23854.38
18,2043,Scenario 1,95612.93,1655.89,27510.89
19,2044,Scenario 1,89842.83,1655.89,31225.44
20,2045,Scenario 1,83950.83,1688.36,35017.38
21,2046,Scenario 1,76514.72,1720.83,39563.84
22,2047,Scenario 1,68875.44,1720.83,44207.03
23,2048,Scenario 1,61114.26,1753.3,48927.6
24,2049,Scenario 1,51646.42,1785.77,54460.74
25,2050,Scenario 1,45144.91,1818.24,58620.26
26,2051,Scenario 1,38480.85,1818.24,62857.17
27,2052,Scenario 1,30841.57,1850.71,67577.74
28,2053,Scenario 1,18569.96,1883.17,74503.83
29,2054,Scenario 1,10808.77,1915.64,79321.14
30,2055,Scenario 1,0.0,1915.64,85589.45
31,2025,Scenario 2,120928.21,1298.74,0.0
32,2026,Scenario 2,122525.14,1331.21,32.89
33,2027,Scenario 2,123666.97,1331.21,263.11
34,2028,Scenario 2,124739.73,1363.68,526.23
35,2029,Scenario 2,125341.11,1363.68,1052.45
36,2030,Scenario 2,125901.87,1396.15,1578.69
37,2031,Scenario 2,126543.89,1396.15,2104.91
38,2032,Scenario 2,125970.94,1428.61,3190.26
39,2033,Scenario 2,126584.53,1428.61,3749.37
40,2034,Scenario 2,127157.46999999999,1461.08,4308.5
41,2035,Scenario 2,126596.72,1493.55,5426.72
42,2036,Scenario 2,126048.15000000001,1493.55,6577.85
43,2037,Scenario 2,124256.17,1526.02,8320.98
44,2038,Scenario 2,122504.83,1526.02,10064.119999999999
45,2039,Scenario 2,121858.73999999999,1558.49,11281.01
46,2040,Scenario 2,117579.93,1590.96,14208.16
47,2041,Scenario 2,113256.42,1590.96,17233.97
48,2042,Scenario 2,108782.56,1623.43,20292.67
49,2043,Scenario 2,104280.26,1655.89,23384.260000000002
50,2044,Scenario 2,99680.44,1655.89,26541.629999999997
51,2045,Scenario 2,94983.09,1688.36,29764.769999999997
52,2046,Scenario 2,88985.44,1720.83,33645.7
53,2047,Scenario 2,82809.0,1720.83,37592.42
54,2048,Scenario 2,76535.04000000001,1753.3,41604.9
55,2049,Scenario 2,68810.42,1785.77,46308.07
56,2050,Scenario 2,63613.28,1818.24,49827.22
57,2051,Scenario 2,58290.16,1818.24,53445.03999999999
58,2052,Scenario 2,52138.1,1850.71,57457.53
59,2053,Scenario 2,42048.56,1883.17,63344.7
60,2054,Scenario 2,35798.97,1915.64,67422.97
61,2055,Scenario 2,26965.04,1915.64,72751.03
62,2025,Scenario 3,120928.21,1298.74,0.0
63,2026,Scenario 3,122525.14,1331.21,32.89
64,2027,Scenario 3,123703.54,1331.21,226.36
65,2028,Scenario 3,124825.06,1363.68,466.25
66,2029,Scenario 3,125523.97,1363.68,946.05
67,2030,Scenario 3,126182.23999999999,1396.15,1425.85
68,2031,Scenario 3,126921.79000000001,1396.15,1905.6399999999999
69,2032,Scenario 3,126556.08,1428.61,2892.32
70,2033,Scenario 3,127267.19,1428.61,3405.01
71,2034,Scenario 3,127962.04,1461.08,3944.78
72,2035,Scenario 3,127608.52,1493.55,4964.34
73,2036,Scenario 3,127242.8,1493.55,5970.36
74,2037,Scenario 3,124877.87,1526.02,8005.63
75,2038,Scenario 3,122504.83,1526.02,10044.77
76,2039,Scenario 3,121456.45999999999,1558.49,11453.2
77,2040,Scenario 3,116117.09,1590.96,14904.630000000001
78,2041,Scenario 3,110720.82999999999,1590.96,18421.85
79,2042,Scenario 3,105162.03,1623.43,21997.1
80,2043,Scenario 3,99586.98,1655.89,25618.800000000003
81,2044,Scenario 3,93865.64,1655.89,29310.13
82,2045,Scenario 3,88022.40000000001,1688.36,33078.85
83,2046,Scenario 3,80647.25,1720.83,37596.28
84,2047,Scenario 3,73044.54000000001,1720.83,42222.060000000005
85,2048,Scenario 3,65368.69,1753.3,46902.009999999995
86,2049,Scenario 3,55986.18,1785.77,52394.52
87,2050,Scenario 3,49570.0,1818.24,56513.42
88,2051,Scenario 3,42991.28,1818.24,60709.69
89,2052,Scenario 3,35449.52,1850.71,65383.840000000004
90,2053,Scenario 3,23263.239999999998,1883.17,72269.29000000001
91,2054,Scenario 3,15599.57,1915.64,77040.18
92,2055,Scenario 3,4888.33,1915.64,83262.05
