Año,EV,PHEV,tL2,tL3,area,cpl1,cpl2,cpl3,S_refor,jobs
1,0,0,14.7,19.5,11010.2,0.0,0.0,0.0,0.13,-0.0
2,1,1,8.0,23.2,11010.2,1.0,1.0,1.0,0.13,-0.0
3,4,11,12.5,11.2,11010.2,1.0,1.0,1.0,0.13,5.0
4,8,23,12.6,8.0,11011.0,2.0,1.0,1.0,0.13,5.0
5,16,47,14.7,19.5,11021.2,3.0,1.0,1.0,0.12,8.0
6,24,71,24.0,24.0,11067.5,4.0,1.0,1.0,0.12,12.0
7,32,95,8.3,24.0,11068.2,6.0,3.0,1.0,0.11,21.0
8,48,145,14.7,19.5,11078.4,9.0,3.0,1.0,0.1,28.0
9,57,170,8.1,22.0,11110.1,10.0,6.0,1.0,0.1,37.0
10,66,197,8.5,21.1,11301.0,12.0,6.0,1.0,0.09,44.0
11,83,248,8.1,18.6,11301.0,16.0,9.0,1.0,0.08,58.0
12,100,298,20.3,24.0,11541.0,19.0,9.0,1.0,0.08,67.0
13,201,304,8.0,20.4,16212.9,24.0,13.0,2.0,0.08,90.0
14,305,306,16.5,22.1,19330.6,30.0,13.0,2.0,0.08,106.0
15,375,310,17.5,24.0,20879.3,35.0,13.0,2.0,0.08,118.0
16,552,312,8.0,21.2,27651.4,45.0,23.0,3.0,0.09,168.0
17,731,316,10.3,23.5,32696.9,56.0,23.0,4.0,0.09,195.0
18,913,320,8.0,23.0,38568.7,66.0,35.0,4.0,0.1,251.0
19,1096,326,12.3,23.4,46439.4,77.0,35.0,5.0,0.1,279.0
20,1284,330,13.0,24.0,56194.9,88.0,35.0,6.0,0.11,306.0
21,1476,334,8.0,23.7,60210.6,99.0,52.0,6.0,0.12,374.0
22,1706,339,8.0,23.5,70748.3,111.0,59.0,7.0,0.12,424.0
23,1943,342,12.0,23.7,77276.4,125.0,59.0,8.0,0.13,459.0
24,2180,349,10.0,23.7,85022.2,139.0,59.0,9.0,0.13,494.0
25,2459,356,8.0,22.8,96808.8,155.0,82.0,10.0,0.14,590.0
26,2667,363,8.0,24.0,96847.1,167.0,86.0,11.0,0.15,630.0
27,2879,370,8.0,23.8,99596.7,180.0,94.0,11.0,0.17,682.0
28,3115,378,8.0,23.6,99930.4,193.0,100.0,12.0,0.21,731.0
29,3466,385,13.6,24.0,99988.2,213.0,100.0,13.0,0.27,782.0
30,3707,393,9.2,20.0,99999.9,228.0,103.0,17.0,0.32,826.0
31,4023,401,8.0,20.9,100000.0,248.0,128.0,17.0,0.39,939.0
