Año,EV,PHEV,tL2,tL3,area,cpl1,cpl2,cpl3,S_refor,jobs
1,0,0,14.7,9.7,11000.1,0.0,0.0,0.0,6687.37,-0.0
2,1,1,20.5,9.3,11000.1,1.0,1.0,1.0,6651.23,-0.0
3,4,11,11.1,18.7,11000.1,1.0,1.0,1.0,6438.75,5.0
4,8,23,10.9,8.6,11000.1,2.0,1.0,1.0,6175.47,5.0
5,16,47,17.7,19.0,11000.2,3.0,1.0,1.0,5649.65,8.0
6,24,71,8.7,22.5,11000.2,4.0,3.0,1.0,5125.08,15.0
7,32,95,13.8,10.8,11000.2,6.0,3.0,1.0,4602.2,21.0
8,48,145,13.9,18.9,11001.0,9.0,3.0,1.0,3535.37,28.0
9,57,170,8.1,22.7,11001.0,10.0,6.0,1.0,2988.74,37.0
10,66,197,10.2,20.3,11001.0,12.0,6.0,1.0,2424.06,44.0
11,83,248,16.4,18.3,11001.0,16.0,6.0,1.0,1434.05,52.0
12,100,298,14.2,14.8,11001.0,19.0,6.0,2.0,889.94,60.0
13,201,304,16.9,22.4,14468.1,24.0,6.0,2.0,1180.98,74.0
14,305,306,8.1,23.9,18152.4,30.0,15.0,2.0,1481.79,111.0
15,375,310,8.0,23.6,20695.4,35.0,18.0,2.0,1689.56,130.0
16,552,312,13.8,21.6,26932.2,45.0,18.0,3.0,2198.72,156.0
17,731,316,18.4,19.4,33302.6,56.0,18.0,4.0,2717.57,183.0
18,913,320,17.6,23.9,36000.0,66.0,18.0,4.0,3968.44,209.0
19,1096,326,8.0,22.2,36000.0,77.0,41.0,5.0,7315.45,294.0
20,1284,330,12.2,22.0,36000.0,88.0,41.0,6.0,11188.59,321.0
21,1476,334,8.0,23.7,36000.0,99.0,52.0,6.0,15261.3,374.0
22,1706,339,9.9,24.0,36000.0,111.0,52.0,7.0,20199.82,406.0
23,1943,342,10.3,23.3,36000.0,125.0,52.0,8.0,25285.09,441.0
24,2180,349,8.0,23.7,36000.0,139.0,73.0,9.0,30444.52,529.0
25,2459,356,9.4,23.7,36000.0,155.0,73.0,10.0,36510.11,569.0
26,2667,363,9.6,22.8,36000.0,167.0,73.0,11.0,41063.29,598.0
27,2879,370,14.4,24.0,36000.0,180.0,73.0,11.0,45704.67,630.0
28,3115,378,8.0,24.0,36000.0,193.0,100.0,12.0,50876.86,731.0
29,3466,385,9.6,24.0,36000.0,213.0,100.0,13.0,58499.04,782.0
30,3707,393,8.0,23.9,36000.0,228.0,118.0,14.0,63781.91,864.0
31,4023,401,9.0,23.4,36000.0,248.0,118.0,15.0,70672.85,914.0
