x1,x2,x3,x4,cpl1,cpl2,cpl3
2976,0,12,12,169.5624886361435,59.5188062628929,20.379483897268802
3015,0,12,12,341.3482337145737,119.29467518345862,41.20007248877966
3041,0,12,12,514.6301882276728,179.2506996081718,62.30852843304049
3065,0,12,12,689.2597764131832,240.05557524600087,83.46300278270068
3075,0,12,12,864.440821188572,301.0751561098324,104.68532579716651
3084,0,12,12,1040.1760810746957,362.56107037721165,125.86416873461141
3095,0,12,12,1216.4106475164883,423.6634029750211,147.3492666711468
3071,0,12,12,1391.3791236102088,484.5642868072055,168.5535186107732
3081,0,12,12,1566.9175580914646,545.8747220369999,189.75635340521572
3090,0,12,12,1743.046758222043,606.9717227816643,211.13376895985922
3066,0,12,12,1917.7211313030414,667.4818642489058,232.40284725188104
3042,0,12,12,2091.07998272897,727.5617747930124,253.47887423779753
2982,0,12,12,2260.95504344766,786.9914974551392,273.97597334939667
2923,0,12,12,2427.2300237561335,844.9790046063533,294.2120970881271
2896,0,12,12,2591.980994542989,902.2858011890454,314.3068828214125
2764,0,12,12,2749.207406311033,957.5190530392169,333.30978890325696
2630,0,12,12,2898.711229316891,1009.2488838929563,351.69002963953517
2492,0,12,12,3041.0014451514376,1058.5673714118589,368.8575806607299
2353,0,12,12,3175.0304780383303,1106.6901225900215,384.62486495551275
2211,0,12,12,3301.1203182775885,1150.8722763294784,399.751278069868
2066,0,12,12,3419.2451685933233,1192.6195030114047,413.66052215777705
1883,0,12,12,3526.518302100695,1230.3463825357112,426.53589713684624
1695,0,12,12,3622.90744180425,1264.56517916873,438.08013441167833
1504,0,12,12,3709.1241019006757,1295.378476658429,448.01259233705804
1271,0,12,12,3782.379202614184,1321.3253808872462,456.3450417331899
1111,0,12,12,3846.8638945370685,1344.0972474036223,463.49282130683343
947,0,12,12,3901.8694379103085,1363.4822377327478,469.5846803822552
759,0,12,12,3946.141175770852,1378.9673806085389,474.44094600619616
457,0,12,12,3972.705712293337,1387.9579711953277,477.4974163164611
266,0,12,12,3988.0970918715634,1393.3745889896688,479.2317565389825
0,0,12,12,3988.0970918715634,1393.3745889896688,479.2317565389825
